nice: cannot set niceness: Permission denied
Precompiling packages...
   1524.5 ms  ✓ Unicode
   1641.4 ms  ✓ MozillaCACerts_jll
   1640.8 ms  ✓ nghttp2_jll
   1645.5 ms  ✓ Logging
   1677.8 ms  ✓ OpenSSL_jll
   1650.5 ms  ✓ NetworkOptions
   1647.6 ms  ✓ CompilerSupportLibraries_jll
   1724.3 ms  ✓ UUIDs
   1732.5 ms  ✓ Zlib_jll
   1860.9 ms  ✓ Base64
    523.9 ms  ✓ LibSSH2_jll
    596.9 ms  ✓ p7zip_jll
    774.6 ms  ✓ Printf
    463.0 ms  ✓ LibGit2_jll
    465.3 ms  ✓ LibCURL_jll
   3165.6 ms  ✓ ArgTools
    742.3 ms  ✓ LibCURL
    631.4 ms  ✓ Tar
   2907.8 ms  ✓ Dates
    464.8 ms  ✓ TOML
   3057.1 ms  ✓ LibGit2
   3064.3 ms  ✓ Downloads
   9286.6 ms  ✓ StyledStrings
   1688.4 ms  ✓ JuliaSyntaxHighlighting
   3788.1 ms  ✓ Markdown
  46612.6 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2461.1 ms  ✓ IteratorInterfaceExtensions
   2476.1 ms  ✓ MuladdMacro
   2564.4 ms  ✓ RangeArrays
   2751.3 ms  ✓ PolygonOps
   2749.1 ms  ✓ StatsAPI
   2766.8 ms  ✓ LaTeXStrings
   2762.1 ms  ✓ Contour
   2764.7 ms  ✓ TensorCore
   2863.6 ms  ✓ IndirectArrays
   3045.2 ms  ✓ TriplotBase
   3369.4 ms  ✓ AbstractFFTs
   2593.1 ms  ✓ IntegerMathUtils
   2503.4 ms  ✓ InverseFunctions
   2609.1 ms  ✓ OpenLibm_jll
   5438.1 ms  ✓ FillArrays
   2883.6 ms  ✓ SuiteSparse_jll
   5739.1 ms  ✓ OffsetArrays
   3212.6 ms  ✓ Statistics
   3381.7 ms  ✓ IterTools
   3689.0 ms  ✓ Serialization
   2504.0 ms  ✓ DataValueInterfaces
   7945.7 ms  ✓ Format
   2614.9 ms  ✓ EnumX
   2594.9 ms  ✓ StableRNGs
   2517.7 ms  ✓ Reexport
   2995.6 ms  ✓ IntervalSets
   3290.1 ms  ✓ AbstractTrees
   3522.5 ms  ✓ DocStringExtensions
   4398.4 ms  ✓ Requires
   9852.5 ms  ✓ CEnum
   2712.5 ms  ✓ RoundingEmulator
   2520.0 ms  ✓ PtrArrays
   3096.0 ms  ✓ Mmap
   2959.7 ms  ✓ PCRE2_jll
   3283.4 ms  ✓ Extents
   2900.8 ms  ✓ Inflate
   3698.7 ms  ✓ TranscodingStreams
   2496.8 ms  ✓ DataAPI
   2583.9 ms  ✓ CRC32c
  10215.0 ms  ✓ OrderedCollections
   2901.9 ms  ✓ StaticArraysCore
  10790.5 ms  ✓ Observables
   3129.8 ms  ✓ MappedArrays
  12503.6 ms  ✓ Grisu
   2700.8 ms  ✓ Scratch
   2371.7 ms  ✓ TableTraits
   7401.3 ms  ✓ AdaptivePredicates
   4009.4 ms  ✓ Preferences
   3295.7 ms  ✓ Primes
   2571.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9559.3 ms  ✓ LazyModules
   2725.4 ms  ✓ StackViews
   2798.3 ms  ✓ PaddedViews
   9907.5 ms  ✓ ConstructionBase
   2528.3 ms  ✓ FillArrays → FillArraysStatisticsExt
  14981.8 ms  ✓ IrrationalConstants
   7602.2 ms  ✓ PkgVersion
  11205.7 ms  ✓ StructUtils
   3201.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2681.2 ms  ✓ Ratios
   3980.8 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
  10489.0 ms  ✓ Compat
  23861.6 ms  ✓ BaseDirs
  21126.3 ms  ✓ MacroTools
   3828.3 ms  ✓ Adapt
   9713.6 ms  ✓ NaNMath
   8167.4 ms  ✓ SignedDistanceFields
   3192.8 ms  ✓ AliasTables
   2525.0 ms  ✓ Showoff
   2899.6 ms  ✓ RelocatableFolders
   2900.3 ms  ✓ JLLWrappers
  13994.6 ms  ✓ InteractiveUtils
   2599.6 ms  ✓ PrecompileTools
   2692.7 ms  ✓ MosaicViews
   2384.8 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2505.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2599.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3502.9 ms  ✓ LogExpFunctions
   2425.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   4192.9 ms  ✓ AxisArrays
   6496.9 ms  ✓ FFTA
   9105.3 ms  ✓ DataStructures
   9769.8 ms  ✓ Missings
   3772.3 ms  ✓ Graphite2_jll
   3693.4 ms  ✓ Libmount_jll
   3713.6 ms  ✓ LLVMOpenMP_jll
   3510.7 ms  ✓ Bzip2_jll
   3688.2 ms  ✓ Rmath_jll
   3600.9 ms  ✓ Xorg_libXau_jll
   3730.1 ms  ✓ libpng_jll
   3794.2 ms  ✓ libfdk_aac_jll
   3723.8 ms  ✓ Giflib_jll
  10977.3 ms  ✓ ComputePipeline
  12489.0 ms  ✓ Tables
   4118.7 ms  ✓ Imath_jll
  17936.7 ms  ✓ Distributed
   4009.1 ms  ✓ LAME_jll
   3902.7 ms  ✓ Pixman_jll
   3993.5 ms  ✓ LERC_jll
   3808.8 ms  ✓ CRlibm_jll
  21701.4 ms  ✓ FixedPointNumbers
   3704.2 ms  ✓ Ogg_jll
   5014.9 ms  ✓ JpegTurbo_jll
   4581.2 ms  ✓ Xorg_libXdmcp_jll
   4406.7 ms  ✓ x264_jll
   5208.9 ms  ✓ XZ_jll
   3899.8 ms  ✓ Expat_jll
   4721.8 ms  ✓ x265_jll
   4624.7 ms  ✓ libaom_jll
   3377.1 ms  ✓ Xorg_xtrans_jll
   4202.9 ms  ✓ LZO_jll
  20802.3 ms  ✓ FileIO
   5702.3 ms  ✓ Zstd_jll
   4906.0 ms  ✓ Opus_jll
   3908.3 ms  ✓ Libffi_jll
   4572.2 ms  ✓ Libiconv_jll
   3810.5 ms  ✓ OpenSpecFun_jll
   4977.1 ms  ✓ isoband_jll
   4004.6 ms  ✓ OpenBLASConsistentFPCSR_jll
   4181.9 ms  ✓ FriBidi_jll
   4591.9 ms  ✓ SimpleTraits
   2387.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2839.5 ms  ✓ SortingAlgorithms
  28504.3 ms  ✓ SparseArrays
   2406.4 ms  ✓ StructUtils → StructUtilsTablesExt
   3709.2 ms  ✓ EarCut_jll
   5994.2 ms  ✓ FilePathsBase
   3691.7 ms  ✓ FreeType2_jll
   4204.0 ms  ✓ Rmath
   2405.0 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3498.9 ms  ✓ SharedArrays
   4885.8 ms  ✓ OpenEXR_jll
   3270.9 ms  ✓ CRlibm
  11808.2 ms  ✓ Xorg_libxcb_jll
   4714.5 ms  ✓ ProgressMeter
   4207.9 ms  ✓ libvorbis_jll
   3800.3 ms  ✓ libsixel_jll
   3771.0 ms  ✓ Libuuid_jll
   3891.8 ms  ✓ Libtiff_jll
   2583.7 ms  ✓ Isoband
   4233.4 ms  ✓ GettextRuntime_jll
  11589.6 ms  ✓ QuadGK
  13497.5 ms  ✓ ChainRulesCore
  10893.3 ms  ✓ StructArrays
   3488.4 ms  ✓ WoodburyMatrices
