nice: cannot set niceness: Permission denied
Precompiling packages...
   1428.7 ms  ✓ MozillaCACerts_jll
   1506.0 ms  ✓ Logging
   1632.8 ms  ✓ UUIDs
   1692.8 ms  ✓ Zlib_jll
   1709.2 ms  ✓ nghttp2_jll
   1755.3 ms  ✓ OpenSSL_jll
   1723.0 ms  ✓ CompilerSupportLibraries_jll
   1794.8 ms  ✓ Unicode
   1822.3 ms  ✓ NetworkOptions
   1844.7 ms  ✓ Base64
    526.5 ms  ✓ LibSSH2_jll
    614.7 ms  ✓ p7zip_jll
    675.2 ms  ✓ Printf
    462.0 ms  ✓ LibCURL_jll
    468.8 ms  ✓ LibGit2_jll
   3303.5 ms  ✓ ArgTools
    789.5 ms  ✓ LibCURL
    640.0 ms  ✓ Tar
   2880.9 ms  ✓ Dates
   3048.9 ms  ✓ LibGit2
    461.5 ms  ✓ TOML
   3090.2 ms  ✓ Downloads
   9475.9 ms  ✓ StyledStrings
   1676.3 ms  ✓ JuliaSyntaxHighlighting
   3855.8 ms  ✓ Markdown
  47588.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2509.4 ms  ✓ MuladdMacro
   2511.3 ms  ✓ IteratorInterfaceExtensions
   2522.9 ms  ✓ RangeArrays
   2529.1 ms  ✓ LaTeXStrings
   2610.5 ms  ✓ IndirectArrays
   2620.9 ms  ✓ StatsAPI
   3120.7 ms  ✓ Contour
   3211.0 ms  ✓ PolygonOps
   3219.1 ms  ✓ TensorCore
   3298.9 ms  ✓ TriplotBase
   3384.7 ms  ✓ AbstractFFTs
   2700.6 ms  ✓ IntegerMathUtils
   2698.0 ms  ✓ OpenLibm_jll
   5262.6 ms  ✓ FillArrays
   2755.2 ms  ✓ InverseFunctions
   5517.5 ms  ✓ OffsetArrays
   3210.5 ms  ✓ Statistics
   3613.0 ms  ✓ Serialization
   3089.3 ms  ✓ SuiteSparse_jll
   3694.8 ms  ✓ IterTools
   7402.8 ms  ✓ Format
   2409.4 ms  ✓ DataValueInterfaces
   2393.1 ms  ✓ Reexport
   2817.0 ms  ✓ EnumX
   2908.5 ms  ✓ StableRNGs
   3296.0 ms  ✓ DocStringExtensions
   3201.7 ms  ✓ AbstractTrees
   3008.4 ms  ✓ IntervalSets
   4212.4 ms  ✓ Requires
  10076.7 ms  ✓ CEnum
   2772.1 ms  ✓ RoundingEmulator
   2982.4 ms  ✓ Mmap
   2514.7 ms  ✓ PtrArrays
   2987.3 ms  ✓ Extents
   2900.7 ms  ✓ PCRE2_jll
   2905.1 ms  ✓ Inflate
   3495.4 ms  ✓ TranscodingStreams
   2429.2 ms  ✓ Adapt
   2292.8 ms  ✓ CRC32c
   2501.5 ms  ✓ DataAPI
   9746.1 ms  ✓ Observables
  10370.9 ms  ✓ OrderedCollections
   2910.1 ms  ✓ MappedArrays
   3198.0 ms  ✓ StaticArraysCore
  11206.5 ms  ✓ Grisu
   2794.4 ms  ✓ Scratch
   2479.8 ms  ✓ TableTraits
   3616.7 ms  ✓ Preferences
   7791.8 ms  ✓ AdaptivePredicates
   3506.6 ms  ✓ Primes
   2967.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2503.6 ms  ✓ StackViews
   9610.6 ms  ✓ LazyModules
   2874.3 ms  ✓ PaddedViews
