Precompiling Pkg...
   1578.8 ms  ✓ NetworkOptions
   1504.2 ms  ✓ Zlib_jll
   1506.8 ms  ✓ p7zip_jll
   1505.4 ms  ✓ MbedTLS_jll
   1510.9 ms  ✓ UUIDs
   1509.8 ms  ✓ Logging
   1591.0 ms  ✓ MozillaCACerts_jll
   1589.4 ms  ✓ Unicode
   1608.9 ms  ✓ nghttp2_jll
   1675.5 ms  ✓ Base64
    477.6 ms  ✓ LibSSH2_jll
    527.2 ms  ✓ Printf
   2490.0 ms  ✓ ArgTools
    576.0 ms  ✓ LibGit2_jll
    574.9 ms  ✓ LibCURL_jll
    678.3 ms  ✓ Tar
    639.8 ms  ✓ LibCURL
   2918.8 ms  ✓ Markdown
   2481.5 ms  ✓ Dates
   2366.6 ms  ✓ LibGit2
    479.4 ms  ✓ TOML
   2864.1 ms  ✓ Downloads
  38914.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2790.3 ms  ✓ RangeArrays
   2792.9 ms  ✓ PolygonOps
   2797.9 ms  ✓ IndirectArrays
   2796.9 ms  ✓ IteratorInterfaceExtensions
   2800.4 ms  ✓ CEnum
   2881.1 ms  ✓ LaTeXStrings
   2890.9 ms  ✓ Contour
   2899.5 ms  ✓ StatsAPI
   3005.5 ms  ✓ GeoFormatTypes
   3086.9 ms  ✓ TriplotBase
   3579.6 ms  ✓ TensorCore
   3705.3 ms  ✓ AbstractFFTs
   4072.4 ms  ✓ Serialization
   5888.7 ms  ✓ FillArrays
   3197.9 ms  ✓ OpenLibm_jll
   3212.9 ms  ✓ InverseFunctions
   2524.5 ms  ✓ DataValueInterfaces
   3484.9 ms  ✓ CompilerSupportLibraries_jll
   3425.3 ms  ✓ SuiteSparse_jll
   6399.6 ms  ✓ OffsetArrays
   3690.5 ms  ✓ Statistics
   3590.8 ms  ✓ OrderedCollections
   3697.2 ms  ✓ IterTools
   2806.2 ms  ✓ EnumX
   3581.5 ms  ✓ Observables
   3503.3 ms  ✓ Requires
   6683.1 ms  ✓ Format
   5209.4 ms  ✓ Grisu
   2795.6 ms  ✓ Reexport
   3407.5 ms  ✓ StableRNGs
   2815.0 ms  ✓ PtrArrays
   2884.3 ms  ✓ PCRE2_jll
   2927.3 ms  ✓ Mmap
   3214.5 ms  ✓ IntervalSets
   3493.5 ms  ✓ AbstractTrees
   3203.0 ms  ✓ RoundingEmulator
   2986.7 ms  ✓ LazyModules
   3292.6 ms  ✓ Extents
   3314.9 ms  ✓ Inflate
   3793.7 ms  ✓ TranscodingStreams
   3395.6 ms  ✓ ConstructionBase
   5787.8 ms  ✓ IrrationalConstants
   2687.9 ms  ✓ CRC32c
   3223.0 ms  ✓ DataAPI
   2813.2 ms  ✓ StaticArraysCore
   3018.6 ms  ✓ MappedArrays
   3197.7 ms  ✓ Scratch
   3198.0 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2796.1 ms  ✓ TableTraits
   3815.9 ms  ✓ Compat
   3978.3 ms  ✓ DocStringExtensions
   4415.2 ms  ✓ Preferences
   7791.2 ms  ✓ AdaptivePredicates
   2910.1 ms  ✓ NaNMath
   2991.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2899.7 ms  ✓ Ratios
   3302.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2890.7 ms  ✓ Showoff
   3007.1 ms  ✓ Adapt
   3280.8 ms  ✓ AliasTables
   2799.9 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2724.7 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   7685.0 ms  ✓ InteractiveUtils
   2799.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3205.8 ms  ✓ Missings
   2988.6 ms  ✓ RelocatableFolders
   2887.0 ms  ✓ Compat → CompatLinearAlgebraExt
   5395.1 ms  ✓ GeoInterface
   3694.1 ms  ✓ LogExpFunctions
   3102.2 ms  ✓ JLLWrappers
   3186.8 ms  ✓ PrecompileTools
   2978.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   4993.4 ms  ✓ Tables
   9807.7 ms  ✓ Distributed
   5086.1 ms  ✓ AxisArrays
   2998.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3608.1 ms  ✓ LLVMOpenMP_jll
   3904.5 ms  ✓ OpenSSL_jll
   3917.9 ms  ✓ Libmount_jll
   3807.0 ms  ✓ Rmath_jll
   3716.0 ms  ✓ Xorg_libXau_jll
   6014.0 ms  ✓ FilePathsBase
   4081.3 ms  ✓ libpng_jll
   3690.8 ms  ✓ Imath_jll
   7706.3 ms  ✓ ChainRulesCore
  12516.0 ms  ✓ MacroTools
   4416.7 ms  ✓ libfdk_aac_jll
   8502.4 ms  ✓ DataStructures
   3720.0 ms  ✓ LAME_jll
   3900.8 ms  ✓ LERC_jll
   4397.1 ms  ✓ Giflib_jll
   4008.6 ms  ✓ JpegTurbo_jll
   4206.0 ms  ✓ oneTBB_jll
   4587.2 ms  ✓ XZ_jll
   3991.8 ms  ✓ Xorg_libXdmcp_jll
   3710.9 ms  ✓ x265_jll
   3916.7 ms  ✓ x264_jll
   3999.3 ms  ✓ libaom_jll
   3809.7 ms  ✓ Zstd_jll
   3806.2 ms  ✓ Expat_jll
  18806.6 ms  ✓ SparseArrays
   3580.9 ms  ✓ Opus_jll
   3786.2 ms  ✓ LZO_jll
   3508.8 ms  ✓ Xorg_xtrans_jll
   3794.9 ms  ✓ Libiconv_jll
   3893.0 ms  ✓ Libgpg_error_jll
   4107.8 ms  ✓ Xorg_libpthread_stubs_jll
   3912.6 ms  ✓ Libuuid_jll
   3570.1 ms  ✓ PaddedViews
   4203.2 ms  ✓ StackViews
   4202.1 ms  ✓ SharedArrays
   5605.2 ms  ✓ FriBidi_jll
   4507.3 ms  ✓ Pixman_jll
  18091.2 ms  ✓ Test
   4811.5 ms  ✓ ProgressMeter
   5012.4 ms  ✓ Rmath
   3490.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4499.5 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4781.8 ms  ✓ OpenEXR_jll
   3501.6 ms  ✓ SortingAlgorithms
   3297.3 ms  ✓ SuiteSparse
   3993.0 ms  ✓ Libtiff_jll
   4614.1 ms  ✓ SimpleTraits
   4007.8 ms  ✓ WoodburyMatrices
   3604.3 ms  ✓ Statistics → SparseArraysExt
   3796.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3810.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   6092.6 ms  ✓ QuadGK
   3916.5 ms  ✓ XML2_jll
   7615.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3798.1 ms  ✓ MosaicViews
   3874.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   5016.3 ms  ✓ Libgcrypt_jll
   3801.1 ms  ✓ AxisAlgorithms
   3007.9 ms  ✓ SignedDistanceFields
   4593.9 ms  ✓ PDMats
   6384.0 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   7390.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4282.9 ms  ✓ XSLT_jll
   3427.0 ms  ✓ FillArrays → FillArraysPDMatsExt
  45320.7 ms  ✓ StyledStrings
   3699.6 ms  ✓ FilePaths
   9582.2 ms  ✓ FixedPointNumbers
   8590.9 ms  ✓ StatsBase
   3297.8 ms  ✓ Xorg_libxcb_jll
    930.1 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   1055.3 ms  ✓ Xorg_libX11_jll
   2006.9 ms  ✓ Xorg_libXext_jll
   2064.5 ms  ✓ Xorg_libXrender_jll
  24294.5 ms  ✓ StaticArrays
   4995.1 ms  ✓ ColorTypes
   3106.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3291.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3414.8 ms  ✓ Libglvnd_jll
   3388.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3707.5 ms  ✓ Adapt → AdaptStaticArraysExt
  27810.6 ms  ✓ SIMD
   1712.6 ms  ✓ libwebp_jll
   1722.5 ms  ✓ StructArrays
   1998.4 ms  ✓ StructArrays → StructArraysAdaptExt
   2164.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
