nice: cannot set niceness: Permission denied
Precompiling packages...
   2146.1 ms  ✓ RangeArrays
   2071.2 ms  ✓ StatsAPI
   2074.5 ms  ✓ IndirectArrays
   2080.3 ms  ✓ PolygonOps
   2085.9 ms  ✓ IteratorInterfaceExtensions
   2093.5 ms  ✓ MuladdMacro
   2099.9 ms  ✓ LaTeXStrings
   2098.6 ms  ✓ CEnum
   2175.9 ms  ✓ TensorCore
   2164.2 ms  ✓ TriplotBase
   2392.0 ms  ✓ Contour
   2991.6 ms  ✓ AbstractFFTs
   1911.9 ms  ✓ OpenLibm_jll
   2020.9 ms  ✓ IntegerMathUtils
   4277.0 ms  ✓ FillArrays
   2296.1 ms  ✓ CompilerSupportLibraries_jll
   2319.5 ms  ✓ InverseFunctions
   2404.0 ms  ✓ SuiteSparse_jll
   2804.2 ms  ✓ IterTools
   5059.1 ms  ✓ OffsetArrays
   2984.8 ms  ✓ PkgVersion
   5267.8 ms  ✓ Format
   3295.7 ms  ✓ StructUtils
   3202.9 ms  ✓ Grisu
   3105.1 ms  ✓ Preferences
   1883.1 ms  ✓ DataValueInterfaces
   2602.7 ms  ✓ Compat
   2018.8 ms  ✓ EnumX
   2294.2 ms  ✓ Requires
   2390.1 ms  ✓ Observables
   1712.2 ms  ✓ Reexport
   2709.8 ms  ✓ OrderedCollections
   1886.0 ms  ✓ Zlib_jll
   2071.3 ms  ✓ StableRNGs
   2620.6 ms  ✓ AbstractTrees
   3085.4 ms  ✓ DocStringExtensions
   1898.8 ms  ✓ PtrArrays
   2420.4 ms  ✓ RoundingEmulator
   2787.1 ms  ✓ IntervalSets
   2308.7 ms  ✓ Extents
   2382.3 ms  ✓ PCRE2_jll
   2123.8 ms  ✓ LazyModules
   7211.3 ms  ✓ Distributed
   2398.5 ms  ✓ Inflate
   2589.8 ms  ✓ TranscodingStreams
   2799.2 ms  ✓ ConstructionBase
   2298.1 ms  ✓ DataAPI
   2098.1 ms  ✓ Scratch
   2076.5 ms  ✓ TableTraits
