nice: cannot set niceness: Permission denied
Precompiling packages...
   1512.0 ms  ✓ Logging
   1617.7 ms  ✓ UUIDs
   1637.4 ms  ✓ nghttp2_jll
   1698.0 ms  ✓ MozillaCACerts_jll
   1713.7 ms  ✓ Unicode
   1768.3 ms  ✓ OpenSSL_jll
   1741.2 ms  ✓ Zlib_jll
   1807.9 ms  ✓ NetworkOptions
   1815.3 ms  ✓ CompilerSupportLibraries_jll
   1923.3 ms  ✓ Base64
    541.6 ms  ✓ LibSSH2_jll
    599.4 ms  ✓ p7zip_jll
    705.7 ms  ✓ Printf
    478.8 ms  ✓ LibCURL_jll
    485.6 ms  ✓ LibGit2_jll
   3241.2 ms  ✓ ArgTools
    796.5 ms  ✓ LibCURL
    659.8 ms  ✓ Tar
   2947.4 ms  ✓ Dates
    463.8 ms  ✓ TOML
   3119.9 ms  ✓ LibGit2
   3061.4 ms  ✓ Downloads
   9513.3 ms  ✓ StyledStrings
   1724.0 ms  ✓ JuliaSyntaxHighlighting
   3940.6 ms  ✓ Markdown
  48456.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 64 seconds
Precompiling packages...
   2431.4 ms  ✓ IndirectArrays
   2522.0 ms  ✓ RangeArrays
   2524.3 ms  ✓ IteratorInterfaceExtensions
   2722.8 ms  ✓ TensorCore
   2804.9 ms  ✓ LaTeXStrings
   2820.2 ms  ✓ StatsAPI
   2819.8 ms  ✓ TriplotBase
   2912.7 ms  ✓ PolygonOps
   2927.8 ms  ✓ Contour
   3397.9 ms  ✓ IntegerMathUtils
   3710.3 ms  ✓ AbstractFFTs
   2601.1 ms  ✓ OpenLibm_jll
   5187.7 ms  ✓ FillArrays
   2792.7 ms  ✓ InverseFunctions
   5704.9 ms  ✓ OffsetArrays
   3009.3 ms  ✓ SuiteSparse_jll
   3283.5 ms  ✓ Statistics
   2398.7 ms  ✓ DataValueInterfaces
   3327.2 ms  ✓ IterTools
   3978.4 ms  ✓ Serialization
   7500.4 ms  ✓ Format
   2702.4 ms  ✓ EnumX
   2715.3 ms  ✓ StableRNGs
   2684.2 ms  ✓ Reexport
   4999.1 ms  ✓ Requires
   2869.4 ms  ✓ RoundingEmulator
   2921.9 ms  ✓ IntervalSets
   2701.3 ms  ✓ Mmap
   3379.6 ms  ✓ AbstractTrees
   3789.9 ms  ✓ DocStringExtensions
   9816.6 ms  ✓ CEnum
   2609.0 ms  ✓ CompositionsBase
   2578.8 ms  ✓ PtrArrays
   3097.7 ms  ✓ PCRE2_jll
   3415.6 ms  ✓ TranscodingStreams
   2796.1 ms  ✓ Adapt
   2614.8 ms  ✓ DataAPI
   3088.8 ms  ✓ Inflate
   9391.5 ms  ✓ Observables
   2609.2 ms  ✓ CRC32c
   2805.8 ms  ✓ StaticArraysCore
  10315.1 ms  ✓ OrderedCollections
   3013.7 ms  ✓ MappedArrays
   2899.4 ms  ✓ Scratch
