nice: cannot set niceness: Permission denied
Precompiling packages...
   2028.7 ms  ✓ StatsAPI
   2037.7 ms  ✓ IteratorInterfaceExtensions
   2040.4 ms  ✓ LaTeXStrings
   2115.9 ms  ✓ MuladdMacro
   2112.1 ms  ✓ IndirectArrays
   2111.3 ms  ✓ PolygonOps
   2105.3 ms  ✓ CEnum
   2263.0 ms  ✓ RangeArrays
   2136.9 ms  ✓ Contour
   2233.1 ms  ✓ TensorCore
   2214.0 ms  ✓ TriplotBase
   2926.2 ms  ✓ AbstractFFTs
   1814.9 ms  ✓ IntegerMathUtils
   1819.3 ms  ✓ TableTraits
   1909.0 ms  ✓ OpenLibm_jll
   2208.3 ms  ✓ CompilerSupportLibraries_jll
   4487.5 ms  ✓ FillArrays
   2478.9 ms  ✓ SuiteSparse_jll
   4798.8 ms  ✓ OffsetArrays
   2704.7 ms  ✓ IterTools
   2890.5 ms  ✓ PkgVersion
   3311.9 ms  ✓ StructUtils
   3182.7 ms  ✓ Grisu
   5499.8 ms  ✓ Format
   3201.3 ms  ✓ Preferences
   1701.8 ms  ✓ DataValueInterfaces
   2400.8 ms  ✓ Observables
   2604.4 ms  ✓ Compat
   2210.7 ms  ✓ Requires
   2015.8 ms  ✓ EnumX
   2066.2 ms  ✓ Reexport
   2071.3 ms  ✓ StableRNGs
   1879.6 ms  ✓ Zlib_jll
   2990.5 ms  ✓ OrderedCollections
   2725.8 ms  ✓ AbstractTrees
   2890.9 ms  ✓ DocStringExtensions
   1794.3 ms  ✓ PtrArrays
   1817.5 ms  ✓ PCRE2_jll
   2308.0 ms  ✓ RoundingEmulator
   2409.2 ms  ✓ IntervalSets
   2604.3 ms  ✓ Extents
   2309.9 ms  ✓ LazyModules
   2501.5 ms  ✓ Inflate
   2825.6 ms  ✓ TranscodingStreams
   2102.4 ms  ✓ DataAPI
   2501.9 ms  ✓ ConstructionBase
   2304.2 ms  ✓ Scratch
   2296.5 ms  ✓ MappedArrays
   8916.0 ms  ✓ Distributed
   2584.4 ms  ✓ StaticArraysCore
   5291.8 ms  ✓ UnicodeFun
   6501.1 ms  ✓ IrrationalConstants
   3100.2 ms  ✓ InverseFunctions
   2987.3 ms  ✓ NaNMath
   2194.9 ms  ✓ StackViews
  10476.7 ms  ✓ MacroTools
  12715.8 ms  ✓ BaseDirs
   2202.1 ms  ✓ RelocatableFolders
   2392.8 ms  ✓ Showoff
   4202.6 ms  ✓ Primes
   2594.1 ms  ✓ PrecompileTools
   2061.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3293.4 ms  ✓ PaddedViews
   2089.9 ms  ✓ Ratios
   7283.6 ms  ✓ AdaptivePredicates
   2102.5 ms  ✓ Adapt
   3315.2 ms  ✓ ComputePipeline
   2107.8 ms  ✓ AliasTables
   2104.0 ms  ✓ Missings
   1906.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2299.3 ms  ✓ JLLWrappers
   1928.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3413.8 ms  ✓ SimpleTraits
   2061.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2600.0 ms  ✓ SharedArrays
   3511.2 ms  ✓ Tables
   3006.4 ms  ✓ LogExpFunctions
   3513.5 ms  ✓ ProgressMeter
   1926.0 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2105.2 ms  ✓ MosaicViews
   2436.5 ms  ✓ OpenSSL_jll
   2305.4 ms  ✓ Graphite2_jll
   2191.7 ms  ✓ Libmount_jll
   4962.7 ms  ✓ FFTA
   3600.1 ms  ✓ FilePathsBase
   2204.0 ms  ✓ LLVMOpenMP_jll
   7618.6 ms  ✓ DataStructures
   2309.6 ms  ✓ Bzip2_jll
   2495.8 ms  ✓ Rmath_jll
   2388.1 ms  ✓ Xorg_libXau_jll
   2327.6 ms  ✓ libpng_jll
