Precompiling Pkg...
    952.9 ms  ✓ Logging
    963.9 ms  ✓ MozillaCACerts_jll
   1048.6 ms  ✓ Zlib_jll
   1114.4 ms  ✓ NetworkOptions
   1077.8 ms  ✓ Unicode
   1145.9 ms  ✓ p7zip_jll
   1149.7 ms  ✓ UUIDs
   1163.4 ms  ✓ nghttp2_jll
   1163.4 ms  ✓ MbedTLS_jll
   1231.1 ms  ✓ Base64
    328.7 ms  ✓ LibSSH2_jll
    449.3 ms  ✓ Printf
    393.5 ms  ✓ LibCURL_jll
    443.6 ms  ✓ LibGit2_jll
   1990.2 ms  ✓ ArgTools
    569.8 ms  ✓ LibCURL
    552.2 ms  ✓ Tar
   2319.7 ms  ✓ Dates
   2774.0 ms  ✓ Markdown
   2257.2 ms  ✓ LibGit2
    408.6 ms  ✓ TOML
   2789.0 ms  ✓ Downloads
  38107.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1951.1 ms  ✓ LaTeXStrings
   1954.0 ms  ✓ IndirectArrays
   2033.6 ms  ✓ PolygonOps
   2036.2 ms  ✓ IteratorInterfaceExtensions
   2047.3 ms  ✓ RangeArrays
   2341.4 ms  ✓ CEnum
   2441.2 ms  ✓ TensorCore
   2440.0 ms  ✓ StatsAPI
   2446.3 ms  ✓ GeoFormatTypes
   2439.2 ms  ✓ TriplotBase
   2450.0 ms  ✓ Contour
   2546.9 ms  ✓ AbstractFFTs
   3230.7 ms  ✓ Serialization
   2204.7 ms  ✓ OpenLibm_jll
   2205.5 ms  ✓ InverseFunctions
   1993.4 ms  ✓ DataValueInterfaces
   2497.3 ms  ✓ CompilerSupportLibraries_jll
   4532.5 ms  ✓ FillArrays
   2615.8 ms  ✓ Statistics
   2111.3 ms  ✓ EnumX
   2398.5 ms  ✓ SuiteSparse_jll
   2600.5 ms  ✓ Observables
   2788.4 ms  ✓ IterTools
   2697.0 ms  ✓ OrderedCollections
   2792.0 ms  ✓ Requires
   5240.2 ms  ✓ OffsetArrays
   5627.6 ms  ✓ Format
   1995.7 ms  ✓ Reexport
   2398.3 ms  ✓ StableRNGs
   4206.1 ms  ✓ Grisu
   2301.7 ms  ✓ Mmap
   2004.2 ms  ✓ PtrArrays
   2587.2 ms  ✓ IntervalSets
   2509.9 ms  ✓ RoundingEmulator
   2006.6 ms  ✓ LazyModules
   2514.7 ms  ✓ Extents
   2127.2 ms  ✓ PCRE2_jll
   2908.7 ms  ✓ AbstractTrees
   2914.4 ms  ✓ TranscodingStreams
   2500.8 ms  ✓ Inflate
   1992.6 ms  ✓ CRC32c
   2094.7 ms  ✓ DataAPI
   2595.6 ms  ✓ ConstructionBase
   2100.4 ms  ✓ MappedArrays
   2382.5 ms  ✓ StaticArraysCore
   5303.7 ms  ✓ IrrationalConstants
   2678.6 ms  ✓ Scratch
   2689.8 ms  ✓ Compat
   1805.2 ms  ✓ TableTraits
   2893.2 ms  ✓ DocStringExtensions
   3615.6 ms  ✓ Preferences
   2097.3 ms  ✓ NaNMath
   2100.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2606.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6801.3 ms  ✓ AdaptivePredicates
   1887.1 ms  ✓ Ratios
   2302.7 ms  ✓ Adapt
   5293.1 ms  ✓ LazyArtifacts
   2406.5 ms  ✓ StackViews
   2807.1 ms  ✓ LogExpFunctions
   6780.2 ms  ✓ InteractiveUtils
   2207.1 ms  ✓ PaddedViews
   2285.1 ms  ✓ Showoff
   1903.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2506.2 ms  ✓ AliasTables
   6112.8 ms  ✓ PkgVersion
   2189.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2198.8 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2394.5 ms  ✓ Missings
   2018.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2194.3 ms  ✓ RelocatableFolders
   2202.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2989.0 ms  ✓ JLLWrappers
   2506.3 ms  ✓ PrecompileTools
   4103.7 ms  ✓ Tables
   2480.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2417.3 ms  ✓ MosaicViews
  10105.9 ms  ✓ Distributed
   2975.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   5617.7 ms  ✓ GeoInterface
  12197.9 ms  ✓ MacroTools
   3998.6 ms  ✓ AxisArrays
   2919.7 ms  ✓ OpenSSL_jll
   2792.8 ms  ✓ Graphite2_jll
   2802.8 ms  ✓ Libmount_jll
  12018.4 ms  ✓ FixedPointNumbers
   3004.7 ms  ✓ Bzip2_jll
   3215.8 ms  ✓ LLVMOpenMP_jll
   5498.2 ms  ✓ FilePathsBase
   2826.8 ms  ✓ Xorg_libXau_jll
   3906.6 ms  ✓ Rmath_jll
   2691.1 ms  ✓ libpng_jll
   2998.9 ms  ✓ libfdk_aac_jll
   6609.7 ms  ✓ ChainRulesCore
   2999.3 ms  ✓ Imath_jll
