nice: cannot set niceness: Permission denied
Precompiling packages...
   2126.7 ms  ✓ MozillaCACerts_jll
   2299.6 ms  ✓ OpenSSL_jll
   2227.3 ms  ✓ nghttp2_jll
   2268.0 ms  ✓ UUIDs
   2302.7 ms  ✓ NetworkOptions
   2245.8 ms  ✓ Zlib_jll
   2306.6 ms  ✓ Unicode
   2527.0 ms  ✓ CompilerSupportLibraries_jll
   2556.2 ms  ✓ Base64
   2685.3 ms  ✓ Logging
   1303.7 ms  ✓ LibSSH2_jll
   1206.0 ms  ✓ p7zip_jll
   1490.4 ms  ✓ Printf
   1076.0 ms  ✓ LibGit2_jll
   1133.6 ms  ✓ LibCURL_jll
   1778.5 ms  ✓ LibCURL
   6636.4 ms  ✓ ArgTools
   1145.2 ms  ✓ Tar
   7197.4 ms  ✓ Dates
    915.0 ms  ✓ TOML
   7650.4 ms  ✓ LibGit2
   7153.6 ms  ✓ Downloads
  23092.8 ms  ✓ StyledStrings
   4255.1 ms  ✓ JuliaSyntaxHighlighting
  10006.6 ms  ✓ Markdown
 123773.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 161 seconds
Precompiling packages...
   2251.7 ms  ✓ MuladdMacro
   2834.5 ms  ✓ RangeArrays
   2798.5 ms  ✓ StatsAPI
   2842.7 ms  ✓ IteratorInterfaceExtensions
   2994.5 ms  ✓ LaTeXStrings
   3130.7 ms  ✓ IndirectArrays
   3123.6 ms  ✓ TensorCore
   3131.4 ms  ✓ Contour
   3497.8 ms  ✓ PolygonOps
   3434.4 ms  ✓ TriplotBase
   4289.4 ms  ✓ AbstractFFTs
   3237.6 ms  ✓ IntegerMathUtils
   2832.1 ms  ✓ OpenLibm_jll
   3007.1 ms  ✓ InverseFunctions
   6424.6 ms  ✓ FillArrays
   4048.4 ms  ✓ Statistics
   7391.8 ms  ✓ OffsetArrays
   4412.0 ms  ✓ SuiteSparse_jll
   4689.4 ms  ✓ IterTools
   5309.8 ms  ✓ Serialization
   2935.5 ms  ✓ DataValueInterfaces
   3104.3 ms  ✓ EnumX
   2713.5 ms  ✓ Reexport
   3407.4 ms  ✓ StableRNGs
   9870.9 ms  ✓ Format
   5076.7 ms  ✓ Requires
  10789.5 ms  ✓ CEnum
   3473.0 ms  ✓ AbstractTrees
   3885.1 ms  ✓ DocStringExtensions
   2912.5 ms  ✓ RoundingEmulator
   3882.3 ms  ✓ IntervalSets
   2616.4 ms  ✓ PCRE2_jll
   3756.5 ms  ✓ Mmap
   3480.1 ms  ✓ Extents
   3479.5 ms  ✓ PtrArrays
   2573.7 ms  ✓ Inflate
  11040.1 ms  ✓ OrderedCollections
   2789.1 ms  ✓ DataAPI
   2714.3 ms  ✓ CRC32c
   4905.6 ms  ✓ TranscodingStreams
  11737.7 ms  ✓ Observables
   2983.0 ms  ✓ MappedArrays
   3672.4 ms  ✓ StaticArraysCore
   3077.0 ms  ✓ Scratch
   2819.6 ms  ✓ TableTraits
   8500.7 ms  ✓ AdaptivePredicates
   2983.0 ms  ✓ Primes
  16076.1 ms  ✓ Grisu
   4402.6 ms  ✓ Preferences
   3106.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2951.6 ms  ✓ StackViews
   3171.3 ms  ✓ FillArrays → FillArraysStatisticsExt
  12606.3 ms  ✓ LazyModules
  12482.3 ms  ✓ ConstructionBase
   8294.7 ms  ✓ PkgVersion
  11686.9 ms  ✓ StructUtils
   3128.6 ms  ✓ PaddedViews
   7112.3 ms  ✓ SignedDistanceFields
   2928.6 ms  ✓ Adapt
   2103.8 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2427.9 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3999.0 ms  ✓ Ratios
  20684.1 ms  ✓ IrrationalConstants
  28760.8 ms  ✓ BaseDirs
  25632.0 ms  ✓ MacroTools
  11558.7 ms  ✓ NaNMath
   3070.7 ms  ✓ AliasTables
  14310.2 ms  ✓ Compat
   3385.7 ms  ✓ RelocatableFolders
   2241.1 ms  ✓ PrecompileTools
   3119.1 ms  ✓ JLLWrappers
   3409.4 ms  ✓ Showoff
   2227.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
  18669.8 ms  ✓ InteractiveUtils
   2679.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1969.3 ms  ✓ MosaicViews
   5646.9 ms  ✓ FFTA
   2476.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   3471.7 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   9020.0 ms  ✓ DataStructures
   2608.2 ms  ✓ Compat → CompatLinearAlgebraExt
   4132.9 ms  ✓ AxisArrays
   4366.2 ms  ✓ LogExpFunctions
  10483.2 ms  ✓ Tables
  11464.8 ms  ✓ Missings
   3791.9 ms  ✓ Libmount_jll
   4900.2 ms  ✓ Graphite2_jll
   4318.3 ms  ✓ LLVMOpenMP_jll
   3221.8 ms  ✓ Xorg_libpciaccess_jll
   4829.9 ms  ✓ Bzip2_jll
   3427.2 ms  ✓ Rmath_jll
  12408.6 ms  ✓ ComputePipeline
   4288.0 ms  ✓ Xorg_libXau_jll
   3630.5 ms  ✓ libfdk_aac_jll
   3204.5 ms  ✓ Imath_jll
   4973.1 ms  ✓ libpng_jll
   4094.5 ms  ✓ Giflib_jll
   3988.4 ms  ✓ LERC_jll
  26351.8 ms  ✓ FixedPointNumbers
   4845.2 ms  ✓ LAME_jll
   4711.8 ms  ✓ EarCut_jll
   5496.7 ms  ✓ CRlibm_jll
  26551.3 ms  ✓ Distributed
   4504.0 ms  ✓ Ogg_jll
   5458.2 ms  ✓ XZ_jll
   2756.7 ms  ✓ Zstd_jll
   4092.3 ms  ✓ x264_jll
   6985.7 ms  ✓ JpegTurbo_jll
   4527.4 ms  ✓ libaom_jll
   5279.9 ms  ✓ x265_jll
   5798.3 ms  ✓ Xorg_libXdmcp_jll
  27591.7 ms  ✓ FileIO
   3807.8 ms  ✓ Libiconv_jll
   4077.8 ms  ✓ LZO_jll
   3604.4 ms  ✓ Libffi_jll
   4122.1 ms  ✓ SharedArrays
   4907.8 ms  ✓ Expat_jll
   4521.5 ms  ✓ ProgressMeter
   3918.8 ms  ✓ OpenSpecFun_jll
   4121.1 ms  ✓ FriBidi_jll
   4687.7 ms  ✓ isoband_jll
   3897.3 ms  ✓ OpenBLASConsistentFPCSR_jll
   5422.8 ms  ✓ Libuuid_jll
   3012.3 ms  ✓ SortingAlgorithms
  33987.3 ms  ✓ SparseArrays
   3294.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2676.7 ms  ✓ StructUtils → StructUtilsTablesExt
   5531.8 ms  ✓ SimpleTraits
   5494.0 ms  ✓ FilePathsBase
   4137.4 ms  ✓ Pixman_jll
   3769.3 ms  ✓ libdrm_jll
   4171.6 ms  ✓ FreeType2_jll
   3200.9 ms  ✓ CRlibm
   5597.1 ms  ✓ Rmath
   4917.8 ms  ✓ OpenEXR_jll
   3991.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
  10909.7 ms  ✓ QuadGK
   4297.0 ms  ✓ Xorg_xtrans_jll
   5223.5 ms  ✓ Opus_jll
   5618.0 ms  ✓ libvorbis_jll
   3748.1 ms  ✓ libsixel_jll
   4026.7 ms  ✓ Libtiff_jll
   1664.8 ms  ✓ Isoband
  12673.2 ms  ✓ StructArrays
   2756.5 ms  ✓ WoodburyMatrices
   2526.6 ms  ✓ SuiteSparse
   3423.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6454.8 ms  ✓ GettextRuntime_jll
  15505.1 ms  ✓ ChainRulesCore
   3631.9 ms  ✓ Statistics → SparseArraysExt
   3889.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3017.1 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   4088.6 ms  ✓ FilePaths
   2701.8 ms  ✓ StructArrays → StructArraysAdaptExt
  14665.0 ms  ✓ ColorTypes
   2611.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3546.0 ms  ✓ StructArrays → StructArraysSparseArraysExt
  11752.2 ms  ✓ Xorg_libxcb_jll
   5470.1 ms  ✓ Fontconfig_jll
   5943.3 ms  ✓ FreeType
   4162.5 ms  ✓ AxisAlgorithms
   2045.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   4585.3 ms  ✓ PDMats
   2603.1 ms  ✓ ColorTypes → StyledStringsExt
  14674.6 ms  ✓ SpecialFunctions
   3003.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   8236.1 ms  ✓ Glib_jll
   5221.3 ms  ✓ Xorg_libX11_jll
  10008.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  50887.4 ms  ✓ StaticArrays
   4507.4 ms  ✓ Xorg_libXrender_jll
  12517.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5210.4 ms  ✓ Xorg_libXext_jll
   8442.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  11538.5 ms  ✓ QOI
   4322.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4342.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   6443.4 ms  ✓ Xorg_libXfixes_jll
  10343.9 ms  ✓ HypergeometricFunctions
   4745.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   5341.6 ms  ✓ Adapt → AdaptStaticArraysExt
  26822.4 ms  ✓ IntervalArithmetic
   7242.6 ms  ✓ Cairo_jll
