Precompiling Pkg...
   1510.4 ms  ✓ Zlib_jll
   1597.6 ms  ✓ NetworkOptions
   1517.1 ms  ✓ Unicode
   1521.5 ms  ✓ Logging
   1593.7 ms  ✓ MozillaCACerts_jll
   1609.1 ms  ✓ Base64
   1618.1 ms  ✓ UUIDs
   1630.3 ms  ✓ nghttp2_jll
   1686.4 ms  ✓ p7zip_jll
   1701.7 ms  ✓ MbedTLS_jll
    605.5 ms  ✓ Printf
    475.9 ms  ✓ LibSSH2_jll
   2349.4 ms  ✓ ArgTools
    524.4 ms  ✓ LibCURL_jll
    561.3 ms  ✓ LibGit2_jll
    693.4 ms  ✓ Tar
    641.6 ms  ✓ LibCURL
   2906.2 ms  ✓ Markdown
   2408.6 ms  ✓ Dates
    479.5 ms  ✓ TOML
   2290.1 ms  ✓ LibGit2
   2844.3 ms  ✓ Downloads
  38948.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2670.5 ms  ✓ PolygonOps
   2784.2 ms  ✓ RangeArrays
   2781.2 ms  ✓ IndirectArrays
   2866.2 ms  ✓ GeoFormatTypes
   2875.3 ms  ✓ LaTeXStrings
   2961.0 ms  ✓ IteratorInterfaceExtensions
   2976.9 ms  ✓ CEnum
   3060.6 ms  ✓ TensorCore
   3058.2 ms  ✓ Contour
   3159.7 ms  ✓ TriplotBase
   3175.1 ms  ✓ StatsAPI
   3770.0 ms  ✓ AbstractFFTs
   4059.1 ms  ✓ Serialization
   3105.5 ms  ✓ OpenLibm_jll
   2883.2 ms  ✓ DataValueInterfaces
   3291.3 ms  ✓ InverseFunctions
   6063.2 ms  ✓ FillArrays
   3295.4 ms  ✓ OrderedCollections
   3403.6 ms  ✓ SuiteSparse_jll
   3306.0 ms  ✓ Observables
   2603.4 ms  ✓ EnumX
   3526.2 ms  ✓ Statistics
   6375.3 ms  ✓ OffsetArrays
   3591.7 ms  ✓ CompilerSupportLibraries_jll
   3696.7 ms  ✓ IterTools
   3989.8 ms  ✓ Requires
   7152.9 ms  ✓ Format
   5192.1 ms  ✓ Grisu
   2799.7 ms  ✓ Reexport
   3284.3 ms  ✓ StableRNGs
   2784.6 ms  ✓ PtrArrays
   2897.5 ms  ✓ Mmap
   2924.3 ms  ✓ PCRE2_jll
   3407.7 ms  ✓ AbstractTrees
   3201.2 ms  ✓ Extents
   3401.7 ms  ✓ IntervalSets
   3394.0 ms  ✓ RoundingEmulator
   2895.3 ms  ✓ LazyModules
   3721.3 ms  ✓ TranscodingStreams
   3197.0 ms  ✓ Inflate
   3406.0 ms  ✓ ConstructionBase
   2812.8 ms  ✓ DataAPI
   2714.9 ms  ✓ CRC32c
   5889.5 ms  ✓ IrrationalConstants
   2799.2 ms  ✓ StaticArraysCore
   3092.4 ms  ✓ MappedArrays
   2803.3 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3194.8 ms  ✓ Scratch
   2615.7 ms  ✓ TableTraits
   3721.5 ms  ✓ Compat
   4000.5 ms  ✓ DocStringExtensions
   8106.7 ms  ✓ AdaptivePredicates
   3099.1 ms  ✓ NaNMath
   3097.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3010.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2798.5 ms  ✓ Ratios
   3114.4 ms  ✓ Adapt
   3195.1 ms  ✓ Showoff
   3198.2 ms  ✓ AliasTables
   2788.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   7520.4 ms  ✓ InteractiveUtils
   2797.8 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2789.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2915.4 ms  ✓ RelocatableFolders
   3200.6 ms  ✓ Missings
   2505.9 ms  ✓ Compat → CompatLinearAlgebraExt
   4183.9 ms  ✓ Preferences
   5205.1 ms  ✓ GeoInterface
   3200.0 ms  ✓ LogExpFunctions
   2599.6 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   4775.4 ms  ✓ Tables
  10097.5 ms  ✓ Distributed
   4987.7 ms  ✓ AxisArrays
  12804.0 ms  ✓ MacroTools
   2892.9 ms  ✓ StackViews
   2992.7 ms  ✓ PaddedViews
   3904.8 ms  ✓ JLLWrappers
   3399.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4014.5 ms  ✓ PrecompileTools
   5899.4 ms  ✓ FilePathsBase
   3993.4 ms  ✓ SharedArrays
   3208.7 ms  ✓ MosaicViews
   7886.3 ms  ✓ ChainRulesCore
   3615.3 ms  ✓ Libmount_jll
   3688.1 ms  ✓ Rmath_jll
   3712.2 ms  ✓ LLVMOpenMP_jll
   3795.1 ms  ✓ OpenSSL_jll
   4892.8 ms  ✓ ProgressMeter
   3787.3 ms  ✓ Xorg_libXau_jll
   4484.6 ms  ✓ SimpleTraits
   8593.9 ms  ✓ DataStructures
   3876.9 ms  ✓ libpng_jll
   3606.6 ms  ✓ libfdk_aac_jll
   3787.7 ms  ✓ Imath_jll
  17899.6 ms  ✓ SparseArrays
   3508.4 ms  ✓ LERC_jll
   3721.7 ms  ✓ Giflib_jll
   4081.3 ms  ✓ LAME_jll
   3910.2 ms  ✓ XZ_jll
   3703.4 ms  ✓ x265_jll
   4008.9 ms  ✓ Xorg_libXdmcp_jll
