nice: cannot set niceness: Permission denied
Precompiling packages...
   2101.8 ms  ✓ RangeArrays
   2027.8 ms  ✓ IteratorInterfaceExtensions
   2028.5 ms  ✓ PolygonOps
   2041.7 ms  ✓ IndirectArrays
   2046.9 ms  ✓ LaTeXStrings
   2046.7 ms  ✓ CEnum
   2124.4 ms  ✓ Contour
   2117.6 ms  ✓ IntegerMathUtils
   2151.1 ms  ✓ StatsAPI
   2152.0 ms  ✓ TensorCore
   2303.2 ms  ✓ TriplotBase
   2939.6 ms  ✓ AbstractFFTs
   1914.2 ms  ✓ TableTraits
   2006.4 ms  ✓ CommonSolve
   2192.5 ms  ✓ CompilerSupportLibraries_jll
   2213.7 ms  ✓ InverseFunctions
   2313.9 ms  ✓ OpenLibm_jll
   4419.5 ms  ✓ FillArrays
   2503.5 ms  ✓ IterTools
   2497.1 ms  ✓ SuiteSparse_jll
   4734.1 ms  ✓ OffsetArrays
   2604.6 ms  ✓ PkgVersion
   5022.5 ms  ✓ Format
   2482.8 ms  ✓ Compat
   3414.4 ms  ✓ Preferences
   1908.1 ms  ✓ DataValueInterfaces
   1598.6 ms  ✓ Reexport
   2279.4 ms  ✓ Observables
   1995.8 ms  ✓ EnumX
   2476.1 ms  ✓ OrderedCollections
   2210.2 ms  ✓ Requires
   1797.1 ms  ✓ Zlib_jll
   2095.8 ms  ✓ StableRNGs
   2607.6 ms  ✓ DocStringExtensions
   2774.6 ms  ✓ AbstractTrees
   2519.3 ms  ✓ IntervalSets
   1891.8 ms  ✓ CompositionsBase
   1893.8 ms  ✓ PtrArrays
   2391.1 ms  ✓ RoundingEmulator
   2306.0 ms  ✓ PCRE2_jll
   2327.4 ms  ✓ Ratios
   2628.6 ms  ✓ TranscodingStreams
   2801.8 ms  ✓ Inflate
   2223.0 ms  ✓ Adapt
   2578.0 ms  ✓ ConstructionBase
   7892.2 ms  ✓ Distributed
   2003.1 ms  ✓ DataAPI
   1819.4 ms  ✓ Scratch
   4993.8 ms  ✓ IrrationalConstants
   2201.3 ms  ✓ StaticArraysCore
   2802.2 ms  ✓ MappedArrays
   2382.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2001.7 ms  ✓ NaNMath
   2773.8 ms  ✓ Primes
   5814.3 ms  ✓ UnicodeFun
  10023.6 ms  ✓ MacroTools
   2580.2 ms  ✓ SharedArrays
   2689.8 ms  ✓ JLLWrappers
   2804.0 ms  ✓ StackViews
  13052.9 ms  ✓ BaseDirs
   6606.5 ms  ✓ AdaptivePredicates
   2723.9 ms  ✓ PrecompileTools
   4302.3 ms  ✓ StructUtils
   3890.6 ms  ✓ ProgressMeter
   2205.5 ms  ✓ LazyModules
   1884.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2079.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1922.5 ms  ✓ AliasTables
   3091.3 ms  ✓ ComputePipeline
   1896.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2307.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2096.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2100.7 ms  ✓ PaddedViews
   2197.0 ms  ✓ Missings
   1794.2 ms  ✓ RelocatableFolders
   1987.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3626.0 ms  ✓ Tables
   2394.8 ms  ✓ OpenSSL_jll
   2717.7 ms  ✓ LogExpFunctions
   2383.8 ms  ✓ CoreMath_jll
   2306.7 ms  ✓ Graphite2_jll
   2191.5 ms  ✓ Libmount_jll
   2278.1 ms  ✓ LLVMOpenMP_jll
   2219.4 ms  ✓ Bzip2_jll
   3306.1 ms  ✓ SimpleTraits
   2108.8 ms  ✓ Xorg_libpciaccess_jll
   2299.8 ms  ✓ Xorg_libXau_jll
   2330.5 ms  ✓ Rmath_jll
   7423.4 ms  ✓ DataStructures
   2398.1 ms  ✓ libpng_jll
   2400.4 ms  ✓ libfdk_aac_jll
   2401.6 ms  ✓ Imath_jll
   2398.6 ms  ✓ Giflib_jll
   2419.7 ms  ✓ LAME_jll
   2303.6 ms  ✓ CRlibm_jll
   2325.6 ms  ✓ EarCut_jll
   2594.9 ms  ✓ LERC_jll
   2419.7 ms  ✓ JpegTurbo_jll
   2604.0 ms  ✓ XZ_jll
   2410.4 ms  ✓ Ogg_jll
   2403.3 ms  ✓ Xorg_libXdmcp_jll
   2496.1 ms  ✓ x265_jll
   2569.7 ms  ✓ SortingAlgorithms
   2577.7 ms  ✓ libaom_jll
   2674.2 ms  ✓ Zstd_jll
   2592.4 ms  ✓ Opus_jll
   2316.8 ms  ✓ Libffi_jll
   2480.6 ms  ✓ Xorg_xtrans_jll
   3026.2 ms  ✓ Expat_jll
   2697.0 ms  ✓ Libiconv_jll
   3199.5 ms  ✓ isoband_jll
   2597.9 ms  ✓ OpenBLASConsistentFPCSR_jll
   2714.9 ms  ✓ FriBidi_jll
