Precompiling Pkg...
   1059.2 ms  ✓ Zlib_jll
   1066.4 ms  ✓ MbedTLS_jll
   1071.4 ms  ✓ UUIDs
   1074.1 ms  ✓ Logging
   1079.0 ms  ✓ nghttp2_jll
   1089.6 ms  ✓ MozillaCACerts_jll
   1096.4 ms  ✓ Unicode
   1199.2 ms  ✓ NetworkOptions
   1199.0 ms  ✓ p7zip_jll
   1244.4 ms  ✓ Base64
    365.0 ms  ✓ LibSSH2_jll
    483.9 ms  ✓ Printf
    357.0 ms  ✓ LibCURL_jll
    367.0 ms  ✓ LibGit2_jll
   2094.0 ms  ✓ ArgTools
    612.1 ms  ✓ LibCURL
    551.6 ms  ✓ Tar
   2391.6 ms  ✓ Dates
   2894.8 ms  ✓ Markdown
   2418.6 ms  ✓ LibGit2
    414.4 ms  ✓ TOML
   2859.3 ms  ✓ Downloads
  38159.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1980.4 ms  ✓ IteratorInterfaceExtensions
   1988.0 ms  ✓ LaTeXStrings
   1993.0 ms  ✓ IndirectArrays
   1999.8 ms  ✓ RangeArrays
   2082.9 ms  ✓ PolygonOps
   2183.9 ms  ✓ CEnum
   2270.4 ms  ✓ StatsAPI
   2272.9 ms  ✓ Contour
   2289.6 ms  ✓ TensorCore
   2381.3 ms  ✓ GeoFormatTypes
   2474.1 ms  ✓ TriplotBase
   2989.9 ms  ✓ AbstractFFTs
   3552.8 ms  ✓ Serialization
   2395.5 ms  ✓ OpenLibm_jll
   2394.9 ms  ✓ InverseFunctions
   4762.6 ms  ✓ FillArrays
   2779.1 ms  ✓ CompilerSupportLibraries_jll
   2597.6 ms  ✓ SuiteSparse_jll
   1805.1 ms  ✓ DataValueInterfaces
   2898.9 ms  ✓ Statistics
   2508.5 ms  ✓ Observables
   3013.3 ms  ✓ IterTools
   2694.2 ms  ✓ Requires
   2985.5 ms  ✓ OrderedCollections
   5280.0 ms  ✓ OffsetArrays
   2025.3 ms  ✓ EnumX
   5670.3 ms  ✓ Format
   4307.2 ms  ✓ Grisu
   2212.0 ms  ✓ StableRNGs
   1908.2 ms  ✓ Reexport
   1809.6 ms  ✓ PtrArrays
   1996.9 ms  ✓ PCRE2_jll
   2599.3 ms  ✓ IntervalSets
   2471.2 ms  ✓ Mmap
   2781.2 ms  ✓ AbstractTrees
   2789.9 ms  ✓ DocStringExtensions
   2595.5 ms  ✓ Extents
   2990.1 ms  ✓ TranscodingStreams
   2101.2 ms  ✓ LazyModules
   2388.5 ms  ✓ ConstructionBase
   1991.9 ms  ✓ DataAPI
   2489.8 ms  ✓ Inflate
   1895.7 ms  ✓ CRC32c
   2224.2 ms  ✓ MappedArrays
   2305.4 ms  ✓ Scratch
   3094.1 ms  ✓ StaticArraysCore
   5895.5 ms  ✓ IrrationalConstants
   1792.9 ms  ✓ TableTraits
   2702.9 ms  ✓ Compat
   3608.9 ms  ✓ Preferences
   2784.0 ms  ✓ NaNMath
   2289.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   3394.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2506.6 ms  ✓ RoundingEmulator
   7796.2 ms  ✓ AdaptivePredicates
  11499.6 ms  ✓ MacroTools
   3080.4 ms  ✓ Ratios
   5396.0 ms  ✓ LazyArtifacts
   5792.4 ms  ✓ PkgVersion
   2690.1 ms  ✓ Adapt
   7395.5 ms  ✓ InteractiveUtils
   2297.4 ms  ✓ StackViews
   2209.9 ms  ✓ Showoff
   2619.3 ms  ✓ PaddedViews
   2210.1 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2693.7 ms  ✓ AliasTables
  11710.7 ms  ✓ FixedPointNumbers
   2426.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   2901.9 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2392.8 ms  ✓ RelocatableFolders
   2801.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2711.1 ms  ✓ Missings
   2487.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2611.1 ms  ✓ JLLWrappers
   9700.2 ms  ✓ Distributed
   2300.5 ms  ✓ PrecompileTools
