nice: cannot set niceness: Permission denied
Precompiling project...
   1797.6 ms  ✓ DefineSingletons
   1908.3 ms  ✓ RealDot
   2064.9 ms  ✓ Reexport
   2395.9 ms  ✓ DataValueInterfaces
   2510.2 ms  ✓ Unicode
   2578.6 ms  ✓ InverseFunctions
   2592.6 ms  ✓ OpenLibm_jll
   2689.4 ms  ✓ AbstractFFTs
   2696.7 ms  ✓ OrderedCollections
   2848.8 ms  ✓ DocStringExtensions
   2802.6 ms  ✓ Statistics
   2894.4 ms  ✓ Serialization
   3564.1 ms  ✓ EnzymeCore
   1793.8 ms  ✓ IteratorInterfaceExtensions
   4192.2 ms  ✓ FillArrays
   2423.6 ms  ✓ ConstructionBase
   2014.6 ms  ✓ DataAPI
   2508.2 ms  ✓ PrettyPrint
   2002.8 ms  ✓ StatsAPI
   2110.1 ms  ✓ ArgCheck
   2055.9 ms  ✓ ShowCases
   2094.8 ms  ✓ Mmap
   2611.7 ms  ✓ CompilerSupportLibraries_jll
   2716.8 ms  ✓ SuiteSparse_jll
   2800.7 ms  ✓ ProgressLogging
   2398.7 ms  ✓ CompositionsBase
   2059.2 ms  ✓ Future
   6391.1 ms  ✓ IrrationalConstants
   2193.1 ms  ✓ HashArrayMappedTries
   2431.7 ms  ✓ PtrArrays
   2408.0 ms  ✓ NameResolution
   2713.3 ms  ✓ Requires
   2494.6 ms  ✓ Compat
   2100.0 ms  ✓ NaNMath
   4009.3 ms  ✓ InitialValues
   1814.5 ms  ✓ TableTraits
   3101.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1972.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3600.7 ms  ✓ Preferences
   2464.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   5407.2 ms  ✓ Baselet
   2399.0 ms  ✓ StaticArraysCore
   8101.1 ms  ✓ UnsafeAtomics
   2794.6 ms  ✓ Missings
   1813.2 ms  ✓ ScopedValues
   3205.6 ms  ✓ DelimitedFiles
   2702.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3014.0 ms  ✓ LogExpFunctions
   7697.9 ms  ✓ InteractiveUtils
   2581.1 ms  ✓ Adapt
   2801.2 ms  ✓ AliasTables
   2253.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2288.0 ms  ✓ DiffResults
   2696.5 ms  ✓ PrecompileTools
   2706.4 ms  ✓ JLLWrappers
   2682.2 ms  ✓ Atomix
   3975.2 ms  ✓ Tables
   2700.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8257.5 ms  ✓ DataStructures
   2508.5 ms  ✓ EnzymeCore → AdaptExt
   2803.6 ms  ✓ GPUArraysCore
  11252.4 ms  ✓ MacroTools
   2401.1 ms  ✓ ContextVariablesX
   8997.3 ms  ✓ Distributed
   3225.0 ms  ✓ Functors
   2311.3 ms  ✓ SortingAlgorithms
   3792.8 ms  ✓ OpenSpecFun_jll
   2549.2 ms  ✓ CommonSubexpressions
   5058.6 ms  ✓ ChainRulesCore
   3504.9 ms  ✓ StructArrays
   3549.4 ms  ✓ FLoopsBase
   3554.9 ms  ✓ SimpleTraits
   2217.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3496.5 ms  ✓ MLDataDevices
   2209.1 ms  ✓ StructArrays → StructArraysAdaptExt
   5498.9 ms  ✓ Setfield
   2240.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4264.5 ms  ✓ ZygoteRules
   2373.9 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2362.7 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   7531.7 ms  ✓ IRTools
   7621.6 ms  ✓ Accessors
   5004.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4197.9 ms  ✓ MLCore
   5207.2 ms  ✓ Optimisers
  15284.8 ms  ✓ SparseArrays
   1783.1 ms  ✓ Accessors → LinearAlgebraExt
   1798.0 ms  ✓ Accessors → StructArraysExt
   1590.5 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1595.9 ms  ✓ Optimisers → OptimisersAdaptExt
  13709.9 ms  ✓ Test
   2297.9 ms  ✓ Statistics → SparseArraysExt
   2889.8 ms  ✓ Adapt → AdaptSparseArraysExt
   3002.2 ms  ✓ SuiteSparse
   2916.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3009.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2991.2 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   3063.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3405.7 ms  ✓ BangBang
   2056.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  10794.8 ms  ✓ SpecialFunctions
