nice: cannot set niceness: Permission denied
Precompiling packages...
 117173.5 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 117 seconds
Precompiling packages...
   1795.6 ms  ✓ RealDot
   1887.4 ms  ✓ DefineSingletons
   2441.0 ms  ✓ Unicode
   2404.4 ms  ✓ Reexport
   2525.7 ms  ✓ DataValueInterfaces
   2739.2 ms  ✓ OpenLibm_jll
   3244.4 ms  ✓ AbstractFFTs
   3135.6 ms  ✓ Statistics
   3285.3 ms  ✓ InverseFunctions
   3627.3 ms  ✓ DocStringExtensions
   3822.0 ms  ✓ EnzymeCore
   2129.7 ms  ✓ IteratorInterfaceExtensions
   1856.9 ms  ✓ PrettyPrint
   4493.2 ms  ✓ Serialization
   2835.8 ms  ✓ DataAPI
   2152.2 ms  ✓ StatsAPI
   2662.4 ms  ✓ ArgCheck
   2304.2 ms  ✓ ProgressLogging
   6159.0 ms  ✓ FillArrays
   2448.6 ms  ✓ SuiteSparse_jll
   2158.5 ms  ✓ CompositionsBase
   3531.8 ms  ✓ CompilerSupportLibraries_jll
   2939.9 ms  ✓ Mmap
   1954.5 ms  ✓ Future
   1956.7 ms  ✓ PtrArrays
   2060.7 ms  ✓ HashArrayMappedTries
   2593.2 ms  ✓ SciMLPublic
   2458.8 ms  ✓ StaticArraysCore
   4822.1 ms  ✓ ADTypes
   3677.6 ms  ✓ Requires
   5057.7 ms  ✓ InitialValues
   2620.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1977.6 ms  ✓ TableTraits
  12375.2 ms  ✓ OrderedCollections
   3709.3 ms  ✓ Preferences
   2007.2 ms  ✓ NameResolution
  11604.4 ms  ✓ ConstructionBase
   6809.7 ms  ✓ Baselet
  11759.3 ms  ✓ UnsafeAtomics
  11014.5 ms  ✓ ShowCases
   2534.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   2689.4 ms  ✓ DelimitedFiles
   2889.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2221.1 ms  ✓ ScopedValues
  15956.1 ms  ✓ IrrationalConstants
   1821.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2225.0 ms  ✓ DiffResults
   9604.8 ms  ✓ Compat
   3641.2 ms  ✓ AliasTables
   1436.4 ms  ✓ PrecompileTools
   1407.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3366.1 ms  ✓ Adapt
   2101.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1999.9 ms  ✓ Atomix
  10314.9 ms  ✓ NaNMath
   1783.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2640.8 ms  ✓ LogExpFunctions
   4149.5 ms  ✓ JLLWrappers
   2214.6 ms  ✓ EnzymeCore → AdaptExt
   1899.9 ms  ✓ ContextVariablesX
  13973.1 ms  ✓ InteractiveUtils
   3221.8 ms  ✓ GPUArraysCore
   2074.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  11508.5 ms  ✓ Missings
   7734.2 ms  ✓ DataStructures
   3171.8 ms  ✓ OpenSpecFun_jll
   2762.4 ms  ✓ FLoopsBase
  19613.8 ms  ✓ MacroTools
   2456.3 ms  ✓ SortingAlgorithms
   2482.1 ms  ✓ CommonSubexpressions
  11618.3 ms  ✓ Tables
   8453.7 ms  ✓ Functors
   4053.9 ms  ✓ SimpleTraits
   4712.9 ms  ✓ Setfield
  18532.0 ms  ✓ Distributed
   3833.2 ms  ✓ MLDataDevices
  13070.0 ms  ✓ ChainRulesCore
   6198.6 ms  ✓ MLCore
   2772.5 ms  ✓ MLDataDevices → FillArraysExt
   2753.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3144.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3145.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  12232.6 ms  ✓ SpecialFunctions
   3908.7 ms  ✓ ZygoteRules
   1943.9 ms  ✓ MLDataDevices → ChainRulesCoreExt
   9429.4 ms  ✓ StructArrays
   1680.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   1908.1 ms  ✓ StructArrays → StructArraysAdaptExt
  14437.8 ms  ✓ IRTools
   2775.8 ms  ✓ DiffRules
   7192.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  27531.8 ms  ✓ SparseArrays
  16793.8 ms  ✓ Accessors
   3261.8 ms  ✓ Statistics → SparseArraysExt
   7747.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3671.5 ms  ✓ SuiteSparse
   3751.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3757.0 ms  ✓ Adapt → AdaptSparseArraysExt
   3082.7 ms  ✓ Accessors → StructArraysExt
   3883.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3113.0 ms  ✓ Accessors → LinearAlgebraExt
   3954.6 ms  ✓ MLDataDevices → SparseArraysExt
  23779.8 ms  ✓ Test
  13155.8 ms  ✓ Optimisers
   2633.2 ms  ✓ SparseInverseSubset
   1259.6 ms  ✓ Optimisers → OptimisersAdaptExt
   3110.7 ms  ✓ BangBang
   2751.7 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   3117.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1794.6 ms  ✓ BangBang → BangBangStructArraysExt
   3980.7 ms  ✓ SplittablesBase
   3994.9 ms  ✓ Accessors → TestExt
   2279.4 ms  ✓ BangBang → BangBangTablesExt
   2452.8 ms  ✓ BangBang → BangBangChainRulesCoreExt
   9653.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2930.4 ms  ✓ MicroCollections
   6453.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  15705.2 ms  ✓ ForwardDiff
  12841.2 ms  ✓ StatsBase
  38169.0 ms  ✓ StaticArrays
   2222.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2423.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2498.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2532.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2967.9 ms  ✓ Accessors → StaticArraysExt
   3087.0 ms  ✓ BangBang → BangBangStaticArraysExt
   3257.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  10292.4 ms  ✓ Transducers
   1812.1 ms  ✓ Transducers → TransducersAdaptExt
   6671.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6846.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  21519.7 ms  ✓ ChainRules
   2258.6 ms  ✓ MLDataDevices → ChainRulesExt
  14973.0 ms  ✓ KernelAbstractions
  74081.8 ms  ✓ MLStyle
   1422.2 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1667.5 ms  ✓ KernelAbstractions → EnzymeExt
   1804.1 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1894.7 ms  ✓ KernelAbstractions → SparseArraysExt
   4755.0 ms  ✓ JuliaVariables
   8537.3 ms  ✓ NNlib
   2006.5 ms  ✓ NNlib → NNlibForwardDiffExt
   2036.3 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   2140.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
   2768.2 ms  ✓ OneHotArrays
   7951.4 ms  ✓ FLoops
   1377.8 ms  ✓ MLDataDevices → OneHotArraysExt
  13149.5 ms  ✓ MLUtils
   2443.6 ms  ✓ MLDataDevices → MLUtilsExt
  57543.0 ms  ✓ Zygote
   2774.5 ms  ✓ MLDataDevices → ZygoteExt
  15231.5 ms  ✓ Flux
  152 dependencies successfully precompiled in 147 seconds. 9 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 634.96
	System time (seconds): 37.70
	Percent of CPU this job got: 253%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:25.63
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2153500
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 457
	Minor (reclaiming a frame) page faults: 9060703
	Voluntary context switches: 23186
	Involuntary context switches: 140125
	Swaps: 0
	File system inputs: 28136
	File system outputs: 817504
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
