nice: cannot set niceness: Permission denied
Precompiling packages...
   1843.4 ms  ✓ Reexport
   2004.3 ms  ✓ DefineSingletons
   1856.9 ms  ✓ DataValueInterfaces
   1858.1 ms  ✓ RealDot
   2040.8 ms  ✓ OpenLibm_jll
   2150.2 ms  ✓ DelimitedFiles
   2451.3 ms  ✓ Requires
   2519.8 ms  ✓ InverseFunctions
   2649.2 ms  ✓ AbstractFFTs
   2763.8 ms  ✓ Compat
   2915.4 ms  ✓ DocStringExtensions
   2957.2 ms  ✓ OrderedCollections
   3194.8 ms  ✓ EnzymeCore
   1975.8 ms  ✓ IteratorInterfaceExtensions
   1996.5 ms  ✓ PrettyPrint
   2113.4 ms  ✓ DataAPI
   2299.7 ms  ✓ ConstructionBase
   2105.4 ms  ✓ ArgCheck
   4454.8 ms  ✓ FillArrays
   2096.9 ms  ✓ StatsAPI
   2185.1 ms  ✓ CompilerSupportLibraries_jll
   2506.3 ms  ✓ ShowCases
   2337.4 ms  ✓ ProgressLogging
   2033.3 ms  ✓ CompositionsBase
   2394.1 ms  ✓ SuiteSparse_jll
   5530.6 ms  ✓ IrrationalConstants
   2003.6 ms  ✓ SciMLPublic
   2389.0 ms  ✓ Missings
   2212.9 ms  ✓ StaticArraysCore
   2319.2 ms  ✓ HashArrayMappedTries
   3094.0 ms  ✓ ADTypes
   2093.6 ms  ✓ NaNMath
   1892.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2198.0 ms  ✓ Adapt
   3002.4 ms  ✓ Preferences
   3817.8 ms  ✓ InitialValues
   1892.8 ms  ✓ Compat → CompatLinearAlgebraExt
   1908.2 ms  ✓ TableTraits
   1989.8 ms  ✓ NameResolution
   1905.1 ms  ✓ PtrArrays
   1903.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2194.7 ms  ✓ DiffResults
   2215.5 ms  ✓ ScopedValues
   5393.8 ms  ✓ Baselet
   3099.1 ms  ✓ LogExpFunctions
   1991.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   8975.7 ms  ✓ UnsafeAtomics
   2593.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1801.1 ms  ✓ EnzymeCore → AdaptExt
   8095.0 ms  ✓ Distributed
   2086.2 ms  ✓ PrecompileTools
   2609.5 ms  ✓ GPUArraysCore
   2008.9 ms  ✓ AliasTables
   2402.0 ms  ✓ ContextVariablesX
   2612.2 ms  ✓ JLLWrappers
   2103.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2190.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2210.4 ms  ✓ Atomix
   9432.2 ms  ✓ MacroTools
   2605.0 ms  ✓ Functors
   3599.6 ms  ✓ Tables
   8199.8 ms  ✓ DataStructures
   2495.6 ms  ✓ FLoopsBase
   2589.1 ms  ✓ OpenSpecFun_jll
   2593.8 ms  ✓ CommonSubexpressions
  12299.2 ms  ✓ Test
   5789.2 ms  ✓ ChainRulesCore
   3014.7 ms  ✓ SimpleTraits
   2294.5 ms  ✓ SortingAlgorithms
   3705.0 ms  ✓ MLDataDevices
   1891.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3997.1 ms  ✓ StructArrays
   2007.5 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2285.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2199.0 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   5225.1 ms  ✓ Setfield
   3614.7 ms  ✓ ZygoteRules
   1718.5 ms  ✓ MLDataDevices → FillArraysExt
   1883.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2104.7 ms  ✓ MLDataDevices → ChainRulesCoreExt
   3212.5 ms  ✓ MLCore
   7279.8 ms  ✓ IRTools
   4504.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  13525.9 ms  ✓ SparseArrays
   2495.5 ms  ✓ SplittablesBase
   7802.6 ms  ✓ Accessors
   1223.7 ms  ✓ StructArrays → StructArraysAdaptExt
   4524.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1262.6 ms  ✓ SuiteSparse
   1286.8 ms  ✓ Adapt → AdaptSparseArraysExt
   1215.7 ms  ✓ Accessors → LinearAlgebraExt
   1392.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1489.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1608.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1775.9 ms  ✓ Statistics
   8097.3 ms  ✓ SpecialFunctions
   1197.2 ms  ✓ Accessors → StructArraysExt
   1290.5 ms  ✓ MLDataDevices → SparseArraysExt
   1327.5 ms  ✓ SparseInverseSubset
   1208.3 ms  ✓ Accessors → TestExt
   1390.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   1827.1 ms  ✓ BangBang
   1201.4 ms  ✓ DiffRules
   1060.8 ms  ✓ BangBang → BangBangTablesExt
   2579.0 ms  ✓ Optimisers
   1159.3 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1480.9 ms  ✓ MicroCollections
    920.6 ms  ✓ Optimisers → OptimisersAdaptExt
   1003.7 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1110.2 ms  ✓ BangBang → BangBangStructArraysExt
   2904.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3982.2 ms  ✓ StatsBase
  16941.4 ms  ✓ StaticArrays
   3272.7 ms  ✓ Transducers
   1066.1 ms  ✓ Adapt → AdaptStaticArraysExt
   1078.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1163.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1163.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1535.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   5124.6 ms  ✓ ForwardDiff
   1137.4 ms  ✓ Transducers → TransducersAdaptExt
    989.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1022.4 ms  ✓ Accessors → StaticArraysExt
    702.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    531.3 ms  ✓ BangBang → BangBangStaticArraysExt
   7355.0 ms  ✓ ChainRules
    741.5 ms  ✓ MLDataDevices → ChainRulesExt
   4408.2 ms  ✓ KernelAbstractions
   1126.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
  35072.1 ms  ✓ MLStyle
    567.0 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    587.1 ms  ✓ KernelAbstractions → EnzymeExt
    648.7 ms  ✓ KernelAbstractions → SparseArraysExt
   1535.1 ms  ✓ JuliaVariables
   2037.4 ms  ✓ FLoops
   3118.8 ms  ✓ NNlib
    746.8 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    834.0 ms  ✓ OneHotArrays
    927.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
    704.2 ms  ✓ NNlib → NNlibForwardDiffExt
    663.5 ms  ✓ MLDataDevices → OneHotArraysExt
   3614.3 ms  ✓ MLUtils
    941.7 ms  ✓ MLDataDevices → MLUtilsExt
  20799.0 ms  ✓ Zygote
    789.0 ms  ✓ MLDataDevices → ZygoteExt
   3766.5 ms  ✓ Flux
  146 dependencies successfully precompiled in 57 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 181.29
	System time (seconds): 25.67
	Percent of CPU this job got: 358%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.78
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 967756
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 392
	Minor (reclaiming a frame) page faults: 6166411
	Voluntary context switches: 173872
	Involuntary context switches: 57440
	Swaps: 0
	File system inputs: 0
	File system outputs: 454400
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
