nice: cannot set niceness: Permission denied
Precompiling packages...
 108539.2 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 109 seconds
Precompiling packages...
   2013.5 ms  ✓ OpenLibm_jll
   2633.4 ms  ✓ Unicode
   2836.6 ms  ✓ DefineSingletons
   3020.3 ms  ✓ DataValueInterfaces
   2892.1 ms  ✓ Statistics
   3297.7 ms  ✓ RealDot
   3318.1 ms  ✓ AbstractFFTs
   3411.9 ms  ✓ Reexport
   3602.4 ms  ✓ Serialization
   3627.4 ms  ✓ EnzymeCore
   3769.8 ms  ✓ InverseFunctions
   4214.5 ms  ✓ DocStringExtensions
   2307.2 ms  ✓ DataAPI
   2596.8 ms  ✓ PrettyPrint
   5504.5 ms  ✓ FillArrays
   3206.0 ms  ✓ IteratorInterfaceExtensions
   2340.3 ms  ✓ CompilerSupportLibraries_jll
   3034.4 ms  ✓ ArgCheck
   2671.5 ms  ✓ ProgressLogging
   2614.6 ms  ✓ SuiteSparse_jll
   3172.9 ms  ✓ StatsAPI
   2889.5 ms  ✓ Mmap
   2116.0 ms  ✓ Future
   2277.9 ms  ✓ CompositionsBase
   2318.8 ms  ✓ StaticArraysCore
   2317.8 ms  ✓ HashArrayMappedTries
   3382.1 ms  ✓ PtrArrays
   3298.4 ms  ✓ SciMLPublic
   9825.1 ms  ✓ OrderedCollections
   4589.6 ms  ✓ ADTypes
   9398.8 ms  ✓ ConstructionBase
   8607.0 ms  ✓ ShowCases
   5905.1 ms  ✓ InitialValues
   2618.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5911.4 ms  ✓ Baselet
   5731.8 ms  ✓ Requires
   2031.8 ms  ✓ NameResolution
   4608.9 ms  ✓ Preferences
   2267.7 ms  ✓ TableTraits
   2800.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2465.5 ms  ✓ DelimitedFiles
   2470.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2542.9 ms  ✓ DiffResults
  13123.2 ms  ✓ UnsafeAtomics
   2970.8 ms  ✓ ScopedValues
  16961.2 ms  ✓ IrrationalConstants
   2199.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2197.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2123.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3727.3 ms  ✓ AliasTables
   9716.9 ms  ✓ NaNMath
   9906.1 ms  ✓ Compat
   2981.5 ms  ✓ Adapt
   2539.2 ms  ✓ PrecompileTools
   3399.4 ms  ✓ JLLWrappers
  10519.2 ms  ✓ Missings
   3030.5 ms  ✓ Atomix
   2212.6 ms  ✓ EnzymeCore → AdaptExt
   2798.6 ms  ✓ Compat → CompatLinearAlgebraExt
   4313.5 ms  ✓ LogExpFunctions
   3905.7 ms  ✓ GPUArraysCore
   8797.5 ms  ✓ DataStructures
  16036.3 ms  ✓ InteractiveUtils
   3323.3 ms  ✓ OpenSpecFun_jll
   2580.4 ms  ✓ ContextVariablesX
  18810.1 ms  ✓ MacroTools
  14745.4 ms  ✓ Distributed
   2084.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2019.9 ms  ✓ FLoopsBase
   2662.5 ms  ✓ SortingAlgorithms
   2882.0 ms  ✓ CommonSubexpressions
   9252.6 ms  ✓ Tables
   3502.0 ms  ✓ SimpleTraits
   6318.3 ms  ✓ Setfield
   9490.2 ms  ✓ Functors
   4300.2 ms  ✓ MLCore
  11074.4 ms  ✓ ChainRulesCore
   7383.8 ms  ✓ StructArrays
  10710.7 ms  ✓ SpecialFunctions
   3682.9 ms  ✓ MLDataDevices
   2202.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2796.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3400.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3835.5 ms  ✓ ZygoteRules
   2475.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
  12887.2 ms  ✓ IRTools
  24917.3 ms  ✓ SparseArrays
   3333.8 ms  ✓ StructArrays → StructArraysAdaptExt
   2687.9 ms  ✓ MLDataDevices → FillArraysExt
  13880.3 ms  ✓ Accessors
   3475.1 ms  ✓ MLDataDevices → ChainRulesCoreExt
   4115.6 ms  ✓ DiffRules
   2822.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3154.4 ms  ✓ SuiteSparse
   2767.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3284.8 ms  ✓ Statistics → SparseArraysExt
   3748.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3106.4 ms  ✓ Accessors → LinearAlgebraExt
   2923.3 ms  ✓ Accessors → StructArraysExt
   8808.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3924.6 ms  ✓ MLDataDevices → SparseArraysExt
   8337.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  19596.5 ms  ✓ Test
   2855.0 ms  ✓ SparseInverseSubset
  11434.6 ms  ✓ Optimisers
   3307.4 ms  ✓ BangBang
   2148.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1886.1 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1888.7 ms  ✓ Optimisers → OptimisersAdaptExt
   3015.0 ms  ✓ Accessors → TestExt
   1978.9 ms  ✓ BangBang → BangBangStructArraysExt
   9097.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2198.3 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2380.0 ms  ✓ BangBang → BangBangTablesExt
   3858.2 ms  ✓ SplittablesBase
   2699.8 ms  ✓ MicroCollections
   4829.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10483.4 ms  ✓ StatsBase
  32130.0 ms  ✓ StaticArrays
   2661.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2747.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2819.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2920.2 ms  ✓ Accessors → StaticArraysExt
   3151.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3202.3 ms  ✓ BangBang → BangBangStaticArraysExt
  16587.5 ms  ✓ ForwardDiff
   5306.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1553.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   5581.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
  11568.0 ms  ✓ Transducers
   2392.5 ms  ✓ Transducers → TransducersAdaptExt
  17814.5 ms  ✓ ChainRules
   2578.6 ms  ✓ MLDataDevices → ChainRulesExt
  67079.0 ms  ✓ MLStyle
  12697.0 ms  ✓ KernelAbstractions
   1256.5 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1425.6 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1483.8 ms  ✓ KernelAbstractions → SparseArraysExt
   1556.3 ms  ✓ KernelAbstractions → EnzymeExt
   3317.2 ms  ✓ JuliaVariables
   5265.8 ms  ✓ NNlib
   1318.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1346.8 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1488.3 ms  ✓ NNlib → NNlibForwardDiffExt
   4709.8 ms  ✓ FLoops
   1609.9 ms  ✓ OneHotArrays
    822.6 ms  ✓ MLDataDevices → OneHotArraysExt
   7274.9 ms  ✓ MLUtils
