nice: cannot set niceness: Permission denied
Precompiling packages...
   1590.6 ms  ✓ MozillaCACerts_jll
   1597.4 ms  ✓ Logging
   1598.3 ms  ✓ UUIDs
   1686.8 ms  ✓ CompilerSupportLibraries_jll
   1684.7 ms  ✓ Zlib_jll
   1688.1 ms  ✓ nghttp2_jll
   1712.1 ms  ✓ Unicode
   1820.9 ms  ✓ OpenSSL_jll
   1825.2 ms  ✓ NetworkOptions
   1868.7 ms  ✓ Base64
    596.4 ms  ✓ p7zip_jll
    503.7 ms  ✓ LibSSH2_jll
    701.3 ms  ✓ Printf
    451.2 ms  ✓ LibCURL_jll
    475.2 ms  ✓ LibGit2_jll
   3378.5 ms  ✓ ArgTools
    853.8 ms  ✓ LibCURL
    659.4 ms  ✓ Tar
   3133.2 ms  ✓ Dates
   3162.6 ms  ✓ LibGit2
    468.2 ms  ✓ TOML
   3223.2 ms  ✓ Downloads
   9821.9 ms  ✓ StyledStrings
   1719.3 ms  ✓ JuliaSyntaxHighlighting
   4051.7 ms  ✓ Markdown
  48302.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 64 seconds
Precompiling packages...
   2334.3 ms  ✓ IteratorInterfaceExtensions
   2522.6 ms  ✓ StatsAPI
   2618.6 ms  ✓ OpenLibm_jll
   2721.4 ms  ✓ Future
   2908.6 ms  ✓ PrettyPrint
   2995.6 ms  ✓ InverseFunctions
   3108.7 ms  ✓ AbstractFFTs
   3214.2 ms  ✓ ArgCheck
   3491.5 ms  ✓ Statistics
   3912.2 ms  ✓ ADTypes
   4214.5 ms  ✓ Serialization
   5003.0 ms  ✓ FillArrays
   2390.7 ms  ✓ DataValueInterfaces
   2217.2 ms  ✓ Reexport
   2931.5 ms  ✓ SuiteSparse_jll
   5512.1 ms  ✓ InitialValues
   2520.8 ms  ✓ RealDot
   3401.0 ms  ✓ DocStringExtensions
   4002.6 ms  ✓ Requires
   2816.5 ms  ✓ Mmap
   2899.7 ms  ✓ CompositionsBase
   2614.8 ms  ✓ PtrArrays
   2309.3 ms  ✓ DefineSingletons
   2898.2 ms  ✓ HashArrayMappedTries
   9212.4 ms  ✓ CEnum
   2594.1 ms  ✓ Adapt
   3890.4 ms  ✓ EnzymeCore
   2698.7 ms  ✓ DataAPI
   2996.2 ms  ✓ ProgressLogging
   3000.7 ms  ✓ SciMLPublic
   2897.3 ms  ✓ StaticArraysCore
  10882.3 ms  ✓ ShowCases
  11526.6 ms  ✓ UnsafeAtomics
   2302.0 ms  ✓ TableTraits
   2499.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2898.7 ms  ✓ NameResolution
  10694.8 ms  ✓ OrderedCollections
   4294.2 ms  ✓ Preferences
   2482.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   6402.3 ms  ✓ Baselet
   5224.8 ms  ✓ LazyArtifacts
   2685.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  10381.0 ms  ✓ ConstructionBase
   3007.7 ms  ✓ DelimitedFiles
   3083.8 ms  ✓ AliasTables
   2484.4 ms  ✓ EnzymeCore → AdaptExt
   3192.0 ms  ✓ ScopedValues
   2372.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3419.6 ms  ✓ GPUArraysCore
  14099.5 ms  ✓ IrrationalConstants
   9593.0 ms  ✓ Compat
   3079.1 ms  ✓ Atomix
   3294.4 ms  ✓ DiffResults
   2727.5 ms  ✓ PrecompileTools
   3206.2 ms  ✓ JLLWrappers
   2691.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10405.7 ms  ✓ NaNMath
   2803.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  17909.1 ms  ✓ MacroTools
   2420.1 ms  ✓ Compat → CompatLinearAlgebraExt
  13990.4 ms  ✓ InteractiveUtils
   3882.6 ms  ✓ LogExpFunctions
   2794.9 ms  ✓ CommonSubexpressions
   3587.9 ms  ✓ OpenSpecFun_jll
   3077.7 ms  ✓ ContextVariablesX
   8916.7 ms  ✓ DataStructures
   9621.6 ms  ✓ Missings
   6370.7 ms  ✓ Setfield
   2721.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7794.1 ms  ✓ LLVMExtra_jll
  11491.0 ms  ✓ Tables
   4522.7 ms  ✓ SimpleTraits
   2790.7 ms  ✓ FLoopsBase
  17234.8 ms  ✓ Distributed
   2532.5 ms  ✓ SortingAlgorithms
   8431.1 ms  ✓ Functors
