nice: cannot set niceness: Permission denied
Precompiling packages...
   1486.4 ms  ✓ UUIDs
   1625.7 ms  ✓ OpenSSL_jll
   1766.8 ms  ✓ Logging
   1764.2 ms  ✓ MozillaCACerts_jll
   1783.2 ms  ✓ Zlib_jll
   1790.6 ms  ✓ Unicode
   1789.4 ms  ✓ NetworkOptions
   1862.0 ms  ✓ CompilerSupportLibraries_jll
   1870.7 ms  ✓ nghttp2_jll
   1958.0 ms  ✓ Base64
    638.9 ms  ✓ LibSSH2_jll
    611.8 ms  ✓ p7zip_jll
    717.9 ms  ✓ Printf
    508.1 ms  ✓ LibGit2_jll
    505.9 ms  ✓ LibCURL_jll
   3375.7 ms  ✓ ArgTools
    771.1 ms  ✓ LibCURL
    634.8 ms  ✓ Tar
   2944.7 ms  ✓ Dates
   3064.4 ms  ✓ LibGit2
    459.2 ms  ✓ TOML
   3019.7 ms  ✓ Downloads
   9564.6 ms  ✓ StyledStrings
   1682.5 ms  ✓ JuliaSyntaxHighlighting
   3854.9 ms  ✓ Markdown
  47672.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2341.8 ms  ✓ RealDot
   2346.6 ms  ✓ Reexport
   2442.4 ms  ✓ OpenLibm_jll
   2421.9 ms  ✓ IteratorInterfaceExtensions
   2462.6 ms  ✓ DataValueInterfaces
   3254.0 ms  ✓ AbstractFFTs
   3347.1 ms  ✓ Statistics
   3428.4 ms  ✓ Adapt
   3641.8 ms  ✓ DocStringExtensions
   3852.8 ms  ✓ Serialization
   4118.8 ms  ✓ EnzymeCore
   2597.4 ms  ✓ DataAPI
   2594.0 ms  ✓ StatsAPI
   5423.0 ms  ✓ FillArrays
   2483.8 ms  ✓ Mmap
   2295.9 ms  ✓ Future
   2711.7 ms  ✓ PtrArrays
   3462.6 ms  ✓ SuiteSparse_jll
   2909.0 ms  ✓ StaticArraysCore
   2995.8 ms  ✓ HashArrayMappedTries
   4131.8 ms  ✓ Requires
   9727.3 ms  ✓ ConstructionBase
   3900.6 ms  ✓ Preferences
  10125.5 ms  ✓ OrderedCollections
   2991.4 ms  ✓ ProgressLogging
   3207.3 ms  ✓ TableTraits
   9504.9 ms  ✓ NaNMath
   2703.2 ms  ✓ EnzymeCore → AdaptExt
   5735.9 ms  ✓ LazyArtifacts
  12583.2 ms  ✓ UnsafeAtomics
  10293.4 ms  ✓ BFloat16s
   3489.8 ms  ✓ GPUArraysCore
  10619.3 ms  ✓ ShowCases
   2605.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   9329.7 ms  ✓ CEnum
   3368.9 ms  ✓ DelimitedFiles
   3090.0 ms  ✓ AliasTables
  15044.6 ms  ✓ IrrationalConstants
   2691.5 ms  ✓ DiffResults
   2588.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2720.5 ms  ✓ ScopedValues
   2500.3 ms  ✓ PrecompileTools
   9812.9 ms  ✓ Compat
   3580.0 ms  ✓ JLLWrappers
   2334.6 ms  ✓ Atomix
   2285.5 ms  ✓ Compat → CompatLinearAlgebraExt
   3190.8 ms  ✓ LogExpFunctions
   2796.7 ms  ✓ SciMLPublic
   8822.3 ms  ✓ Missings
  12798.1 ms  ✓ InteractiveUtils
   3093.8 ms  ✓ OpenSpecFun_jll
   4218.4 ms  ✓ ADTypes
  16511.6 ms  ✓ MacroTools
   7906.3 ms  ✓ DataStructures
   2454.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2578.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2980.7 ms  ✓ CommonSubexpressions
   7205.4 ms  ✓ LLVMExtra_jll
   2710.6 ms  ✓ SortingAlgorithms
  14806.0 ms  ✓ Distributed
   4535.5 ms  ✓ SimpleTraits
  11306.5 ms  ✓ Tables
   5063.9 ms  ✓ Setfield
   7910.7 ms  ✓ Functors
   9718.5 ms  ✓ ChainRulesCore
   1894.6 ms  ✓ MLDataDevices
   3886.3 ms  ✓ MLCore
   9480.0 ms  ✓ SpecialFunctions
   2673.4 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2690.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2692.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2806.6 ms  ✓ MLDataDevices → FillArraysExt
  10588.5 ms  ✓ IRTools
   3177.0 ms  ✓ MLDataDevices → ChainRulesCoreExt
   3467.8 ms  ✓ ZygoteRules
   2234.5 ms  ✓ DiffRules
   6887.0 ms  ✓ StructArrays
  19606.2 ms  ✓ SparseArrays
   5986.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2193.9 ms  ✓ StructArrays → StructArraysAdaptExt
   2194.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2687.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2706.0 ms  ✓ Statistics → SparseArraysExt
   2825.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2993.8 ms  ✓ SuiteSparse
   3106.1 ms  ✓ MLDataDevices → SparseArraysExt
   3160.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6143.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8581.5 ms  ✓ Optimisers
   1194.5 ms  ✓ SparseInverseSubset
    910.3 ms  ✓ Optimisers → OptimisersAdaptExt
    940.1 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   5020.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  24648.3 ms  ✓ StaticArrays
   5903.8 ms  ✓ StatsBase
  10165.6 ms  ✓ ForwardDiff
   1858.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1950.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1955.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2055.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1301.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3389.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3535.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
  20831.7 ms  ✓ LLVM
    984.9 ms  ✓ LLVM → BFloat16sExt
   1613.8 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   9581.4 ms  ✓ ChainRules
   5024.6 ms  ✓ KernelAbstractions
   1149.2 ms  ✓ MLDataDevices → ChainRulesExt
   1048.8 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1092.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1098.5 ms  ✓ KernelAbstractions → EnzymeExt
   1216.3 ms  ✓ KernelAbstractions → SparseArraysExt
   4113.0 ms  ✓ NNlib
   1210.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1251.5 ms  ✓ NNlib → NNlibForwardDiffExt
   1386.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
   1386.0 ms  ✓ OneHotArrays
   5359.3 ms  ✓ GPUArrays
    712.2 ms  ✓ MLDataDevices → OneHotArraysExt
   1545.6 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
  48768.0 ms  ✓ REPL
    730.2 ms  ✓ CodeTracking
   2801.7 ms  ✓ MLUtils
   5078.4 ms  ✓ Pkg → REPLExt
   1556.0 ms  ✓ MLDataDevices → MLUtilsExt
  32528.1 ms  ✓ Zygote
   1070.2 ms  ✓ MLDataDevices → ZygoteExt
   6540.5 ms  ✓ Flux
  129 dependencies successfully precompiled in 87 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 74 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 443.86
	System time (seconds): 32.14
	Percent of CPU this job got: 315%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:31.08
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2199492
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 529
	Minor (reclaiming a frame) page faults: 8722134
	Voluntary context switches: 25078
	Involuntary context switches: 30225
	Swaps: 0
	File system inputs: 0
	File system outputs: 905584
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
