nice: cannot set niceness: Permission denied
Precompiling packages...
   2089.1 ms  ✓ DefineSingletons
   2004.2 ms  ✓ RealDot
   2003.5 ms  ✓ OpenLibm_jll
   2000.4 ms  ✓ Reexport
   2026.0 ms  ✓ DataValueInterfaces
   2228.8 ms  ✓ DelimitedFiles
   2219.4 ms  ✓ InverseFunctions
   2328.2 ms  ✓ Requires
   2608.8 ms  ✓ Compat
   2703.1 ms  ✓ AbstractFFTs
   2682.0 ms  ✓ DocStringExtensions
   3038.8 ms  ✓ OrderedCollections
   3112.9 ms  ✓ EnzymeCore
   1921.5 ms  ✓ IteratorInterfaceExtensions
   1995.8 ms  ✓ DataAPI
   2104.5 ms  ✓ PrettyPrint
   2235.6 ms  ✓ ConstructionBase
   2003.7 ms  ✓ StatsAPI
   2405.0 ms  ✓ NaNMath
   2304.9 ms  ✓ ArgCheck
   4541.3 ms  ✓ FillArrays
   2024.0 ms  ✓ CompilerSupportLibraries_jll
   2303.1 ms  ✓ ShowCases
   2228.3 ms  ✓ ProgressLogging
   1901.9 ms  ✓ CompositionsBase
   2206.0 ms  ✓ SuiteSparse_jll
   5988.2 ms  ✓ IrrationalConstants
   1781.2 ms  ✓ PtrArrays
   1707.3 ms  ✓ SciMLPublic
   2200.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2201.6 ms  ✓ StaticArraysCore
   2199.8 ms  ✓ HashArrayMappedTries
   2894.5 ms  ✓ ADTypes
   1865.3 ms  ✓ Adapt
   2090.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1801.3 ms  ✓ TableTraits
   2019.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3500.5 ms  ✓ Preferences
   2236.9 ms  ✓ Missings
   2268.9 ms  ✓ NameResolution
   2303.7 ms  ✓ AliasTables
   1866.1 ms  ✓ DiffResults
   5384.3 ms  ✓ Baselet
   2102.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3520.1 ms  ✓ InitialValues
   3207.7 ms  ✓ LogExpFunctions
   2397.2 ms  ✓ ScopedValues
   1888.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8030.3 ms  ✓ Distributed
   2304.2 ms  ✓ GPUArraysCore
   2107.3 ms  ✓ EnzymeCore → AdaptExt
   1930.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1598.0 ms  ✓ ContextVariablesX
   1888.5 ms  ✓ PrecompileTools
   2101.7 ms  ✓ JLLWrappers
   2067.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2609.7 ms  ✓ Functors
   9179.6 ms  ✓ MacroTools
   7311.4 ms  ✓ DataStructures
   3417.0 ms  ✓ Tables
   2000.2 ms  ✓ FLoopsBase
   9071.3 ms  ✓ UnsafeAtomics
   2697.1 ms  ✓ OpenSpecFun_jll
   2690.8 ms  ✓ SortingAlgorithms
   3095.2 ms  ✓ CommonSubexpressions
   5913.0 ms  ✓ ChainRulesCore
   2517.9 ms  ✓ Atomix
   3584.1 ms  ✓ MLDataDevices
   3709.3 ms  ✓ SimpleTraits
   3498.3 ms  ✓ StructArrays
  13304.3 ms  ✓ Test
   2026.8 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2164.4 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2230.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   5513.3 ms  ✓ Setfield
   2377.7 ms  ✓ MLDataDevices → ChainRulesCoreExt
   2202.8 ms  ✓ MLDataDevices → FillArraysExt
   2096.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2971.3 ms  ✓ MLCore
   3702.0 ms  ✓ ZygoteRules
   6906.1 ms  ✓ IRTools
   1706.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  13705.9 ms  ✓ SparseArrays
   1304.2 ms  ✓ StructArrays → StructArraysAdaptExt
   7715.8 ms  ✓ Accessors
   4581.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2602.7 ms  ✓ SplittablesBase
   3533.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1285.1 ms  ✓ Accessors → LinearAlgebraExt
   1400.5 ms  ✓ SuiteSparse
   1494.8 ms  ✓ Adapt → AdaptSparseArraysExt
   1514.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1808.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1892.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2100.5 ms  ✓ Statistics
   1305.6 ms  ✓ SparseInverseSubset
   1379.9 ms  ✓ Accessors → TestExt
   1400.0 ms  ✓ Accessors → StructArraysExt
   8279.4 ms  ✓ SpecialFunctions
   1622.3 ms  ✓ BangBang
   1600.8 ms  ✓ MLDataDevices → SparseArraysExt
   1503.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   1276.3 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1324.7 ms  ✓ BangBang → BangBangTablesExt
   1436.0 ms  ✓ DiffRules
   1427.0 ms  ✓ MicroCollections
   2506.1 ms  ✓ Optimisers
   1004.5 ms  ✓ BangBang → BangBangStructArraysExt
   1064.9 ms  ✓ Optimisers → OptimisersAdaptExt
   1114.1 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2922.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4097.9 ms  ✓ StatsBase
   2689.3 ms  ✓ Transducers
  16540.6 ms  ✓ StaticArrays
   1384.3 ms  ✓ Transducers → TransducersAdaptExt
   4286.4 ms  ✓ ForwardDiff
   1054.1 ms  ✓ Adapt → AdaptStaticArraysExt
   1072.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1086.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1142.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1274.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    928.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   7085.1 ms  ✓ ChainRules
    701.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
    723.6 ms  ✓ Accessors → StaticArraysExt
    610.9 ms  ✓ MLDataDevices → ChainRulesExt
    773.3 ms  ✓ BangBang → BangBangStaticArraysExt
   4656.3 ms  ✓ KernelAbstractions
  34787.0 ms  ✓ MLStyle
    446.4 ms  ✓ KernelAbstractions → LinearAlgebraExt
    549.6 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    565.2 ms  ✓ KernelAbstractions → EnzymeExt
    623.7 ms  ✓ KernelAbstractions → SparseArraysExt
   1619.2 ms  ✓ JuliaVariables
   2042.1 ms  ✓ FLoops
   3041.2 ms  ✓ NNlib
    739.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    854.2 ms  ✓ OneHotArrays
    917.4 ms  ✓ NNlib → NNlibEnzymeCoreExt
    712.0 ms  ✓ NNlib → NNlibForwardDiffExt
