nice: cannot set niceness: Permission denied
Precompiling packages...
   1618.5 ms  ✓ MozillaCACerts_jll
   1800.7 ms  ✓ Logging
   1850.7 ms  ✓ OpenSSL_jll
   1824.0 ms  ✓ UUIDs
   1824.1 ms  ✓ nghttp2_jll
   1904.4 ms  ✓ Zlib_jll
   1942.2 ms  ✓ NetworkOptions
   1936.7 ms  ✓ Unicode
   2016.8 ms  ✓ CompilerSupportLibraries_jll
   2011.6 ms  ✓ Base64
    564.1 ms  ✓ LibSSH2_jll
    636.9 ms  ✓ p7zip_jll
    757.1 ms  ✓ Printf
    583.0 ms  ✓ LibGit2_jll
    571.5 ms  ✓ LibCURL_jll
   3749.4 ms  ✓ ArgTools
    961.7 ms  ✓ LibCURL
    695.4 ms  ✓ Tar
   3565.9 ms  ✓ Dates
   3527.4 ms  ✓ LibGit2
    772.5 ms  ✓ TOML
   3419.6 ms  ✓ Downloads
  10842.8 ms  ✓ StyledStrings
   1843.5 ms  ✓ JuliaSyntaxHighlighting
   4491.4 ms  ✓ Markdown
  52385.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 70 seconds
Precompiling packages...
   2234.8 ms  ✓ OpenLibm_jll
   2339.8 ms  ✓ IteratorInterfaceExtensions
   2451.0 ms  ✓ Future
   2452.1 ms  ✓ StatsAPI
   2732.5 ms  ✓ PrettyPrint
   2904.3 ms  ✓ ArgCheck
   3106.4 ms  ✓ Statistics
   3748.9 ms  ✓ AbstractFFTs
   3752.0 ms  ✓ ADTypes
   3819.9 ms  ✓ Serialization
   3842.4 ms  ✓ InverseFunctions
   5041.2 ms  ✓ InitialValues
   2292.5 ms  ✓ DataValueInterfaces
   2218.2 ms  ✓ RealDot
   2992.0 ms  ✓ SuiteSparse_jll
   5734.3 ms  ✓ FillArrays
   2696.7 ms  ✓ Reexport
   2163.6 ms  ✓ CompositionsBase
   2918.8 ms  ✓ Mmap
   3201.7 ms  ✓ DocStringExtensions
   2506.9 ms  ✓ DefineSingletons
   2681.2 ms  ✓ PtrArrays
   5206.1 ms  ✓ Requires
   2622.8 ms  ✓ HashArrayMappedTries
   2505.0 ms  ✓ Adapt
   8941.4 ms  ✓ CEnum
   3403.3 ms  ✓ EnzymeCore
   2971.6 ms  ✓ DataAPI
   3189.6 ms  ✓ ProgressLogging
   3085.0 ms  ✓ AliasTables
   3195.5 ms  ✓ StaticArraysCore
   3278.5 ms  ✓ SciMLPublic
  11307.9 ms  ✓ ShowCases
  12039.0 ms  ✓ UnsafeAtomics
   2210.7 ms  ✓ TableTraits
   3830.3 ms  ✓ Preferences
   9991.9 ms  ✓ OrderedCollections
   2520.2 ms  ✓ NameResolution
   2910.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2195.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5808.7 ms  ✓ LazyArtifacts
   2914.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2891.6 ms  ✓ DelimitedFiles
  10223.0 ms  ✓ ConstructionBase
   2286.6 ms  ✓ EnzymeCore → AdaptExt
   3586.9 ms  ✓ ScopedValues
   3094.3 ms  ✓ GPUArraysCore
   2495.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9409.3 ms  ✓ Compat
   1809.8 ms  ✓ PrecompileTools
   3793.7 ms  ✓ DiffResults
   2412.5 ms  ✓ JLLWrappers
   7123.0 ms  ✓ Baselet
   3995.3 ms  ✓ Atomix
  10325.0 ms  ✓ NaNMath
  16409.7 ms  ✓ IrrationalConstants
   2002.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  18411.8 ms  ✓ MacroTools
   2463.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2533.1 ms  ✓ Compat → CompatLinearAlgebraExt
  14236.2 ms  ✓ InteractiveUtils
   3118.8 ms  ✓ OpenSpecFun_jll
   2591.0 ms  ✓ CommonSubexpressions
   3392.8 ms  ✓ LogExpFunctions
   8702.9 ms  ✓ Missings
   2542.3 ms  ✓ ContextVariablesX
   8930.9 ms  ✓ DataStructures
   2142.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6556.2 ms  ✓ LLVMExtra_jll
   6339.1 ms  ✓ Setfield
  17043.3 ms  ✓ Distributed
   4488.0 ms  ✓ SimpleTraits
   2888.6 ms  ✓ SortingAlgorithms
   4302.3 ms  ✓ FLoopsBase
  12780.5 ms  ✓ Tables
   9460.5 ms  ✓ Functors
  13293.7 ms  ✓ ChainRulesCore
   3628.0 ms  ✓ MLDataDevices
   5239.4 ms  ✓ MLCore
  13103.9 ms  ✓ IRTools
  15924.1 ms  ✓ Accessors
  12709.4 ms  ✓ SpecialFunctions
  26002.6 ms  ✓ SparseArrays
   2463.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2431.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3489.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3070.0 ms  ✓ MLDataDevices → ChainRulesCoreExt
   2269.1 ms  ✓ SuiteSparse
   3207.0 ms  ✓ Accessors → LinearAlgebraExt
   3125.7 ms  ✓ DiffRules
  10431.1 ms  ✓ StructArrays
   6276.8 ms  ✓ ZygoteRules
   4700.2 ms  ✓ MLDataDevices → FillArraysExt
   2685.4 ms  ✓ Adapt → AdaptSparseArraysExt
   6373.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4436.0 ms  ✓ Statistics → SparseArraysExt
   3345.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3285.3 ms  ✓ MLDataDevices → SparseArraysExt
   2896.2 ms  ✓ SparseInverseSubset
   3398.6 ms  ✓ BangBang
   2361.1 ms  ✓ Accessors → StructArraysExt
   3300.9 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3820.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4087.4 ms  ✓ StructArrays → StructArraysAdaptExt
   9162.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2576.6 ms  ✓ BangBang → BangBangStructArraysExt
   2902.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2911.1 ms  ✓ BangBang → BangBangTablesExt
   3015.4 ms  ✓ MicroCollections
  24503.9 ms  ✓ Test
  12973.3 ms  ✓ Optimisers
   9222.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1819.3 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1997.3 ms  ✓ Optimisers → OptimisersAdaptExt
   2359.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2371.7 ms  ✓ Accessors → TestExt
   2997.3 ms  ✓ SplittablesBase
   4211.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  10706.5 ms  ✓ StatsBase
  34918.9 ms  ✓ StaticArrays
  15005.6 ms  ✓ ForwardDiff
   2867.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2872.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2889.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2980.6 ms  ✓ Adapt → AdaptStaticArraysExt
   2986.9 ms  ✓ Accessors → StaticArraysExt
   2948.8 ms  ✓ BangBang → BangBangStaticArraysExt
   2500.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  32619.6 ms  ✓ LLVM
   5572.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   5576.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   9679.8 ms  ✓ Transducers
   2602.5 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   1199.6 ms  ✓ Transducers → TransducersAdaptExt
  16505.2 ms  ✓ ChainRules
   3040.6 ms  ✓ MLDataDevices → ChainRulesExt
  11369.9 ms  ✓ KernelAbstractions
  64219.4 ms  ✓ MLStyle
   1132.7 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1241.0 ms  ✓ KernelAbstractions → EnzymeExt
   1296.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1398.9 ms  ✓ KernelAbstractions → SparseArraysExt
   2327.0 ms  ✓ JuliaVariables
   4591.4 ms  ✓ NNlib
   1333.0 ms  ✓ NNlib → NNlibForwardDiffExt
   1343.3 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1472.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
   6069.7 ms  ✓ GPUArrays
   4230.4 ms  ✓ FLoops
   1660.2 ms  ✓ OneHotArrays
    774.7 ms  ✓ MLDataDevices → OneHotArraysExt
   1572.0 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   6389.5 ms  ✓ MLUtils
   1268.6 ms  ✓ MLDataDevices → MLUtilsExt
  31136.5 ms  ✓ Zygote
   1544.0 ms  ✓ MLDataDevices → ZygoteExt
   9010.8 ms  ✓ Flux
  157 dependencies successfully precompiled in 107 seconds. 26 already precompiled.
