nice: cannot set niceness: Permission denied
Precompiling project...
   1841.2 ms  ✓ DefineSingletons
   1836.4 ms  ✓ DataValueInterfaces
   1945.1 ms  ✓ Reexport
   2021.1 ms  ✓ RealDot
   2042.0 ms  ✓ Unicode
   2530.3 ms  ✓ OpenLibm_jll
   2623.3 ms  ✓ InverseFunctions
   2861.4 ms  ✓ AbstractFFTs
   2835.0 ms  ✓ DocStringExtensions
   2963.0 ms  ✓ Statistics
   3439.7 ms  ✓ EnzymeCore
   3477.3 ms  ✓ OrderedCollections
   3572.5 ms  ✓ Serialization
   2066.8 ms  ✓ IteratorInterfaceExtensions
   2093.5 ms  ✓ DataAPI
   2265.0 ms  ✓ PrettyPrint
   4265.5 ms  ✓ FillArrays
   2528.7 ms  ✓ ConstructionBase
   2128.5 ms  ✓ ArgCheck
   2162.7 ms  ✓ StatsAPI
   2668.7 ms  ✓ ShowCases
   2545.9 ms  ✓ ProgressLogging
   2151.3 ms  ✓ Mmap
   2854.6 ms  ✓ CompilerSupportLibraries_jll
   1990.1 ms  ✓ CompositionsBase
   2594.5 ms  ✓ SuiteSparse_jll
   1930.5 ms  ✓ Future
   6197.4 ms  ✓ IrrationalConstants
   2468.1 ms  ✓ PtrArrays
   2442.0 ms  ✓ StaticArraysCore
   2763.7 ms  ✓ SciMLPublic
   2124.6 ms  ✓ HashArrayMappedTries
   2509.4 ms  ✓ Requires
   2662.2 ms  ✓ NaNMath
   3235.1 ms  ✓ Compat
   1964.6 ms  ✓ TableTraits
   4905.5 ms  ✓ InitialValues
   1966.7 ms  ✓ NameResolution
   2598.2 ms  ✓ Missings
   4145.2 ms  ✓ Preferences
   8239.8 ms  ✓ UnsafeAtomics
   2046.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6694.1 ms  ✓ InteractiveUtils
   5492.1 ms  ✓ Baselet
   3096.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2466.3 ms  ✓ DelimitedFiles
   2197.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
