nice: cannot set niceness: Permission denied
Precompiling packages...
   2097.4 ms  ✓ DefineSingletons
   1955.1 ms  ✓ DataValueInterfaces
   1948.7 ms  ✓ Reexport
   1954.3 ms  ✓ RealDot
   2046.3 ms  ✓ OpenLibm_jll
   2256.2 ms  ✓ DelimitedFiles
   2359.7 ms  ✓ Requires
   2412.1 ms  ✓ InverseFunctions
   2731.2 ms  ✓ Compat
   2831.7 ms  ✓ AbstractFFTs
   2891.7 ms  ✓ EnzymeCore
   2979.1 ms  ✓ DocStringExtensions
   3152.2 ms  ✓ OrderedCollections
   1823.6 ms  ✓ IteratorInterfaceExtensions
   2017.0 ms  ✓ PrettyPrint
   2194.3 ms  ✓ ConstructionBase
   2099.9 ms  ✓ DataAPI
   1923.4 ms  ✓ ArgCheck
   4447.2 ms  ✓ FillArrays
   2218.6 ms  ✓ StatsAPI
   2385.5 ms  ✓ ShowCases
   1699.9 ms  ✓ CompositionsBase
   2129.2 ms  ✓ CompilerSupportLibraries_jll
   2209.4 ms  ✓ ProgressLogging
   2628.4 ms  ✓ SuiteSparse_jll
   1878.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   6084.4 ms  ✓ IrrationalConstants
   1892.9 ms  ✓ SciMLPublic
   2302.3 ms  ✓ StaticArraysCore
   2875.6 ms  ✓ ADTypes
   2081.5 ms  ✓ NaNMath
   2416.2 ms  ✓ HashArrayMappedTries
   1992.7 ms  ✓ Adapt
   3585.7 ms  ✓ InitialValues
   1820.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3087.2 ms  ✓ Preferences
   1896.8 ms  ✓ Compat → CompatLinearAlgebraExt
   1799.7 ms  ✓ TableTraits
   1821.7 ms  ✓ PtrArrays
   1931.4 ms  ✓ NameResolution
   2107.6 ms  ✓ Missings
   2011.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2192.2 ms  ✓ DiffResults
   2194.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5309.8 ms  ✓ Baselet
   7992.2 ms  ✓ Distributed
   3102.1 ms  ✓ LogExpFunctions
   2189.6 ms  ✓ ScopedValues
   1931.0 ms  ✓ EnzymeCore → AdaptExt
   9116.6 ms  ✓ UnsafeAtomics
   2485.7 ms  ✓ GPUArraysCore
   2180.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1899.4 ms  ✓ PrecompileTools
   2286.4 ms  ✓ JLLWrappers
   2328.8 ms  ✓ ContextVariablesX
   1891.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1981.7 ms  ✓ AliasTables
   9378.5 ms  ✓ MacroTools
   2518.0 ms  ✓ Functors
   2405.0 ms  ✓ Atomix
   3400.4 ms  ✓ Tables
   7997.1 ms  ✓ DataStructures
   2287.9 ms  ✓ FLoopsBase
   2608.9 ms  ✓ OpenSpecFun_jll
   2121.5 ms  ✓ CommonSubexpressions
   5600.6 ms  ✓ ChainRulesCore
   3293.6 ms  ✓ SimpleTraits
   3311.6 ms  ✓ MLDataDevices
  12792.5 ms  ✓ Test
   2606.1 ms  ✓ SortingAlgorithms
   3618.4 ms  ✓ StructArrays
   2104.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   4819.0 ms  ✓ Setfield
   2212.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2306.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2201.6 ms  ✓ MLDataDevices → FillArraysExt
   2619.6 ms  ✓ MLDataDevices → ChainRulesCoreExt
   3801.4 ms  ✓ ZygoteRules
   6505.8 ms  ✓ IRTools
   1835.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   1913.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3189.5 ms  ✓ MLCore
   7428.8 ms  ✓ Accessors
   2668.4 ms  ✓ SplittablesBase
   4309.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
