nice: cannot set niceness: Permission denied
Precompiling packages...
   2090.2 ms  ✓ DefineSingletons
   1949.4 ms  ✓ DataValueInterfaces
   1944.3 ms  ✓ Reexport
   1949.0 ms  ✓ RealDot
   2037.1 ms  ✓ OpenLibm_jll
   2408.6 ms  ✓ InverseFunctions
   2428.6 ms  ✓ DelimitedFiles
   2654.5 ms  ✓ Requires
   2824.7 ms  ✓ AbstractFFTs
   2818.5 ms  ✓ DocStringExtensions
   2944.0 ms  ✓ Compat
   3035.6 ms  ✓ OrderedCollections
   3216.1 ms  ✓ EnzymeCore
   1884.7 ms  ✓ IteratorInterfaceExtensions
   2092.9 ms  ✓ PrettyPrint
   2196.1 ms  ✓ DataAPI
   1808.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2393.0 ms  ✓ ConstructionBase
   2118.4 ms  ✓ ArgCheck
   4727.9 ms  ✓ FillArrays
   2024.5 ms  ✓ CompilerSupportLibraries_jll
   2208.3 ms  ✓ ProgressLogging
   2433.0 ms  ✓ ShowCases
   1910.2 ms  ✓ CompositionsBase
   2292.3 ms  ✓ SuiteSparse_jll
   6107.2 ms  ✓ IrrationalConstants
   1799.0 ms  ✓ SciMLPublic
   1996.9 ms  ✓ PtrArrays
   2102.3 ms  ✓ HashArrayMappedTries
   2301.0 ms  ✓ StaticArraysCore
   2095.7 ms  ✓ StatsAPI
   2215.9 ms  ✓ NaNMath
   2214.2 ms  ✓ Adapt
   3506.4 ms  ✓ InitialValues
   1666.6 ms  ✓ TableTraits
   1802.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3099.5 ms  ✓ Preferences
   1902.0 ms  ✓ NameResolution
   1988.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2390.8 ms  ✓ Missings
   2397.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4844.3 ms  ✓ Baselet
   2194.7 ms  ✓ DiffResults
   2304.4 ms  ✓ ScopedValues
   2439.5 ms  ✓ AliasTables
   2201.7 ms  ✓ GPUArraysCore
   7999.3 ms  ✓ Distributed
