nice: cannot set niceness: Permission denied
Precompiling packages...
   2048.0 ms  ✓ DefineSingletons
   1962.5 ms  ✓ DataValueInterfaces
   1962.0 ms  ✓ RealDot
   1982.7 ms  ✓ Reexport
   2100.8 ms  ✓ OpenLibm_jll
   2202.3 ms  ✓ DelimitedFiles
   2342.8 ms  ✓ InverseFunctions
   2400.1 ms  ✓ Requires
   2699.7 ms  ✓ AbstractFFTs
   2766.5 ms  ✓ Compat
   2872.9 ms  ✓ DocStringExtensions
   2993.6 ms  ✓ OrderedCollections
   3283.7 ms  ✓ EnzymeCore
   1722.4 ms  ✓ IteratorInterfaceExtensions
   2003.9 ms  ✓ PrettyPrint
   2097.5 ms  ✓ DataAPI
   2338.6 ms  ✓ ConstructionBase
   2201.4 ms  ✓ ArgCheck
   2130.6 ms  ✓ StatsAPI
   4600.5 ms  ✓ FillArrays
   2404.6 ms  ✓ ShowCases
   2202.7 ms  ✓ CompilerSupportLibraries_jll
   2428.9 ms  ✓ ProgressLogging
   2372.0 ms  ✓ SuiteSparse_jll
   2038.1 ms  ✓ CompositionsBase
   5774.5 ms  ✓ IrrationalConstants
   1895.7 ms  ✓ PtrArrays
   1800.9 ms  ✓ SciMLPublic
   2099.1 ms  ✓ StaticArraysCore
   2128.9 ms  ✓ HashArrayMappedTries
   2894.4 ms  ✓ ADTypes
   1902.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2321.8 ms  ✓ NaNMath
   2184.9 ms  ✓ Adapt
   3698.5 ms  ✓ InitialValues
   3483.6 ms  ✓ Preferences
   2189.5 ms  ✓ Compat → CompatLinearAlgebraExt
   1882.5 ms  ✓ TableTraits
   2088.4 ms  ✓ NameResolution
   2296.4 ms  ✓ Missings
   2177.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4610.5 ms  ✓ Baselet
   2200.7 ms  ✓ AliasTables
   2096.2 ms  ✓ PrecompileTools
   8615.0 ms  ✓ UnsafeAtomics
   7798.4 ms  ✓ Distributed
   2313.4 ms  ✓ DiffResults
   2302.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3002.8 ms  ✓ LogExpFunctions
   2119.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2312.3 ms  ✓ EnzymeCore → AdaptExt
   2507.0 ms  ✓ GPUArraysCore
   2310.2 ms  ✓ JLLWrappers
