nice: cannot set niceness: Permission denied
Precompiling packages...
   2101.2 ms  ✓ DefineSingletons
   2017.7 ms  ✓ Reexport
   2026.4 ms  ✓ RealDot
   2024.3 ms  ✓ OpenLibm_jll
   2039.9 ms  ✓ DataValueInterfaces
   2245.0 ms  ✓ DelimitedFiles
   2300.3 ms  ✓ InverseFunctions
   2344.5 ms  ✓ Requires
   2700.7 ms  ✓ DocStringExtensions
   2814.1 ms  ✓ AbstractFFTs
   2820.7 ms  ✓ Compat
   3094.7 ms  ✓ EnzymeCore
   3523.0 ms  ✓ OrderedCollections
   1893.8 ms  ✓ IteratorInterfaceExtensions
   4033.5 ms  ✓ FillArrays
   2004.9 ms  ✓ PrettyPrint
   2084.3 ms  ✓ DataAPI
   1988.0 ms  ✓ StatsAPI
   2312.1 ms  ✓ ConstructionBase
   2289.0 ms  ✓ ArgCheck
   2398.0 ms  ✓ ShowCases
   2202.2 ms  ✓ CompilerSupportLibraries_jll
   2206.0 ms  ✓ SuiteSparse_jll
   2618.5 ms  ✓ ProgressLogging
   1924.0 ms  ✓ CompositionsBase
   5688.3 ms  ✓ IrrationalConstants
   1907.3 ms  ✓ PtrArrays
   1809.5 ms  ✓ SciMLPublic
   2204.8 ms  ✓ StaticArraysCore
   2807.9 ms  ✓ ADTypes
   2179.1 ms  ✓ HashArrayMappedTries
   1808.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2104.0 ms  ✓ NaNMath
   2090.8 ms  ✓ Adapt
   1790.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3597.2 ms  ✓ InitialValues
   3078.8 ms  ✓ Preferences
   1901.6 ms  ✓ TableTraits
   1823.1 ms  ✓ NameResolution
   2103.6 ms  ✓ Missings
   2418.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1920.2 ms  ✓ DiffResults
   2018.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4986.5 ms  ✓ Baselet
   2605.2 ms  ✓ LogExpFunctions
   2693.6 ms  ✓ AliasTables
   7796.0 ms  ✓ Distributed
   1984.7 ms  ✓ ScopedValues
   2087.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9187.0 ms  ✓ UnsafeAtomics
   2408.5 ms  ✓ GPUArraysCore
   2081.9 ms  ✓ EnzymeCore → AdaptExt
   2198.3 ms  ✓ ContextVariablesX
   2102.7 ms  ✓ JLLWrappers
   2289.8 ms  ✓ PrecompileTools
   2002.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1820.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2504.6 ms  ✓ Functors
   1917.8 ms  ✓ Atomix
   9225.7 ms  ✓ MacroTools
   7488.3 ms  ✓ DataStructures
   3327.1 ms  ✓ Tables
   2087.9 ms  ✓ FLoopsBase
   2392.7 ms  ✓ OpenSpecFun_jll
   2276.8 ms  ✓ CommonSubexpressions
   2184.3 ms  ✓ SortingAlgorithms
   5787.3 ms  ✓ ChainRulesCore
   3295.8 ms  ✓ MLDataDevices
   3293.0 ms  ✓ SimpleTraits
  12592.4 ms  ✓ Test
   4194.3 ms  ✓ StructArrays
   2205.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2283.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2291.1 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
