nice: cannot set niceness: Permission denied
Precompiling packages...
   1601.9 ms  ✓ MozillaCACerts_jll
   1712.7 ms  ✓ UUIDs
   1716.5 ms  ✓ Unicode
   1722.6 ms  ✓ Logging
   1765.5 ms  ✓ OpenSSL_jll
   1736.3 ms  ✓ nghttp2_jll
   1751.9 ms  ✓ Zlib_jll
   1834.6 ms  ✓ NetworkOptions
   1845.8 ms  ✓ Base64
   1863.8 ms  ✓ CompilerSupportLibraries_jll
    522.5 ms  ✓ LibSSH2_jll
    669.9 ms  ✓ Printf
    595.0 ms  ✓ p7zip_jll
    501.8 ms  ✓ LibGit2_jll
    504.7 ms  ✓ LibCURL_jll
   3376.8 ms  ✓ ArgTools
    774.4 ms  ✓ LibCURL
    637.6 ms  ✓ Tar
   3061.7 ms  ✓ Dates
   3079.5 ms  ✓ LibGit2
    462.1 ms  ✓ TOML
   2979.7 ms  ✓ Downloads
   9439.5 ms  ✓ StyledStrings
   1652.4 ms  ✓ JuliaSyntaxHighlighting
   3904.9 ms  ✓ Markdown
  47129.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2355.8 ms  ✓ DataValueInterfaces
   2447.0 ms  ✓ RealDot
   2547.7 ms  ✓ Reexport
   2640.6 ms  ✓ OpenLibm_jll
   2728.4 ms  ✓ IteratorInterfaceExtensions
   2997.0 ms  ✓ Adapt
   3238.4 ms  ✓ AbstractFFTs
   3429.2 ms  ✓ Statistics
   3609.2 ms  ✓ DocStringExtensions
   3823.6 ms  ✓ Serialization
   4028.9 ms  ✓ EnzymeCore
   4842.1 ms  ✓ FillArrays
   2583.8 ms  ✓ DataAPI
   2504.9 ms  ✓ StatsAPI
   3077.7 ms  ✓ ProgressLogging
   2281.1 ms  ✓ Future
   2734.3 ms  ✓ SuiteSparse_jll
   3163.1 ms  ✓ Mmap
   2510.8 ms  ✓ PtrArrays
   2497.9 ms  ✓ SciMLPublic
   4022.9 ms  ✓ ADTypes
   2786.7 ms  ✓ HashArrayMappedTries
   2878.2 ms  ✓ StaticArraysCore
   9943.7 ms  ✓ OrderedCollections
   2376.7 ms  ✓ TableTraits
   4272.8 ms  ✓ Preferences
   4795.9 ms  ✓ Requires
  10801.7 ms  ✓ ConstructionBase
   3694.3 ms  ✓ GPUArraysCore
   5514.2 ms  ✓ LazyArtifacts
   9500.5 ms  ✓ ShowCases
  12196.8 ms  ✓ UnsafeAtomics
   2325.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2694.1 ms  ✓ EnzymeCore → AdaptExt
   9708.2 ms  ✓ CEnum
   3123.2 ms  ✓ DelimitedFiles
   2304.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2801.2 ms  ✓ AliasTables
  14429.3 ms  ✓ IrrationalConstants
   2409.1 ms  ✓ DiffResults
   3596.7 ms  ✓ ScopedValues
   3019.0 ms  ✓ PrecompileTools
  10189.0 ms  ✓ Compat
   2282.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2186.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9017.3 ms  ✓ NaNMath
   2794.4 ms  ✓ JLLWrappers
   2415.2 ms  ✓ Atomix
   2713.5 ms  ✓ LogExpFunctions
   1493.7 ms  ✓ Compat → CompatLinearAlgebraExt
