nice: cannot set niceness: Permission denied
Precompiling packages...
   1701.3 ms  ✓ NetworkOptions
   1698.2 ms  ✓ Logging
   1773.2 ms  ✓ UUIDs
   1766.6 ms  ✓ MozillaCACerts_jll
   1807.9 ms  ✓ OpenSSL_jll
   1777.3 ms  ✓ Zlib_jll
   1795.9 ms  ✓ Unicode
   1865.9 ms  ✓ nghttp2_jll
   1895.7 ms  ✓ Base64
   1893.9 ms  ✓ CompilerSupportLibraries_jll
    519.7 ms  ✓ LibSSH2_jll
    551.0 ms  ✓ p7zip_jll
    707.8 ms  ✓ Printf
    482.9 ms  ✓ LibGit2_jll
    488.6 ms  ✓ LibCURL_jll
   3315.6 ms  ✓ ArgTools
    754.8 ms  ✓ LibCURL
    650.6 ms  ✓ Tar
   2950.6 ms  ✓ Dates
   3053.3 ms  ✓ LibGit2
    446.5 ms  ✓ TOML
   3114.2 ms  ✓ Downloads
   9431.4 ms  ✓ StyledStrings
   1694.0 ms  ✓ JuliaSyntaxHighlighting
   3867.0 ms  ✓ Markdown
  47240.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2366.1 ms  ✓ DataValueInterfaces
   2461.1 ms  ✓ RealDot
   2470.4 ms  ✓ OpenLibm_jll
   2425.6 ms  ✓ IteratorInterfaceExtensions
   2762.9 ms  ✓ Reexport
   3128.6 ms  ✓ Adapt
   3270.8 ms  ✓ AbstractFFTs
   3544.5 ms  ✓ Statistics
   3562.1 ms  ✓ DocStringExtensions
   3863.3 ms  ✓ Serialization
   4160.2 ms  ✓ EnzymeCore
   5060.6 ms  ✓ FillArrays
   2702.4 ms  ✓ DataAPI
   2793.2 ms  ✓ StatsAPI
   2986.5 ms  ✓ Mmap
   2292.7 ms  ✓ Future
   3279.3 ms  ✓ SuiteSparse_jll
   2909.8 ms  ✓ PtrArrays
   3637.9 ms  ✓ ADTypes
   2499.5 ms  ✓ SciMLPublic
   2504.5 ms  ✓ StaticArraysCore
   2603.6 ms  ✓ HashArrayMappedTries
   9308.6 ms  ✓ ConstructionBase
   3807.2 ms  ✓ Requires
   2481.6 ms  ✓ TableTraits
   3639.3 ms  ✓ Preferences
  10533.7 ms  ✓ OrderedCollections
   3171.5 ms  ✓ ProgressLogging
   3998.3 ms  ✓ GPUArraysCore
  11813.6 ms  ✓ UnsafeAtomics
   2502.8 ms  ✓ EnzymeCore → AdaptExt
   9785.6 ms  ✓ ShowCases
   2302.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   9825.6 ms  ✓ NaNMath
   6000.2 ms  ✓ LazyArtifacts
   9477.8 ms  ✓ CEnum
   3324.7 ms  ✓ DelimitedFiles
  14212.5 ms  ✓ IrrationalConstants
   2781.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2603.9 ms  ✓ DiffResults
