nice: cannot set niceness: Permission denied
Precompiling packages...
   2081.9 ms  ✓ DefineSingletons
   1919.1 ms  ✓ Reexport
   1939.0 ms  ✓ DataValueInterfaces
   1938.6 ms  ✓ RealDot
   2017.8 ms  ✓ OpenLibm_jll
   2320.4 ms  ✓ InverseFunctions
   2392.6 ms  ✓ Requires
   2641.9 ms  ✓ DelimitedFiles
   2832.4 ms  ✓ OrderedCollections
   2810.2 ms  ✓ DocStringExtensions
   2832.4 ms  ✓ AbstractFFTs
   2939.3 ms  ✓ Compat
   3318.6 ms  ✓ EnzymeCore
   1889.9 ms  ✓ IteratorInterfaceExtensions
   1908.9 ms  ✓ PrettyPrint
   2019.2 ms  ✓ DataAPI
   2186.0 ms  ✓ ConstructionBase
   2135.1 ms  ✓ StatsAPI
   2211.8 ms  ✓ ArgCheck
   4633.4 ms  ✓ FillArrays
   2386.1 ms  ✓ ShowCases
   2398.9 ms  ✓ CompilerSupportLibraries_jll
   2488.2 ms  ✓ ProgressLogging
   2400.1 ms  ✓ SuiteSparse_jll
   2082.5 ms  ✓ CompositionsBase
   5698.5 ms  ✓ IrrationalConstants
   1823.0 ms  ✓ PtrArrays
   1815.5 ms  ✓ SciMLPublic
   2157.1 ms  ✓ HashArrayMappedTries
   2300.3 ms  ✓ StaticArraysCore
   1888.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2101.9 ms  ✓ NaNMath
   2105.4 ms  ✓ Adapt
   1901.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3816.2 ms  ✓ InitialValues
   3096.7 ms  ✓ Preferences
   1899.1 ms  ✓ TableTraits
   1747.1 ms  ✓ NameResolution
   2382.1 ms  ✓ Missings
   1997.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2247.0 ms  ✓ AliasTables
   2384.9 ms  ✓ ScopedValues
   5303.2 ms  ✓ Baselet
   2411.5 ms  ✓ DiffResults
   3202.9 ms  ✓ LogExpFunctions
   2583.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2304.4 ms  ✓ GPUArraysCore
   8100.0 ms  ✓ Distributed
   8919.4 ms  ✓ UnsafeAtomics
   1896.9 ms  ✓ EnzymeCore → AdaptExt
   1904.0 ms  ✓ ContextVariablesX
   1902.3 ms  ✓ PrecompileTools
   1883.1 ms  ✓ JLLWrappers
   1793.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1603.0 ms  ✓ FLoopsBase
   7014.4 ms  ✓ DataStructures
   8911.9 ms  ✓ MacroTools
   2498.1 ms  ✓ Functors
   2352.3 ms  ✓ Atomix
   3176.4 ms  ✓ Tables
   2313.0 ms  ✓ OpenSpecFun_jll
   2289.1 ms  ✓ CommonSubexpressions
   2486.2 ms  ✓ SortingAlgorithms
   5386.3 ms  ✓ ChainRulesCore
  12013.5 ms  ✓ Test
   3486.1 ms  ✓ SimpleTraits
   3102.7 ms  ✓ MLDataDevices
   3400.8 ms  ✓ StructArrays
   2011.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5320.3 ms  ✓ Setfield
   2281.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2004.2 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2193.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   1809.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3421.3 ms  ✓ ZygoteRules
   6593.7 ms  ✓ IRTools
   3197.2 ms  ✓ MLCore
   3949.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1094.8 ms  ✓ StructArrays → StructArraysAdaptExt
   4508.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   7246.0 ms  ✓ Accessors
   2083.5 ms  ✓ SplittablesBase
  12862.8 ms  ✓ SparseArrays
    872.1 ms  ✓ Accessors → LinearAlgebraExt
   1242.2 ms  ✓ SuiteSparse
   1433.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1533.1 ms  ✓ Adapt → AdaptSparseArraysExt
   7105.3 ms  ✓ SpecialFunctions
   1557.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1710.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1949.9 ms  ✓ Statistics
   1594.6 ms  ✓ Accessors → StructArraysExt
   1608.7 ms  ✓ Accessors → TestExt
   1322.2 ms  ✓ SparseInverseSubset
   2004.2 ms  ✓ BangBang
   1314.8 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   1489.7 ms  ✓ DiffRules
   1407.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   1093.5 ms  ✓ BangBang → BangBangTablesExt
   1297.7 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1481.4 ms  ✓ MicroCollections
   2589.5 ms  ✓ Optimisers
   1090.5 ms  ✓ BangBang → BangBangStructArraysExt
   3385.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    788.4 ms  ✓ Optimisers → OptimisersAdaptExt
    801.5 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   3774.2 ms  ✓ StatsBase
   3197.3 ms  ✓ Transducers
  15496.3 ms  ✓ StaticArrays
   4802.3 ms  ✓ ForwardDiff
    971.4 ms  ✓ Transducers → TransducersAdaptExt
    987.6 ms  ✓ Adapt → AdaptStaticArraysExt
    991.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1007.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1198.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    938.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    644.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
    658.0 ms  ✓ Accessors → StaticArraysExt
   6800.8 ms  ✓ ChainRules
    551.2 ms  ✓ BangBang → BangBangStaticArraysExt
    515.7 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   4407.0 ms  ✓ KernelAbstractions
    706.4 ms  ✓ KernelAbstractions → LinearAlgebraExt
  34041.5 ms  ✓ MLStyle
    544.5 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    569.0 ms  ✓ KernelAbstractions → EnzymeExt
    624.6 ms  ✓ KernelAbstractions → SparseArraysExt
   1559.3 ms  ✓ JuliaVariables
   3107.4 ms  ✓ NNlib
   2143.4 ms  ✓ FLoops
    711.1 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    826.6 ms  ✓ OneHotArrays
    910.1 ms  ✓ NNlib → NNlibEnzymeCoreExt
    727.8 ms  ✓ NNlib → NNlibForwardDiffExt
    657.6 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   3596.7 ms  ✓ MLUtils
    937.9 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  20601.7 ms  ✓ Zygote
    783.7 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   3757.7 ms  ✓ Flux
  140 dependencies successfully precompiled in 56 seconds
