Precompiling project...
   1718.0 ms  ✓ DefineSingletons
   1724.7 ms  ✓ DataValueInterfaces
   1702.5 ms  ✓ Reexport
   1813.4 ms  ✓ Unicode
   2013.9 ms  ✓ RealDot
   2136.5 ms  ✓ InverseFunctions
   2218.5 ms  ✓ OpenLibm_jll
   2713.1 ms  ✓ AbstractFFTs
   2725.2 ms  ✓ Serialization
   2742.3 ms  ✓ OrderedCollections
   2902.1 ms  ✓ DocStringExtensions
   2997.7 ms  ✓ EnzymeCore
   3098.3 ms  ✓ Statistics
   1719.7 ms  ✓ IteratorInterfaceExtensions
   2195.8 ms  ✓ PrettyPrint
   1922.5 ms  ✓ DataAPI
   2314.0 ms  ✓ ConstructionBase
   2008.3 ms  ✓ StatsAPI
   2166.8 ms  ✓ ArgCheck
   4421.5 ms  ✓ FillArrays
   2423.3 ms  ✓ ShowCases
   2474.2 ms  ✓ ProgressLogging
   2506.0 ms  ✓ CompilerSupportLibraries_jll
   2209.3 ms  ✓ Mmap
   2485.9 ms  ✓ SuiteSparse_jll
   2477.3 ms  ✓ CompositionsBase
   1996.8 ms  ✓ PtrArrays
   2104.1 ms  ✓ Future
   6000.4 ms  ✓ IrrationalConstants
   1802.6 ms  ✓ StaticArraysCore
   1907.7 ms  ✓ HashArrayMappedTries
   2422.6 ms  ✓ Requires
   2510.6 ms  ✓ Compat
   2421.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1876.4 ms  ✓ TableTraits
   2013.1 ms  ✓ NameResolution
   3196.4 ms  ✓ Preferences
   4308.6 ms  ✓ InitialValues
   2803.5 ms  ✓ NaNMath
   3008.8 ms  ✓ Missings
   7912.1 ms  ✓ UnsafeAtomics
   2069.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2285.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1901.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2222.5 ms  ✓ DelimitedFiles
   5074.1 ms  ✓ Baselet
   6397.7 ms  ✓ InteractiveUtils
   2379.8 ms  ✓ AliasTables
   2201.3 ms  ✓ DiffResults
   1895.0 ms  ✓ ScopedValues
   2773.6 ms  ✓ LogExpFunctions
   1800.2 ms  ✓ Adapt
   1834.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2208.8 ms  ✓ PrecompileTools
   2408.3 ms  ✓ JLLWrappers
   2798.3 ms  ✓ Atomix
