Precompiling project...
   1814.6 ms  ✓ DefineSingletons
   1811.5 ms  ✓ DataValueInterfaces
   1896.6 ms  ✓ Unicode
   1977.0 ms  ✓ Reexport
   2005.4 ms  ✓ RealDot
   2024.0 ms  ✓ OpenLibm_jll
   2525.8 ms  ✓ AbstractFFTs
   2616.6 ms  ✓ OrderedCollections
   2797.1 ms  ✓ InverseFunctions
   2811.4 ms  ✓ Serialization
   2786.9 ms  ✓ Statistics
   2800.1 ms  ✓ EnzymeCore
   2877.5 ms  ✓ DocStringExtensions
   1698.6 ms  ✓ IteratorInterfaceExtensions
   1996.1 ms  ✓ DataAPI
   2133.8 ms  ✓ PrettyPrint
   4029.3 ms  ✓ FillArrays
   2292.0 ms  ✓ ConstructionBase
   2101.5 ms  ✓ ArgCheck
   2179.9 ms  ✓ StatsAPI
   2307.6 ms  ✓ CompilerSupportLibraries_jll
   2497.0 ms  ✓ ShowCases
   2300.7 ms  ✓ Mmap
   2479.6 ms  ✓ ProgressLogging
   1795.8 ms  ✓ CompositionsBase
   5367.5 ms  ✓ IrrationalConstants
   2686.2 ms  ✓ SuiteSparse_jll
   2313.6 ms  ✓ Future
   2279.2 ms  ✓ StaticArraysCore
   2315.2 ms  ✓ NameResolution
   1913.2 ms  ✓ HashArrayMappedTries
   2289.8 ms  ✓ Requires
   2209.4 ms  ✓ NaNMath
   2591.3 ms  ✓ Compat
   1816.0 ms  ✓ TableTraits
   4211.2 ms  ✓ InitialValues
   2819.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1802.8 ms  ✓ PtrArrays
   3228.0 ms  ✓ Preferences
   2395.3 ms  ✓ Missings
   7319.9 ms  ✓ UnsafeAtomics
   2013.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2397.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1982.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2582.7 ms  ✓ DelimitedFiles
   6295.9 ms  ✓ InteractiveUtils
   1904.2 ms  ✓ ScopedValues
   5379.4 ms  ✓ Baselet
   2099.9 ms  ✓ DiffResults
   2103.2 ms  ✓ Adapt
   2803.7 ms  ✓ LogExpFunctions
   1886.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2498.5 ms  ✓ AliasTables
   2706.5 ms  ✓ PrecompileTools
   2616.0 ms  ✓ JLLWrappers
   2676.9 ms  ✓ Atomix
   3597.3 ms  ✓ Tables
   7709.2 ms  ✓ DataStructures
   2008.0 ms  ✓ ContextVariablesX
   2305.5 ms  ✓ GPUArraysCore
   2201.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2606.7 ms  ✓ EnzymeCore → AdaptExt
  10694.5 ms  ✓ MacroTools
   2911.4 ms  ✓ Functors
   2214.4 ms  ✓ SortingAlgorithms
   2773.0 ms  ✓ OpenSpecFun_jll
   9496.8 ms  ✓ Distributed
   2313.7 ms  ✓ CommonSubexpressions
   2912.5 ms  ✓ FLoopsBase
   3303.2 ms  ✓ StructArrays
   5307.0 ms  ✓ ChainRulesCore
   3409.1 ms  ✓ SimpleTraits
   2087.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2194.7 ms  ✓ StructArrays → StructArraysAdaptExt
   2006.8 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3487.4 ms  ✓ MLDataDevices
   5313.7 ms  ✓ Setfield
   3197.0 ms  ✓ ZygoteRules
   6521.1 ms  ✓ IRTools
   1613.6 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   3496.9 ms  ✓ MLCore
   1803.2 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   4386.9 ms  ✓ Optimisers
   7509.8 ms  ✓ Accessors
   4596.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  12919.4 ms  ✓ SparseArrays
   2014.4 ms  ✓ Optimisers → OptimisersAdaptExt
   2086.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2205.3 ms  ✓ Accessors → StructArraysExt
   2412.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2582.8 ms  ✓ SuiteSparse
   2655.7 ms  ✓ Statistics → SparseArraysExt
   2618.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2803.2 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3007.3 ms  ✓ Accessors → LinearAlgebraExt
   2811.0 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   3117.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
  14006.2 ms  ✓ Test
   9125.2 ms  ✓ SpecialFunctions
   1403.5 ms  ✓ SparseInverseSubset
   1719.7 ms  ✓ BangBang
   1480.4 ms  ✓ Accessors → TestExt
   1582.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2278.6 ms  ✓ SplittablesBase
   2090.7 ms  ✓ DiffRules
   1337.6 ms  ✓ BangBang → BangBangTablesExt
   1502.2 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1550.5 ms  ✓ BangBang → BangBangStructArraysExt
   1726.0 ms  ✓ MicroCollections
   3307.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3537.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4514.9 ms  ✓ StatsBase
  17468.0 ms  ✓ StaticArrays
   3703.3 ms  ✓ Transducers
   1518.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1824.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1910.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1905.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1915.5 ms  ✓ Adapt → AdaptStaticArraysExt
   5497.3 ms  ✓ ForwardDiff
   2000.1 ms  ✓ BangBang → BangBangStaticArraysExt
   2031.0 ms  ✓ Accessors → StaticArraysExt
   1311.9 ms  ✓ Transducers → TransducersAdaptExt
    593.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   8112.5 ms  ✓ ChainRules
   1767.4 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   5404.5 ms  ✓ KernelAbstractions
  38099.5 ms  ✓ MLStyle
    791.5 ms  ✓ KernelAbstractions → LinearAlgebraExt
    822.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    834.6 ms  ✓ KernelAbstractions → EnzymeExt
    923.1 ms  ✓ KernelAbstractions → SparseArraysExt
