nice: cannot set niceness: Permission denied
Precompiling packages...
 104812.4 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 105 seconds
Precompiling packages...
   1854.6 ms  ✓ DataValueInterfaces
   2133.6 ms  ✓ RealDot
   2185.8 ms  ✓ OpenLibm_jll
   2546.3 ms  ✓ DefineSingletons
   2614.6 ms  ✓ Reexport
   2637.8 ms  ✓ AbstractFFTs
   2842.5 ms  ✓ Unicode
   3221.3 ms  ✓ DocStringExtensions
   3362.3 ms  ✓ InverseFunctions
   3395.5 ms  ✓ Statistics
   3596.4 ms  ✓ Serialization
   4013.8 ms  ✓ FillArrays
   4224.5 ms  ✓ EnzymeCore
   2612.1 ms  ✓ ArgCheck
   3338.0 ms  ✓ PrettyPrint
   3504.2 ms  ✓ IteratorInterfaceExtensions
   2203.2 ms  ✓ ProgressLogging
   3201.5 ms  ✓ DataAPI
   2634.3 ms  ✓ CompilerSupportLibraries_jll
   3294.1 ms  ✓ StatsAPI
   2829.4 ms  ✓ Mmap
   3424.2 ms  ✓ SuiteSparse_jll
   2270.0 ms  ✓ PtrArrays
   2281.9 ms  ✓ SciMLPublic
   3351.2 ms  ✓ CompositionsBase
   2607.8 ms  ✓ StaticArraysCore
   3202.5 ms  ✓ Future
   3566.8 ms  ✓ ADTypes
   2567.6 ms  ✓ HashArrayMappedTries
   4271.9 ms  ✓ InitialValues
  10198.2 ms  ✓ OrderedCollections
   1911.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3946.7 ms  ✓ Requires
  10268.2 ms  ✓ ConstructionBase
   2435.3 ms  ✓ NameResolution
   2713.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   4408.0 ms  ✓ DiffResults
  10088.3 ms  ✓ ShowCases
   2307.6 ms  ✓ TableTraits
   6870.2 ms  ✓ Baselet
  14204.4 ms  ✓ IrrationalConstants
   3592.9 ms  ✓ DelimitedFiles
   2864.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2234.1 ms  ✓ ScopedValues
  13587.2 ms  ✓ UnsafeAtomics
   3399.5 ms  ✓ AliasTables
   3193.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4298.1 ms  ✓ Preferences
   9311.7 ms  ✓ NaNMath
   2194.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2696.9 ms  ✓ Adapt
   2485.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2985.0 ms  ✓ LogExpFunctions
   2888.9 ms  ✓ Atomix
  11085.0 ms  ✓ Compat
