nice: cannot set niceness: Permission denied
Precompiling packages...
   1723.5 ms  ✓ Unicode
   1727.0 ms  ✓ UUIDs
   1726.4 ms  ✓ Logging
   1731.3 ms  ✓ NetworkOptions
   1798.8 ms  ✓ Zlib_jll
   1831.8 ms  ✓ OpenSSL_jll
   1814.4 ms  ✓ MozillaCACerts_jll
   1840.1 ms  ✓ nghttp2_jll
   1905.3 ms  ✓ Base64
   1920.4 ms  ✓ CompilerSupportLibraries_jll
    477.0 ms  ✓ LibSSH2_jll
    711.2 ms  ✓ Printf
    575.5 ms  ✓ p7zip_jll
    490.2 ms  ✓ LibCURL_jll
    491.8 ms  ✓ LibGit2_jll
   3304.5 ms  ✓ ArgTools
    812.5 ms  ✓ LibCURL
    710.8 ms  ✓ Tar
   3045.8 ms  ✓ Dates
   3129.5 ms  ✓ LibGit2
    475.7 ms  ✓ TOML
   3041.9 ms  ✓ Downloads
   9702.9 ms  ✓ StyledStrings
   1755.0 ms  ✓ JuliaSyntaxHighlighting
   3912.3 ms  ✓ Markdown
  46929.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2410.2 ms  ✓ DataValueInterfaces
   2484.3 ms  ✓ IteratorInterfaceExtensions
   2509.0 ms  ✓ Reexport
   2517.1 ms  ✓ RealDot
   2880.6 ms  ✓ OpenLibm_jll
   3194.4 ms  ✓ Adapt
   3382.3 ms  ✓ AbstractFFTs
   3515.8 ms  ✓ DocStringExtensions
   3573.9 ms  ✓ Statistics
   3776.2 ms  ✓ EnzymeCore
   3918.9 ms  ✓ Serialization
   2774.1 ms  ✓ DataAPI
   5418.4 ms  ✓ FillArrays
   2907.4 ms  ✓ StatsAPI
   2905.9 ms  ✓ ProgressLogging
   2325.7 ms  ✓ Future
   2729.1 ms  ✓ SuiteSparse_jll
   2906.4 ms  ✓ Mmap
   2696.0 ms  ✓ PtrArrays
   4025.0 ms  ✓ ADTypes
   2694.8 ms  ✓ SciMLPublic
   2701.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2790.3 ms  ✓ HashArrayMappedTries
  10005.2 ms  ✓ OrderedCollections
  10196.6 ms  ✓ ConstructionBase
   2301.1 ms  ✓ TableTraits
   4299.4 ms  ✓ Preferences
   4696.8 ms  ✓ Requires
   3789.7 ms  ✓ GPUArraysCore
   9798.4 ms  ✓ ShowCases
   2425.7 ms  ✓ EnzymeCore → AdaptExt
  12771.8 ms  ✓ UnsafeAtomics
   5292.6 ms  ✓ LazyArtifacts
   2885.6 ms  ✓ StaticArraysCore
  10537.4 ms  ✓ BFloat16s
   9021.5 ms  ✓ CEnum
  14311.2 ms  ✓ IrrationalConstants
   2908.2 ms  ✓ DelimitedFiles
   2590.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2906.2 ms  ✓ AliasTables
   2810.5 ms  ✓ ScopedValues
   9704.5 ms  ✓ Compat
   2607.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2694.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2496.6 ms  ✓ PrecompileTools
   2202.6 ms  ✓ DiffResults
   2592.2 ms  ✓ Atomix
   1913.3 ms  ✓ Compat → CompatLinearAlgebraExt
   9689.4 ms  ✓ NaNMath
   2921.8 ms  ✓ JLLWrappers
   3093.3 ms  ✓ LogExpFunctions
   8670.5 ms  ✓ Missings
  16599.7 ms  ✓ MacroTools
  13586.7 ms  ✓ InteractiveUtils
   2330.3 ms  ✓ OpenSpecFun_jll
   7131.5 ms  ✓ DataStructures
   2500.2 ms  ✓ CommonSubexpressions
   2419.6 ms  ✓ SortingAlgorithms
   8724.1 ms  ✓ Tables
   3509.8 ms  ✓ SimpleTraits
   6039.6 ms  ✓ LLVMExtra_jll
  13899.2 ms  ✓ Distributed
   4601.1 ms  ✓ Setfield
   7230.9 ms  ✓ Functors
   8884.8 ms  ✓ ChainRulesCore
   2298.3 ms  ✓ MLDataDevices
   3798.6 ms  ✓ MLCore
   2282.6 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2483.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2489.3 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   6399.6 ms  ✓ StructArrays
   2416.5 ms  ✓ MLDataDevices → FillArraysExt
   3395.2 ms  ✓ ZygoteRules
   2793.5 ms  ✓ MLDataDevices → ChainRulesCoreExt
   9971.8 ms  ✓ SpecialFunctions
  10616.7 ms  ✓ IRTools
  20301.6 ms  ✓ SparseArrays
   1994.7 ms  ✓ StructArrays → StructArraysAdaptExt
