nice: cannot set niceness: Permission denied
Precompiling packages...
 112399.0 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 112 seconds
Precompiling packages...
   2267.5 ms  ✓ InverseFunctions
   2264.5 ms  ✓ Reexport
   2310.2 ms  ✓ Unicode
   2767.5 ms  ✓ DataValueInterfaces
   2760.9 ms  ✓ RealDot
   3373.6 ms  ✓ OpenLibm_jll
   3314.0 ms  ✓ DocStringExtensions
   3564.2 ms  ✓ DefineSingletons
   3691.2 ms  ✓ EnzymeCore
   4310.3 ms  ✓ Serialization
   4477.1 ms  ✓ AbstractFFTs
   4570.5 ms  ✓ Statistics
   4783.3 ms  ✓ FillArrays
   2698.9 ms  ✓ IteratorInterfaceExtensions
   2763.3 ms  ✓ PrettyPrint
   2501.0 ms  ✓ DataAPI
   2685.9 ms  ✓ ArgCheck
   1721.0 ms  ✓ Future
   3111.7 ms  ✓ CompilerSupportLibraries_jll
   2403.2 ms  ✓ SuiteSparse_jll
   3893.6 ms  ✓ StatsAPI
   3173.2 ms  ✓ ProgressLogging
   2398.6 ms  ✓ PtrArrays
   3090.0 ms  ✓ CompositionsBase
   2068.0 ms  ✓ HashArrayMappedTries
   4802.8 ms  ✓ Mmap
   2871.3 ms  ✓ StaticArraysCore
   3173.4 ms  ✓ SciMLPublic
  10408.5 ms  ✓ OrderedCollections
   5197.2 ms  ✓ InitialValues
   3317.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9468.0 ms  ✓ ConstructionBase
   4304.7 ms  ✓ Requires
   8846.5 ms  ✓ ShowCases
   2154.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   3517.4 ms  ✓ Preferences
  13249.8 ms  ✓ IrrationalConstants
   6993.4 ms  ✓ Baselet
   3500.1 ms  ✓ TableTraits
   2697.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4377.6 ms  ✓ NameResolution
   2814.9 ms  ✓ DelimitedFiles
   3892.8 ms  ✓ AliasTables
   2282.2 ms  ✓ DiffResults
  14128.8 ms  ✓ UnsafeAtomics
