Precompiling project...
   1706.6 ms  ✓ DefineSingletons
   1793.4 ms  ✓ Unicode
   1798.2 ms  ✓ DataValueInterfaces
   1888.8 ms  ✓ RealDot
   1955.3 ms  ✓ Reexport
   2101.6 ms  ✓ OpenLibm_jll
   2393.2 ms  ✓ InverseFunctions
   2594.5 ms  ✓ OrderedCollections
   2708.3 ms  ✓ AbstractFFTs
   2846.7 ms  ✓ DocStringExtensions
   2920.4 ms  ✓ Statistics
   3008.0 ms  ✓ Serialization
   3166.4 ms  ✓ EnzymeCore
   1695.9 ms  ✓ IteratorInterfaceExtensions
   1996.3 ms  ✓ PrettyPrint
   2378.2 ms  ✓ ConstructionBase
   2094.7 ms  ✓ DataAPI
   2481.5 ms  ✓ ArgCheck
   4586.7 ms  ✓ FillArrays
   2202.4 ms  ✓ ShowCases
   2402.4 ms  ✓ StatsAPI
   2301.3 ms  ✓ CompilerSupportLibraries_jll
   5014.7 ms  ✓ IrrationalConstants
   2091.5 ms  ✓ Mmap
   2299.6 ms  ✓ ProgressLogging
   1710.1 ms  ✓ CompositionsBase
   2305.9 ms  ✓ SuiteSparse_jll
   1890.4 ms  ✓ Future
   2522.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2106.3 ms  ✓ StaticArraysCore
   1991.7 ms  ✓ HashArrayMappedTries
   2221.1 ms  ✓ NaNMath
   2211.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2400.8 ms  ✓ Requires
   2501.0 ms  ✓ Compat
   3191.0 ms  ✓ LogExpFunctions
   1888.6 ms  ✓ TableTraits
   1906.1 ms  ✓ PtrArrays
   4215.0 ms  ✓ InitialValues
   2299.6 ms  ✓ NameResolution
   2185.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   2185.2 ms  ✓ DelimitedFiles
   2399.0 ms  ✓ Missings
   8098.5 ms  ✓ UnsafeAtomics
   1902.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   6128.3 ms  ✓ InteractiveUtils
   5601.1 ms  ✓ Baselet
   1901.4 ms  ✓ ScopedValues
   2010.6 ms  ✓ DiffResults
   3311.6 ms  ✓ Preferences
   2295.7 ms  ✓ Adapt
   2015.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1901.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2311.7 ms  ✓ AliasTables
   7487.5 ms  ✓ DataStructures
   2598.6 ms  ✓ Atomix
   2186.8 ms  ✓ PrecompileTools
   2405.3 ms  ✓ JLLWrappers
   3669.2 ms  ✓ Tables
   2289.5 ms  ✓ GPUArraysCore
   2291.7 ms  ✓ EnzymeCore → AdaptExt
  10695.6 ms  ✓ MacroTools
   8401.3 ms  ✓ Distributed
   2886.3 ms  ✓ ContextVariablesX
   2302.0 ms  ✓ SortingAlgorithms
   3423.5 ms  ✓ Functors
   2501.4 ms  ✓ OpenSpecFun_jll
   2105.0 ms  ✓ CommonSubexpressions
   3024.2 ms  ✓ StructArrays
   3006.2 ms  ✓ SimpleTraits
   5317.2 ms  ✓ ChainRulesCore
   2511.8 ms  ✓ FLoopsBase
   2100.7 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3491.3 ms  ✓ MLDataDevices
   2198.8 ms  ✓ StructArrays → StructArraysAdaptExt
   4984.0 ms  ✓ Setfield
   2408.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3001.8 ms  ✓ ZygoteRules
   6300.8 ms  ✓ IRTools
   1807.1 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   3505.9 ms  ✓ MLCore
   1991.3 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   7299.2 ms  ✓ Accessors
   4489.7 ms  ✓ Optimisers
   5300.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  14011.2 ms  ✓ SparseArrays
  12697.1 ms  ✓ Test
   2288.1 ms  ✓ Accessors → LinearAlgebraExt
   1994.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2207.9 ms  ✓ Optimisers → OptimisersAdaptExt
   2897.3 ms  ✓ Accessors → StructArraysExt
   2382.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2500.7 ms  ✓ SuiteSparse
   2571.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2601.1 ms  ✓ Statistics → SparseArraysExt
   2669.9 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   2694.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2774.8 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2476.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   9697.3 ms  ✓ SpecialFunctions
   2179.8 ms  ✓ Accessors → TestExt
   2627.1 ms  ✓ SplittablesBase
   1176.0 ms  ✓ SparseInverseSubset
   2699.6 ms  ✓ BangBang
   1484.4 ms  ✓ DiffRules
   4303.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1398.3 ms  ✓ BangBang → BangBangStructArraysExt
   1484.8 ms  ✓ BangBang → BangBangTablesExt
   1496.9 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1601.9 ms  ✓ MicroCollections
   3115.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3594.6 ms  ✓ StatsBase
  17621.0 ms  ✓ StaticArrays
   3495.5 ms  ✓ Transducers
   1583.1 ms  ✓ Adapt → AdaptStaticArraysExt
   1680.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1787.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1786.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1928.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1981.7 ms  ✓ Accessors → StaticArraysExt
   1995.1 ms  ✓ BangBang → BangBangStaticArraysExt
   5716.8 ms  ✓ ForwardDiff
   1447.8 ms  ✓ Transducers → TransducersAdaptExt
    579.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   8016.1 ms  ✓ ChainRules
   1885.4 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
  37671.5 ms  ✓ MLStyle
   5487.4 ms  ✓ KernelAbstractions
    733.0 ms  ✓ KernelAbstractions → LinearAlgebraExt
    757.3 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    793.9 ms  ✓ KernelAbstractions → EnzymeExt
    876.7 ms  ✓ KernelAbstractions → SparseArraysExt
   1975.8 ms  ✓ JuliaVariables
   3433.4 ms  ✓ NNlib
   2347.5 ms  ✓ FLoops
    843.6 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    892.0 ms  ✓ NNlib → NNlibForwardDiffExt
    901.8 ms  ✓ NNlib → NNlibEnzymeCoreExt
    931.7 ms  ✓ OneHotArrays
    554.1 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   4287.7 ms  ✓ MLUtils
    998.0 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  24015.5 ms  ✓ Zygote
    938.6 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   3985.4 ms  ✓ Flux
  145 dependencies successfully precompiled in 63 seconds. 7 already precompiled.
	Command being timed: "julia +1.11.7 --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 296.50
	System time (seconds): 27.29
	Percent of CPU this job got: 277%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:56.79
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2047792
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 534
	Minor (reclaiming a frame) page faults: 6909574
	Voluntary context switches: 189827
	Involuntary context switches: 64821
	Swaps: 0
	File system inputs: 0
	File system outputs: 902000
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
