nice: cannot set niceness: Permission denied
Precompiling packages...
   2026.7 ms  ✓ DefineSingletons
   1870.3 ms  ✓ Reexport
   1892.5 ms  ✓ DataValueInterfaces
   1891.9 ms  ✓ RealDot
   1972.6 ms  ✓ OpenLibm_jll
   2287.1 ms  ✓ DelimitedFiles
   2334.5 ms  ✓ InverseFunctions
   2543.3 ms  ✓ Requires
   2756.2 ms  ✓ DocStringExtensions
   2790.4 ms  ✓ Compat
   2882.7 ms  ✓ AbstractFFTs
   2992.0 ms  ✓ OrderedCollections
   3251.3 ms  ✓ EnzymeCore
   1994.6 ms  ✓ IteratorInterfaceExtensions
   2000.6 ms  ✓ PrettyPrint
   2181.3 ms  ✓ ConstructionBase
   2205.5 ms  ✓ DataAPI
   2004.1 ms  ✓ ArgCheck
   2130.5 ms  ✓ StatsAPI
   4482.8 ms  ✓ FillArrays
   2107.3 ms  ✓ CompilerSupportLibraries_jll
   2517.1 ms  ✓ ShowCases
   1906.5 ms  ✓ CompositionsBase
   2491.2 ms  ✓ ProgressLogging
   2496.3 ms  ✓ SuiteSparse_jll
   5737.2 ms  ✓ IrrationalConstants
   1807.7 ms  ✓ PtrArrays
   2134.5 ms  ✓ SciMLPublic
   2100.8 ms  ✓ HashArrayMappedTries
   2412.6 ms  ✓ StaticArraysCore
   1906.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1995.5 ms  ✓ Adapt
   2301.1 ms  ✓ NaNMath
   1999.2 ms  ✓ Compat → CompatLinearAlgebraExt
   3781.4 ms  ✓ InitialValues
   3150.3 ms  ✓ Preferences
   1812.3 ms  ✓ TableTraits
   2104.5 ms  ✓ NameResolution
   1902.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2387.0 ms  ✓ Missings
   2038.9 ms  ✓ DiffResults
   2474.1 ms  ✓ AliasTables
   2078.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5290.3 ms  ✓ Baselet
   2612.4 ms  ✓ ScopedValues
   3100.5 ms  ✓ LogExpFunctions
   2083.5 ms  ✓ EnzymeCore → AdaptExt
   7998.8 ms  ✓ Distributed
   2199.2 ms  ✓ GPUArraysCore
   8924.3 ms  ✓ UnsafeAtomics
   2004.3 ms  ✓ ContextVariablesX
   1839.4 ms  ✓ PrecompileTools
   1790.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2110.7 ms  ✓ JLLWrappers
   1780.3 ms  ✓ Atomix
   8908.5 ms  ✓ MacroTools
   2310.6 ms  ✓ Functors
   7087.2 ms  ✓ DataStructures
   1606.6 ms  ✓ FLoopsBase
   3206.1 ms  ✓ Tables
   2312.1 ms  ✓ OpenSpecFun_jll
   2287.4 ms  ✓ CommonSubexpressions
   2203.6 ms  ✓ SortingAlgorithms
   5190.8 ms  ✓ ChainRulesCore
  11726.6 ms  ✓ Test
   3179.7 ms  ✓ SimpleTraits
   4079.7 ms  ✓ MLDataDevices
   1914.2 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   3804.6 ms  ✓ StructArrays
   4548.8 ms  ✓ Setfield
   2283.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3402.2 ms  ✓ ZygoteRules
   1811.3 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   1902.8 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   1712.1 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   6373.0 ms  ✓ IRTools
   3197.2 ms  ✓ MLCore
   3929.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4497.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   7046.0 ms  ✓ Accessors
   2511.5 ms  ✓ SplittablesBase
    932.3 ms  ✓ StructArrays → StructArraysAdaptExt
  12559.6 ms  ✓ SparseArrays
   1086.0 ms  ✓ Accessors → LinearAlgebraExt
   1234.8 ms  ✓ SuiteSparse
   1304.3 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1311.9 ms  ✓ Adapt → AdaptSparseArraysExt
   1508.9 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1533.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1628.0 ms  ✓ Statistics
   1415.4 ms  ✓ Accessors → StructArraysExt
   1419.5 ms  ✓ Accessors → TestExt
   7608.1 ms  ✓ SpecialFunctions
   1199.1 ms  ✓ SparseInverseSubset
   1814.8 ms  ✓ BangBang
   1514.9 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   1323.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   1372.2 ms  ✓ DiffRules
   1202.0 ms  ✓ BangBang → BangBangTablesExt
   1292.4 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1406.5 ms  ✓ MicroCollections
   2530.8 ms  ✓ Optimisers
    890.6 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
    982.5 ms  ✓ Optimisers → OptimisersAdaptExt
   1208.0 ms  ✓ BangBang → BangBangStructArraysExt
   2921.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3828.2 ms  ✓ StatsBase
   3247.6 ms  ✓ Transducers
  15453.2 ms  ✓ StaticArrays
   4537.1 ms  ✓ ForwardDiff
   1039.6 ms  ✓ Transducers → TransducersAdaptExt
    963.8 ms  ✓ Adapt → AdaptStaticArraysExt
   1067.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1144.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1362.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    894.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    730.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
    764.0 ms  ✓ Accessors → StaticArraysExt
   7059.5 ms  ✓ ChainRules
    538.6 ms  ✓ BangBang → BangBangStaticArraysExt
    529.4 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   4366.5 ms  ✓ KernelAbstractions
    879.5 ms  ✓ KernelAbstractions → LinearAlgebraExt
  33851.5 ms  ✓ MLStyle
    556.1 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    565.0 ms  ✓ KernelAbstractions → EnzymeExt
    633.6 ms  ✓ KernelAbstractions → SparseArraysExt
   1558.0 ms  ✓ JuliaVariables
   1990.5 ms  ✓ FLoops
   3112.7 ms  ✓ NNlib
    728.6 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    821.2 ms  ✓ OneHotArrays
    903.9 ms  ✓ NNlib → NNlibEnzymeCoreExt
    706.7 ms  ✓ NNlib → NNlibForwardDiffExt
    648.5 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   3583.1 ms  ✓ MLUtils
    938.7 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  20796.5 ms  ✓ Zygote
    782.5 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   3780.2 ms  ✓ Flux
  140 dependencies successfully precompiled in 56 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
