nice: cannot set niceness: Permission denied
Precompiling packages...
   1446.5 ms  ✓ MozillaCACerts_jll
   1522.6 ms  ✓ nghttp2_jll
   1550.1 ms  ✓ Logging
   1638.5 ms  ✓ Zlib_jll
   1643.2 ms  ✓ UUIDs
   1658.9 ms  ✓ CompilerSupportLibraries_jll
   1697.0 ms  ✓ OpenSSL_jll
   1733.5 ms  ✓ Unicode
   1819.8 ms  ✓ NetworkOptions
   1813.1 ms  ✓ Base64
    516.8 ms  ✓ LibSSH2_jll
    608.3 ms  ✓ p7zip_jll
    651.3 ms  ✓ Printf
    478.3 ms  ✓ LibCURL_jll
    481.9 ms  ✓ LibGit2_jll
   3173.7 ms  ✓ ArgTools
    738.0 ms  ✓ LibCURL
    649.9 ms  ✓ Tar
   3064.1 ms  ✓ Dates
   3086.4 ms  ✓ LibGit2
    456.4 ms  ✓ TOML
   3092.9 ms  ✓ Downloads
   9396.1 ms  ✓ StyledStrings
   1728.3 ms  ✓ JuliaSyntaxHighlighting
   3889.2 ms  ✓ Markdown
  47532.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2294.5 ms  ✓ RealDot
   2303.2 ms  ✓ DataValueInterfaces
   2357.0 ms  ✓ IteratorInterfaceExtensions
   2394.3 ms  ✓ Reexport
   2495.5 ms  ✓ OpenLibm_jll
   3155.2 ms  ✓ Adapt
   3479.9 ms  ✓ Statistics
   3569.6 ms  ✓ DocStringExtensions
   4197.1 ms  ✓ Serialization
   4272.2 ms  ✓ AbstractFFTs
   4784.3 ms  ✓ EnzymeCore
   2779.7 ms  ✓ DataAPI
   2889.6 ms  ✓ StatsAPI
   2882.5 ms  ✓ ProgressLogging
   5402.5 ms  ✓ FillArrays
   3060.5 ms  ✓ Mmap
   2503.0 ms  ✓ Future
   3019.6 ms  ✓ SuiteSparse_jll
   2422.1 ms  ✓ PtrArrays
   3009.3 ms  ✓ SciMLPublic
   3901.8 ms  ✓ ADTypes
   2992.9 ms  ✓ StaticArraysCore
   2910.5 ms  ✓ HashArrayMappedTries
   3994.6 ms  ✓ Requires
   3615.4 ms  ✓ Preferences
  10284.1 ms  ✓ ConstructionBase
   2302.1 ms  ✓ TableTraits
  10689.8 ms  ✓ OrderedCollections
   3304.0 ms  ✓ GPUArraysCore
  11469.3 ms  ✓ UnsafeAtomics
   2584.8 ms  ✓ EnzymeCore → AdaptExt
   9776.3 ms  ✓ ShowCases
   5494.4 ms  ✓ LazyArtifacts
   2978.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   9105.1 ms  ✓ CEnum
   3515.6 ms  ✓ DelimitedFiles
  14166.0 ms  ✓ IrrationalConstants
   2696.0 ms  ✓ AliasTables
   2506.0 ms  ✓ DiffResults
   3182.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2634.1 ms  ✓ ScopedValues
   2711.2 ms  ✓ PrecompileTools
  10530.4 ms  ✓ Compat
   2279.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2291.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3210.7 ms  ✓ JLLWrappers
   2503.0 ms  ✓ Atomix
   9481.4 ms  ✓ NaNMath
   2912.3 ms  ✓ LogExpFunctions
   1816.9 ms  ✓ Compat → CompatLinearAlgebraExt
   9009.1 ms  ✓ Missings
  12689.1 ms  ✓ InteractiveUtils
   2594.0 ms  ✓ OpenSpecFun_jll
  16218.2 ms  ✓ MacroTools
   6700.0 ms  ✓ DataStructures
   2293.0 ms  ✓ CommonSubexpressions
   5516.7 ms  ✓ LLVMExtra_jll
   8217.2 ms  ✓ Tables
   2707.4 ms  ✓ SimpleTraits
   2299.2 ms  ✓ SortingAlgorithms
  15106.2 ms  ✓ Distributed
   4391.3 ms  ✓ Setfield
   6591.0 ms  ✓ Functors
   3027.3 ms  ✓ MLCore
   7872.6 ms  ✓ ChainRulesCore
   2483.0 ms  ✓ MLDataDevices
   1998.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2003.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2015.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   5500.5 ms  ✓ StructArrays
   8795.1 ms  ✓ IRTools
   2904.6 ms  ✓ ZygoteRules
   9601.6 ms  ✓ SpecialFunctions
   1893.9 ms  ✓ MLDataDevices → FillArraysExt
