nice: cannot set niceness: Permission denied
Precompiling packages...
   2069.3 ms  ✓ DefineSingletons
   1925.5 ms  ✓ DataValueInterfaces
   1918.7 ms  ✓ Reexport
   2010.6 ms  ✓ RealDot
   2232.2 ms  ✓ Requires
   2282.5 ms  ✓ OpenLibm_jll
   2397.1 ms  ✓ InverseFunctions
   2434.7 ms  ✓ DelimitedFiles
   2591.1 ms  ✓ DocStringExtensions
   2711.5 ms  ✓ Compat
   2819.0 ms  ✓ OrderedCollections
   2813.8 ms  ✓ AbstractFFTs
   3387.0 ms  ✓ EnzymeCore
   2081.6 ms  ✓ IteratorInterfaceExtensions
   2102.1 ms  ✓ PrettyPrint
   1798.3 ms  ✓ StatsAPI
   1934.8 ms  ✓ ArgCheck
   4233.5 ms  ✓ FillArrays
   2307.2 ms  ✓ ConstructionBase
   2171.9 ms  ✓ DataAPI
   2181.0 ms  ✓ CompilerSupportLibraries_jll
   2320.8 ms  ✓ ShowCases
   2504.7 ms  ✓ ProgressLogging
   1893.5 ms  ✓ CompositionsBase
   5730.9 ms  ✓ IrrationalConstants
   1978.8 ms  ✓ PtrArrays
   1912.5 ms  ✓ SciMLPublic
   2013.6 ms  ✓ StaticArraysCore
   2598.4 ms  ✓ ADTypes
   2299.7 ms  ✓ HashArrayMappedTries
   1994.2 ms  ✓ Adapt
   3092.6 ms  ✓ Preferences
   2114.0 ms  ✓ NaNMath
   3793.3 ms  ✓ InitialValues
   1902.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1905.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2094.1 ms  ✓ SuiteSparse_jll
   1763.6 ms  ✓ TableTraits
   2114.6 ms  ✓ NameResolution
   2307.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   7209.3 ms  ✓ DataStructures
   1994.7 ms  ✓ DiffResults
   4996.4 ms  ✓ Baselet
   2024.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2284.8 ms  ✓ AliasTables
   2403.6 ms  ✓ Missings
   8419.5 ms  ✓ UnsafeAtomics
   2099.0 ms  ✓ ScopedValues
   7913.5 ms  ✓ Distributed
   3296.6 ms  ✓ LogExpFunctions
   2803.7 ms  ✓ GPUArraysCore
   2388.8 ms  ✓ EnzymeCore → AdaptExt
   2304.7 ms  ✓ PrecompileTools
   2176.2 ms  ✓ ContextVariablesX
   2311.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2006.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2594.7 ms  ✓ JLLWrappers
   2186.6 ms  ✓ SortingAlgorithms
   9004.4 ms  ✓ MacroTools
   2678.9 ms  ✓ Functors
   1726.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2289.3 ms  ✓ Atomix
   3279.7 ms  ✓ Tables
   2028.3 ms  ✓ FLoopsBase
   2091.8 ms  ✓ CommonSubexpressions
   2579.8 ms  ✓ OpenSpecFun_jll
   5406.3 ms  ✓ ChainRulesCore
  11523.5 ms  ✓ Test
   3016.7 ms  ✓ MLDataDevices
   3209.9 ms  ✓ SimpleTraits
   3323.5 ms  ✓ StructArrays
   2097.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2285.6 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2397.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5001.3 ms  ✓ Setfield
   2452.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2292.1 ms  ✓ MLDataDevices → ChainRulesCoreExt
   2022.9 ms  ✓ MLDataDevices → FillArraysExt
   3397.3 ms  ✓ ZygoteRules
   6497.5 ms  ✓ IRTools
   1706.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3883.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7088.0 ms  ✓ Accessors
   4516.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2481.4 ms  ✓ MLCore
   2207.6 ms  ✓ SplittablesBase
    793.5 ms  ✓ StructArrays → StructArraysAdaptExt
    522.6 ms  ✓ Accessors → LinearAlgebraExt
  10745.9 ms  ✓ SparseArrays
   6616.7 ms  ✓ SpecialFunctions
   1174.6 ms  ✓ Accessors → StructArraysExt
   1175.6 ms  ✓ Accessors → TestExt
   1366.1 ms  ✓ SuiteSparse
   1865.1 ms  ✓ BangBang
   1517.1 ms  ✓ Adapt → AdaptSparseArraysExt
   1609.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1708.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1825.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1844.5 ms  ✓ Statistics
   1787.1 ms  ✓ DiffRules
   1416.3 ms  ✓ BangBang → BangBangTablesExt
   1594.3 ms  ✓ SparseInverseSubset
   1514.2 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1891.8 ms  ✓ MLDataDevices → SparseArraysExt
   2010.8 ms  ✓ MicroCollections
   1676.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   1178.9 ms  ✓ BangBang → BangBangStructArraysExt
   3524.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2620.7 ms  ✓ Optimisers
    667.9 ms  ✓ Optimisers → OptimisersAdaptExt
    680.6 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   3595.0 ms  ✓ StatsBase
  15662.1 ms  ✓ StaticArrays
   3687.5 ms  ✓ Transducers
   1035.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1052.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1333.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1334.1 ms  ✓ Adapt → AdaptStaticArraysExt
   5573.9 ms  ✓ ForwardDiff
   1629.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1146.9 ms  ✓ Transducers → TransducersAdaptExt
    997.7 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1070.3 ms  ✓ Accessors → StaticArraysExt
    703.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    519.0 ms  ✓ BangBang → BangBangStaticArraysExt
   6799.8 ms  ✓ ChainRules
   3666.8 ms  ✓ KernelAbstractions
   1892.7 ms  ✓ MLDataDevices → ChainRulesExt
   1219.0 ms  ✓ KernelAbstractions → LinearAlgebraExt
   1258.5 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   1342.4 ms  ✓ KernelAbstractions → EnzymeExt
  35208.8 ms  ✓ MLStyle
   1407.7 ms  ✓ KernelAbstractions → SparseArraysExt
   1506.1 ms  ✓ JuliaVariables
   3101.4 ms  ✓ NNlib
   2122.5 ms  ✓ FLoops
    722.6 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    838.2 ms  ✓ OneHotArrays
    915.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
    724.5 ms  ✓ NNlib → NNlibForwardDiffExt
    679.0 ms  ✓ MLDataDevices → OneHotArraysExt
   3565.5 ms  ✓ MLUtils
    946.9 ms  ✓ MLDataDevices → MLUtilsExt
  20903.9 ms  ✓ Zygote
    784.8 ms  ✓ MLDataDevices → ZygoteExt
   3781.2 ms  ✓ Flux
  146 dependencies successfully precompiled in 57 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 179.39
	System time (seconds): 26.04
	Percent of CPU this job got: 355%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.79
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 963728
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 343
	Minor (reclaiming a frame) page faults: 6196103
	Voluntary context switches: 176454
	Involuntary context switches: 71516
	Swaps: 0
	File system inputs: 0
	File system outputs: 453304
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
