nice: cannot set niceness: Permission denied
Precompiling packages...
   2084.3 ms  ✓ DefineSingletons
   2020.4 ms  ✓ DataValueInterfaces
   2019.7 ms  ✓ RealDot
   2015.3 ms  ✓ Reexport
   2121.3 ms  ✓ OpenLibm_jll
   2431.3 ms  ✓ Requires
   2419.0 ms  ✓ InverseFunctions
   2539.2 ms  ✓ DelimitedFiles
   2824.3 ms  ✓ Compat
   2831.7 ms  ✓ AbstractFFTs
   3136.6 ms  ✓ OrderedCollections
   3109.9 ms  ✓ DocStringExtensions
   3399.0 ms  ✓ EnzymeCore
   2005.1 ms  ✓ IteratorInterfaceExtensions
   2094.1 ms  ✓ PrettyPrint
   1994.6 ms  ✓ DataAPI
   4233.3 ms  ✓ FillArrays
   2296.2 ms  ✓ ConstructionBase
   2092.9 ms  ✓ ArgCheck
   2259.8 ms  ✓ StatsAPI
   2108.6 ms  ✓ CompilerSupportLibraries_jll
   2503.1 ms  ✓ ShowCases
   2383.6 ms  ✓ ProgressLogging
   2307.1 ms  ✓ SuiteSparse_jll
   5793.2 ms  ✓ IrrationalConstants
   1705.3 ms  ✓ PtrArrays
   1916.8 ms  ✓ NameResolution
   2007.8 ms  ✓ CompositionsBase
   1740.8 ms  ✓ CEnum
   2012.9 ms  ✓ SciMLPublic
   1914.8 ms  ✓ HashArrayMappedTries
   2290.7 ms  ✓ StaticArraysCore
   3103.8 ms  ✓ ADTypes
   3511.4 ms  ✓ InitialValues
   1972.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2197.1 ms  ✓ Adapt
   2220.2 ms  ✓ NaNMath
   1883.2 ms  ✓ Compat → CompatLinearAlgebraExt
   1878.4 ms  ✓ LazyArtifacts
   1689.9 ms  ✓ TableTraits
   3195.0 ms  ✓ Preferences
   1982.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2760.4 ms  ✓ Missings
   7204.0 ms  ✓ DataStructures
   2021.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2373.8 ms  ✓ AliasTables
   1815.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   7685.4 ms  ✓ Distributed
   2213.1 ms  ✓ DiffResults
   2311.5 ms  ✓ ScopedValues
   5317.4 ms  ✓ Baselet
   9287.8 ms  ✓ UnsafeAtomics
   3690.9 ms  ✓ LogExpFunctions
   2417.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2175.1 ms  ✓ EnzymeCore → AdaptExt
   2195.8 ms  ✓ ContextVariablesX
   2628.0 ms  ✓ GPUArraysCore
   2007.3 ms  ✓ PrecompileTools
   2008.4 ms  ✓ JLLWrappers
   9193.8 ms  ✓ MacroTools
   2096.2 ms  ✓ SortingAlgorithms
   2511.5 ms  ✓ Atomix
   2965.5 ms  ✓ Functors
   3585.4 ms  ✓ Tables
   2406.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1927.6 ms  ✓ FLoopsBase
   1923.0 ms  ✓ CommonSubexpressions
   2206.6 ms  ✓ OpenSpecFun_jll
   2329.0 ms  ✓ LLVMExtra_jll
