Precompiling project...
   1791.7 ms  ✓ DefineSingletons
   1792.4 ms  ✓ DataValueInterfaces
   1876.9 ms  ✓ Reexport
   1973.2 ms  ✓ RealDot
   1979.0 ms  ✓ OpenLibm_jll
   2081.8 ms  ✓ Unicode
   2499.8 ms  ✓ AbstractFFTs
   2582.4 ms  ✓ OrderedCollections
   2670.9 ms  ✓ InverseFunctions
   2860.7 ms  ✓ DocStringExtensions
   3054.0 ms  ✓ Statistics
   3066.7 ms  ✓ EnzymeCore
   3177.8 ms  ✓ Serialization
   1801.7 ms  ✓ IteratorInterfaceExtensions
   1995.1 ms  ✓ DataAPI
   2093.3 ms  ✓ PrettyPrint
   4073.5 ms  ✓ FillArrays
   2311.8 ms  ✓ ConstructionBase
   2116.7 ms  ✓ ArgCheck
   2382.0 ms  ✓ StatsAPI
   2494.3 ms  ✓ ShowCases
   2522.0 ms  ✓ CompilerSupportLibraries_jll
   2182.5 ms  ✓ Mmap
   1885.6 ms  ✓ CompositionsBase
   2607.4 ms  ✓ ProgressLogging
   2490.4 ms  ✓ SuiteSparse_jll
   5527.1 ms  ✓ IrrationalConstants
   2126.8 ms  ✓ PtrArrays
   2308.5 ms  ✓ Future
   2093.7 ms  ✓ StaticArraysCore
   1910.2 ms  ✓ HashArrayMappedTries
   2386.2 ms  ✓ Requires
   2319.9 ms  ✓ NaNMath
   2602.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1915.7 ms  ✓ TableTraits
   2802.1 ms  ✓ Compat
   4185.6 ms  ✓ InitialValues
   2411.0 ms  ✓ Missings
   3389.4 ms  ✓ Preferences
   2382.6 ms  ✓ NameResolution
   7704.0 ms  ✓ UnsafeAtomics
   2101.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2290.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1991.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5203.8 ms  ✓ Baselet
   2198.1 ms  ✓ DelimitedFiles
   6601.5 ms  ✓ InteractiveUtils
   2283.7 ms  ✓ AliasTables
   1812.7 ms  ✓ ScopedValues
   2186.9 ms  ✓ DiffResults
   3000.5 ms  ✓ LogExpFunctions
   2209.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2083.5 ms  ✓ PrecompileTools
   2598.4 ms  ✓ Adapt
   7109.7 ms  ✓ DataStructures
   2497.0 ms  ✓ Atomix
   9808.8 ms  ✓ MacroTools
   2811.0 ms  ✓ JLLWrappers
   3601.4 ms  ✓ Tables
   2003.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2398.1 ms  ✓ EnzymeCore → AdaptExt
   2291.7 ms  ✓ SortingAlgorithms
   2887.8 ms  ✓ ContextVariablesX
   8986.7 ms  ✓ Distributed
   2913.8 ms  ✓ GPUArraysCore
   2209.8 ms  ✓ CommonSubexpressions
   3214.0 ms  ✓ Functors
   3391.3 ms  ✓ StructArrays
   2296.0 ms  ✓ OpenSpecFun_jll
   2295.3 ms  ✓ FLoopsBase
   5281.4 ms  ✓ ChainRulesCore
   2918.6 ms  ✓ SimpleTraits
   5001.4 ms  ✓ Setfield
   1999.4 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3313.9 ms  ✓ MLDataDevices
   2196.0 ms  ✓ StructArrays → StructArraysAdaptExt
   1987.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2900.9 ms  ✓ ZygoteRules
   7083.0 ms  ✓ IRTools
   1887.2 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   7711.5 ms  ✓ Accessors
   2124.3 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   3294.2 ms  ✓ MLCore
   4094.8 ms  ✓ Optimisers
   4903.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1982.4 ms  ✓ Accessors → StructArraysExt
   2003.4 ms  ✓ Accessors → LinearAlgebraExt
  14518.8 ms  ✓ SparseArrays
   1920.8 ms  ✓ Optimisers → OptimisersAdaptExt
  12882.9 ms  ✓ Test
   2104.3 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2186.2 ms  ✓ SuiteSparse
   2301.6 ms  ✓ Statistics → SparseArraysExt
   2382.4 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   2472.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2481.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2584.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
