nice: cannot set niceness: Permission denied
Precompiling packages...
 128093.2 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 128 seconds
Precompiling packages...
   1426.8 ms  ✓ Reexport
   2233.7 ms  ✓ OpenLibm_jll
   2322.0 ms  ✓ InverseFunctions
   2775.8 ms  ✓ RealDot
   3261.8 ms  ✓ DefineSingletons
   3337.9 ms  ✓ DataValueInterfaces
   1878.2 ms  ✓ ConstructionBase
   3549.8 ms  ✓ AbstractFFTs
   3717.3 ms  ✓ DocStringExtensions
   3960.4 ms  ✓ Unicode
   2266.0 ms  ✓ IteratorInterfaceExtensions
   4454.3 ms  ✓ Statistics
   4593.9 ms  ✓ Serialization
   2245.5 ms  ✓ PrettyPrint
   4769.9 ms  ✓ OrderedCollections
   2313.6 ms  ✓ StatsAPI
   2560.5 ms  ✓ DataAPI
   5822.9 ms  ✓ EnzymeCore
   2201.1 ms  ✓ CompilerSupportLibraries_jll
   2119.0 ms  ✓ CompositionsBase
   2484.7 ms  ✓ Mmap
   2619.7 ms  ✓ SuiteSparse_jll
   3874.3 ms  ✓ ArgCheck
   3377.2 ms  ✓ ProgressLogging
   7361.7 ms  ✓ FillArrays
   2639.9 ms  ✓ Future
   2679.9 ms  ✓ PtrArrays
   2483.8 ms  ✓ StaticArraysCore
   3018.1 ms  ✓ SciMLPublic
   9211.8 ms  ✓ IrrationalConstants
   2671.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1237.7 ms  ✓ TableTraits
   2940.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3272.1 ms  ✓ NaNMath
   2414.7 ms  ✓ Compat
   4352.9 ms  ✓ HashArrayMappedTries
   4569.0 ms  ✓ Requires
   1715.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2841.8 ms  ✓ Missings
   2438.7 ms  ✓ DelimitedFiles
   3168.6 ms  ✓ NameResolution
   7579.3 ms  ✓ InitialValues
   5061.3 ms  ✓ Preferences
   2596.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2660.9 ms  ✓ AliasTables
   8605.0 ms  ✓ Baselet
   2308.4 ms  ✓ ScopedValues
   2782.9 ms  ✓ DiffResults
  12464.9 ms  ✓ ShowCases
   2982.0 ms  ✓ LogExpFunctions
   2932.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2878.4 ms  ✓ Adapt
   2612.1 ms  ✓ PrecompileTools
  10543.9 ms  ✓ InteractiveUtils
  15379.0 ms  ✓ UnsafeAtomics
   5776.9 ms  ✓ Tables
   3273.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3551.9 ms  ✓ ContextVariablesX
   4456.2 ms  ✓ JLLWrappers
  15552.6 ms  ✓ MacroTools
   3448.9 ms  ✓ EnzymeCore → AdaptExt
  10852.4 ms  ✓ DataStructures
   4744.3 ms  ✓ Functors
   3293.2 ms  ✓ Atomix
   4824.6 ms  ✓ GPUArraysCore
   3654.3 ms  ✓ StructArrays
   2873.8 ms  ✓ FLoopsBase
   3368.7 ms  ✓ CommonSubexpressions
  14344.3 ms  ✓ Distributed
   3333.8 ms  ✓ SortingAlgorithms
   4894.2 ms  ✓ OpenSpecFun_jll
   4115.4 ms  ✓ SimpleTraits
   2789.4 ms  ✓ StructArrays → StructArraysAdaptExt
   2848.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   9304.3 ms  ✓ ChainRulesCore
   4880.2 ms  ✓ MLDataDevices
   6606.4 ms  ✓ Setfield
   2652.7 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   1814.5 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   3251.9 ms  ✓ ZygoteRules
   2063.7 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
  10219.5 ms  ✓ IRTools
   6505.5 ms  ✓ Optimisers
   6686.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   7205.0 ms  ✓ MLCore
  12977.1 ms  ✓ Accessors
  22280.1 ms  ✓ SparseArrays
   2108.9 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2178.4 ms  ✓ Optimisers → OptimisersAdaptExt
   2235.8 ms  ✓ Accessors → LinearAlgebraExt
   2853.2 ms  ✓ Accessors → StructArraysExt
   3411.9 ms  ✓ Statistics → SparseArraysExt
   3608.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3643.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3678.6 ms  ✓ SuiteSparse
   3859.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
  20011.8 ms  ✓ Test
   4113.9 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   4354.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3774.7 ms  ✓ BangBang
  14568.5 ms  ✓ SpecialFunctions
   2301.8 ms  ✓ Accessors → TestExt
   2678.1 ms  ✓ SparseInverseSubset
   2978.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2086.4 ms  ✓ BangBang → BangBangChainRulesCoreExt
   2313.6 ms  ✓ MicroCollections
   2454.0 ms  ✓ BangBang → BangBangStructArraysExt
