nice: cannot set niceness: Permission denied
Precompiling packages...
   2222.6 ms  ✓ DefineSingletons
   2067.7 ms  ✓ RealDot
   2019.1 ms  ✓ Reexport
   2180.0 ms  ✓ DelimitedFiles
   2278.7 ms  ✓ DataValueInterfaces
   2312.0 ms  ✓ Requires
   2463.2 ms  ✓ AbstractFFTs
   2851.4 ms  ✓ OpenLibm_jll
   3080.5 ms  ✓ InverseFunctions
   3385.8 ms  ✓ OrderedCollections
   3277.6 ms  ✓ DocStringExtensions
   3295.6 ms  ✓ EnzymeCore
   3417.1 ms  ✓ Compat
   1628.0 ms  ✓ IteratorInterfaceExtensions
   1713.2 ms  ✓ PrettyPrint
   1969.8 ms  ✓ ArgCheck
   2403.4 ms  ✓ StatsAPI
   2631.2 ms  ✓ DataAPI
   2993.5 ms  ✓ ConstructionBase
   5075.6 ms  ✓ FillArrays
   2056.0 ms  ✓ CompilerSupportLibraries_jll
   1867.3 ms  ✓ CompositionsBase
   5267.1 ms  ✓ IrrationalConstants
   2629.5 ms  ✓ ShowCases
   2343.1 ms  ✓ ProgressLogging
   2519.3 ms  ✓ SuiteSparse_jll
   1590.2 ms  ✓ SciMLPublic
   2846.6 ms  ✓ PtrArrays
   2145.5 ms  ✓ HashArrayMappedTries
   2247.2 ms  ✓ StaticArraysCore
   2011.5 ms  ✓ NaNMath
   2086.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3007.6 ms  ✓ Adapt
   3331.5 ms  ✓ Preferences
   2094.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2161.7 ms  ✓ TableTraits
   2283.6 ms  ✓ NameResolution
   2130.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4843.2 ms  ✓ InitialValues
   2622.5 ms  ✓ Missings
   5537.9 ms  ✓ Baselet
   2379.8 ms  ✓ AliasTables
   2488.6 ms  ✓ ScopedValues
   1994.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3638.5 ms  ✓ LogExpFunctions
   2603.1 ms  ✓ DiffResults
   9823.4 ms  ✓ UnsafeAtomics
   8717.2 ms  ✓ Distributed
   2324.1 ms  ✓ PrecompileTools
   2519.9 ms  ✓ EnzymeCore → AdaptExt
   2698.2 ms  ✓ GPUArraysCore
   2135.6 ms  ✓ JLLWrappers
   2222.7 ms  ✓ ContextVariablesX
   2472.6 ms  ✓ Functors
  10398.8 ms  ✓ MacroTools
   8275.8 ms  ✓ DataStructures
   2802.2 ms  ✓ Atomix
   3373.4 ms  ✓ Tables
   2987.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2307.6 ms  ✓ OpenSpecFun_jll
   2377.4 ms  ✓ FLoopsBase
   2405.9 ms  ✓ CommonSubexpressions
   5914.1 ms  ✓ ChainRulesCore
   2593.0 ms  ✓ SortingAlgorithms
   3720.6 ms  ✓ MLDataDevices
   3007.3 ms  ✓ StructArrays
  14316.3 ms  ✓ Test
   5006.5 ms  ✓ SimpleTraits
   5305.6 ms  ✓ Setfield
   2931.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2393.6 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2493.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   2979.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   2881.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4299.6 ms  ✓ ZygoteRules
   5015.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   8279.2 ms  ✓ IRTools
   3294.5 ms  ✓ MLCore
   8296.7 ms  ✓ Accessors
   4302.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1611.7 ms  ✓ StructArrays → StructArraysAdaptExt
   3305.2 ms  ✓ SplittablesBase
  14432.0 ms  ✓ SparseArrays
   1328.5 ms  ✓ Accessors → LinearAlgebraExt
   1785.7 ms  ✓ SuiteSparse
   1783.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1856.9 ms  ✓ Adapt → AdaptSparseArraysExt
   1968.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2060.5 ms  ✓ StructArrays → StructArraysSparseArraysExt
   2299.3 ms  ✓ Statistics
  10077.0 ms  ✓ SpecialFunctions
   2112.9 ms  ✓ Accessors → TestExt
   2204.4 ms  ✓ Accessors → StructArraysExt
   1653.0 ms  ✓ SparseInverseSubset
   2597.7 ms  ✓ BangBang
   1805.1 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   2168.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   1945.1 ms  ✓ DiffRules
   1790.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1737.7 ms  ✓ BangBang → BangBangTablesExt
   2025.3 ms  ✓ MicroCollections
   3419.0 ms  ✓ Optimisers
   1679.3 ms  ✓ BangBang → BangBangStructArraysExt
   1328.9 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1385.4 ms  ✓ Optimisers → OptimisersAdaptExt
   4738.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   5336.5 ms  ✓ StatsBase
  20101.8 ms  ✓ StaticArrays
   1287.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1293.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   5185.5 ms  ✓ Transducers
   1392.7 ms  ✓ Adapt → AdaptStaticArraysExt
   1898.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   7373.0 ms  ✓ ForwardDiff
   1538.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   1587.9 ms  ✓ Accessors → StaticArraysExt
   1498.1 ms  ✓ Transducers → TransducersAdaptExt
   1056.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    871.8 ms  ✓ BangBang → BangBangStaticArraysExt
   9965.0 ms  ✓ ChainRules
    652.8 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   4303.1 ms  ✓ KernelAbstractions
   1712.0 ms  ✓ KernelAbstractions → LinearAlgebraExt
   2424.4 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
   2508.0 ms  ✓ KernelAbstractions → EnzymeExt
   2587.4 ms  ✓ KernelAbstractions → SparseArraysExt
  42757.5 ms  ✓ MLStyle
   2301.6 ms  ✓ JuliaVariables
   4720.9 ms  ✓ NNlib
   1160.9 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   1349.5 ms  ✓ OneHotArrays
   1686.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
   3755.8 ms  ✓ FLoops
    945.6 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   1218.3 ms  ✓ NNlib → NNlibForwardDiffExt
   4995.6 ms  ✓ MLUtils
   1351.1 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  31787.3 ms  ✓ Zygote
   1113.1 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   5620.7 ms  ✓ Flux
  140 dependencies successfully precompiled in 76 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 235.85
	System time (seconds): 27.76
	Percent of CPU this job got: 343%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:16.81
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 951000
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 269
	Minor (reclaiming a frame) page faults: 5918409
	Voluntary context switches: 157494
	Involuntary context switches: 108220
	Swaps: 0
	File system inputs: 5760
	File system outputs: 450192
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
