nice: cannot set niceness: Permission denied
Precompiling packages...
 102489.1 ms  ✓ Pkg (serial)
  1 dependency successfully precompiled in 103 seconds
Precompiling packages...
   2136.6 ms  ✓ DefineSingletons
   2183.7 ms  ✓ DataValueInterfaces
   2245.4 ms  ✓ RealDot
   2368.0 ms  ✓ Unicode
   2539.2 ms  ✓ OpenLibm_jll
   2806.7 ms  ✓ InverseFunctions
   3087.6 ms  ✓ EnzymeCore
   3338.1 ms  ✓ Reexport
   3458.5 ms  ✓ Serialization
   4314.9 ms  ✓ AbstractFFTs
   4432.4 ms  ✓ Statistics
   4690.3 ms  ✓ DocStringExtensions
   2578.5 ms  ✓ IteratorInterfaceExtensions
   2298.8 ms  ✓ DataAPI
   2387.3 ms  ✓ StatsAPI
   2720.5 ms  ✓ ArgCheck
   3694.4 ms  ✓ PrettyPrint
   6591.2 ms  ✓ FillArrays
   2541.8 ms  ✓ ProgressLogging
   3604.6 ms  ✓ CompilerSupportLibraries_jll
   2615.7 ms  ✓ CompositionsBase
   2889.6 ms  ✓ Mmap
   2618.1 ms  ✓ Future
   3692.5 ms  ✓ SuiteSparse_jll
   3580.8 ms  ✓ ADTypes
   3701.3 ms  ✓ PtrArrays
   2905.2 ms  ✓ SciMLPublic
   2763.7 ms  ✓ StaticArraysCore
  10166.2 ms  ✓ OrderedCollections
   3657.0 ms  ✓ HashArrayMappedTries
   2322.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10136.5 ms  ✓ ConstructionBase
   9702.0 ms  ✓ ShowCases
   6656.9 ms  ✓ InitialValues
  11408.9 ms  ✓ UnsafeAtomics
  14003.2 ms  ✓ IrrationalConstants
   4723.2 ms  ✓ Preferences
   2463.9 ms  ✓ NameResolution
   4035.0 ms  ✓ TableTraits
   7096.6 ms  ✓ Requires
   2297.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2989.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   8915.1 ms  ✓ Baselet
   2802.1 ms  ✓ DelimitedFiles
   2684.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2938.5 ms  ✓ AliasTables
   9200.9 ms  ✓ Compat
   3303.4 ms  ✓ DiffResults
   3331.5 ms  ✓ ScopedValues
   2416.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9255.7 ms  ✓ NaNMath
   3005.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3281.0 ms  ✓ Atomix
   2676.4 ms  ✓ PrecompileTools
   3404.0 ms  ✓ LogExpFunctions
   8711.3 ms  ✓ Missings
   2154.8 ms  ✓ Adapt
   3023.2 ms  ✓ JLLWrappers
   2865.5 ms  ✓ Compat → CompatLinearAlgebraExt
  14400.7 ms  ✓ InteractiveUtils
   2213.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1800.7 ms  ✓ EnzymeCore → AdaptExt
   8314.5 ms  ✓ DataStructures
  19467.1 ms  ✓ MacroTools
   3554.8 ms  ✓ GPUArraysCore
   3291.7 ms  ✓ OpenSpecFun_jll
   3533.1 ms  ✓ ContextVariablesX
   2916.4 ms  ✓ SortingAlgorithms
  17521.8 ms  ✓ Distributed
   2874.8 ms  ✓ FLoopsBase
   4174.0 ms  ✓ CommonSubexpressions
   4481.5 ms  ✓ SimpleTraits
  10996.8 ms  ✓ Tables
