nice: cannot set niceness: Permission denied
Precompiling packages...
   1830.7 ms  ✓ Reexport
   1913.9 ms  ✓ RealDot
   1942.8 ms  ✓ DataValueInterfaces
   2094.5 ms  ✓ DefineSingletons
   2053.4 ms  ✓ OpenLibm_jll
   2258.2 ms  ✓ DelimitedFiles
   2342.6 ms  ✓ Requires
   2408.8 ms  ✓ InverseFunctions
   2729.7 ms  ✓ DocStringExtensions
   2761.7 ms  ✓ AbstractFFTs
   2868.8 ms  ✓ Compat
   3161.4 ms  ✓ OrderedCollections
   3427.7 ms  ✓ EnzymeCore
   1741.7 ms  ✓ IteratorInterfaceExtensions
   2010.1 ms  ✓ PrettyPrint
   2101.6 ms  ✓ DataAPI
   2336.8 ms  ✓ ConstructionBase
   2014.3 ms  ✓ StatsAPI
   2205.0 ms  ✓ ArgCheck
   4649.5 ms  ✓ FillArrays
   1999.7 ms  ✓ CompilerSupportLibraries_jll
   2640.4 ms  ✓ ShowCases
   2394.5 ms  ✓ ProgressLogging
   1993.6 ms  ✓ CompositionsBase
   2397.4 ms  ✓ SuiteSparse_jll
   5807.1 ms  ✓ IrrationalConstants
   1996.1 ms  ✓ PtrArrays
   2194.5 ms  ✓ SciMLPublic
   2096.1 ms  ✓ HashArrayMappedTries
   2285.8 ms  ✓ StaticArraysCore
   2299.7 ms  ✓ NaNMath
   1999.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2109.1 ms  ✓ Adapt
   1815.3 ms  ✓ Compat → CompatLinearAlgebraExt
   3200.2 ms  ✓ Preferences
   3994.0 ms  ✓ InitialValues
   1797.5 ms  ✓ TableTraits
   2300.3 ms  ✓ NameResolution
   2297.3 ms  ✓ Missings
   1992.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5204.4 ms  ✓ Baselet
   1910.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2757.8 ms  ✓ AliasTables
   2453.2 ms  ✓ ScopedValues
   2203.2 ms  ✓ DiffResults
   3092.9 ms  ✓ LogExpFunctions
   1899.2 ms  ✓ EnzymeCore → AdaptExt
   2116.5 ms  ✓ GPUArraysCore
   8336.3 ms  ✓ Distributed
   9319.2 ms  ✓ UnsafeAtomics
   2198.7 ms  ✓ ContextVariablesX
   1889.6 ms  ✓ PrecompileTools
   2099.3 ms  ✓ JLLWrappers
   1992.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9196.9 ms  ✓ MacroTools
   2709.7 ms  ✓ Functors
   2002.9 ms  ✓ FLoopsBase
   2392.2 ms  ✓ Atomix
   7589.3 ms  ✓ DataStructures
   3519.6 ms  ✓ Tables
   2533.3 ms  ✓ OpenSpecFun_jll
   2804.2 ms  ✓ CommonSubexpressions
   5501.1 ms  ✓ ChainRulesCore
   2213.1 ms  ✓ SortingAlgorithms
   3190.7 ms  ✓ SimpleTraits
  12360.1 ms  ✓ Test
   3397.6 ms  ✓ MLDataDevices
   3493.6 ms  ✓ StructArrays
   4900.6 ms  ✓ Setfield
   2132.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2239.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2190.5 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2594.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   3486.0 ms  ✓ ZygoteRules
   1915.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3610.5 ms  ✓ MLCore
   7097.6 ms  ✓ IRTools
   4422.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3935.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7485.7 ms  ✓ Accessors
   2588.4 ms  ✓ SplittablesBase
  12863.0 ms  ✓ SparseArrays
   1187.6 ms  ✓ StructArrays → StructArraysAdaptExt
    969.7 ms  ✓ Accessors → LinearAlgebraExt
   1096.5 ms  ✓ SuiteSparse
   1409.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1411.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1505.9 ms  ✓ Adapt → AdaptSparseArraysExt
   1643.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1759.7 ms  ✓ Statistics
   1409.8 ms  ✓ Accessors → TestExt
   1412.4 ms  ✓ Accessors → StructArraysExt
   1351.2 ms  ✓ SparseInverseSubset
   1747.3 ms  ✓ BangBang
   8212.8 ms  ✓ SpecialFunctions
   1405.6 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   1565.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   1206.1 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1285.6 ms  ✓ BangBang → BangBangTablesExt
   1290.3 ms  ✓ DiffRules
   1602.3 ms  ✓ MicroCollections
   2558.0 ms  ✓ Optimisers
   1004.7 ms  ✓ BangBang → BangBangStructArraysExt
    884.0 ms  ✓ Optimisers → OptimisersAdaptExt
    977.3 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2700.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3767.6 ms  ✓ StatsBase
   2778.0 ms  ✓ Transducers
  15995.2 ms  ✓ StaticArrays
    994.7 ms  ✓ Transducers → TransducersAdaptExt
   4331.4 ms  ✓ ForwardDiff
    864.5 ms  ✓ Adapt → AdaptStaticArraysExt
    919.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1018.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1101.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    768.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    653.3 ms  ✓ StructArrays → StructArraysStaticArraysExt
    677.9 ms  ✓ Accessors → StaticArraysExt
   7042.4 ms  ✓ ChainRules
    567.0 ms  ✓ BangBang → BangBangStaticArraysExt
    608.4 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   4435.0 ms  ✓ KernelAbstractions
    712.8 ms  ✓ KernelAbstractions → LinearAlgebraExt
  34228.3 ms  ✓ MLStyle
    557.6 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    569.4 ms  ✓ KernelAbstractions → EnzymeExt
    627.2 ms  ✓ KernelAbstractions → SparseArraysExt
   1559.1 ms  ✓ JuliaVariables
   2004.0 ms  ✓ FLoops
   3166.4 ms  ✓ NNlib
    721.5 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    828.8 ms  ✓ OneHotArrays
    899.7 ms  ✓ NNlib → NNlibEnzymeCoreExt
    697.4 ms  ✓ NNlib → NNlibForwardDiffExt
    662.9 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   3578.2 ms  ✓ MLUtils
    946.1 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  21079.3 ms  ✓ Zygote
    784.5 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
