nice: cannot set niceness: Permission denied
Precompiling packages...
   2175.9 ms  ✓ DefineSingletons
   2035.3 ms  ✓ DataValueInterfaces
   2036.2 ms  ✓ RealDot
   2008.2 ms  ✓ Reexport
   2034.0 ms  ✓ OpenLibm_jll
   2235.9 ms  ✓ DelimitedFiles
   2336.3 ms  ✓ InverseFunctions
   2437.6 ms  ✓ Requires
   2715.9 ms  ✓ DocStringExtensions
   2850.0 ms  ✓ Compat
   2942.3 ms  ✓ OrderedCollections
   2943.8 ms  ✓ AbstractFFTs
   3312.0 ms  ✓ EnzymeCore
   1606.4 ms  ✓ IteratorInterfaceExtensions
   2101.3 ms  ✓ PrettyPrint
   2002.8 ms  ✓ ArgCheck
   2207.5 ms  ✓ DataAPI
   2302.2 ms  ✓ ConstructionBase
   4497.5 ms  ✓ FillArrays
   2203.6 ms  ✓ StatsAPI
   2091.4 ms  ✓ CompilerSupportLibraries_jll
   2503.0 ms  ✓ ShowCases
   2337.2 ms  ✓ SuiteSparse_jll
   2491.3 ms  ✓ ProgressLogging
   1996.3 ms  ✓ CompositionsBase
   6087.6 ms  ✓ IrrationalConstants
   1808.2 ms  ✓ SciMLPublic
   1997.2 ms  ✓ PtrArrays
   2095.0 ms  ✓ HashArrayMappedTries
   2242.6 ms  ✓ StaticArraysCore
   2002.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2193.9 ms  ✓ Adapt
   2302.2 ms  ✓ NaNMath
   3585.4 ms  ✓ InitialValues
   3093.2 ms  ✓ Preferences
   1713.2 ms  ✓ TableTraits
   1920.1 ms  ✓ Compat → CompatLinearAlgebraExt
   1997.0 ms  ✓ NameResolution
   2300.6 ms  ✓ Missings
   2251.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5195.4 ms  ✓ Baselet
   2210.7 ms  ✓ ScopedValues
   2241.1 ms  ✓ DiffResults
   2488.2 ms  ✓ AliasTables
   2395.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3005.2 ms  ✓ LogExpFunctions
   8858.3 ms  ✓ UnsafeAtomics
   2259.9 ms  ✓ GPUArraysCore
   8006.1 ms  ✓ Distributed
   1957.0 ms  ✓ EnzymeCore → AdaptExt
   2029.2 ms  ✓ PrecompileTools
   1911.2 ms  ✓ JLLWrappers
   1895.7 ms  ✓ ContextVariablesX
   1788.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8904.3 ms  ✓ MacroTools
   2130.0 ms  ✓ Atomix
   2699.3 ms  ✓ Functors
   3292.8 ms  ✓ Tables
   7373.3 ms  ✓ DataStructures
   1896.0 ms  ✓ FLoopsBase
   2090.9 ms  ✓ OpenSpecFun_jll
   2282.3 ms  ✓ CommonSubexpressions
   3074.0 ms  ✓ SimpleTraits
   2211.5 ms  ✓ SortingAlgorithms
   5509.4 ms  ✓ ChainRulesCore
   3157.6 ms  ✓ MLDataDevices
  12298.6 ms  ✓ Test
   3456.5 ms  ✓ StructArrays
   2091.6 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5668.7 ms  ✓ Setfield
   2014.9 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2302.1 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   2400.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2034.3 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3609.5 ms  ✓ MLCore
   3502.8 ms  ✓ ZygoteRules
   6883.0 ms  ✓ IRTools
   7328.6 ms  ✓ Accessors
   4215.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1198.4 ms  ✓ StructArrays → StructArraysAdaptExt
   3721.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2048.0 ms  ✓ SplittablesBase
  12823.2 ms  ✓ SparseArrays
    992.4 ms  ✓ Accessors → LinearAlgebraExt
   1184.4 ms  ✓ SuiteSparse
