nice: cannot set niceness: Permission denied
Precompiling packages...
   1976.9 ms  ✓ DefineSingletons
   1834.9 ms  ✓ DataValueInterfaces
   1831.0 ms  ✓ Reexport
   1908.6 ms  ✓ RealDot
   2118.0 ms  ✓ OpenLibm_jll
   2313.4 ms  ✓ DelimitedFiles
   2332.6 ms  ✓ Requires
   2385.5 ms  ✓ InverseFunctions
   2724.1 ms  ✓ AbstractFFTs
   2799.6 ms  ✓ DocStringExtensions
   2910.8 ms  ✓ Compat
   3031.9 ms  ✓ OrderedCollections
   3209.5 ms  ✓ EnzymeCore
   1724.2 ms  ✓ IteratorInterfaceExtensions
   1914.6 ms  ✓ PrettyPrint
   2273.6 ms  ✓ ConstructionBase
   2188.3 ms  ✓ DataAPI
   2115.5 ms  ✓ ArgCheck
   2097.3 ms  ✓ StatsAPI
   4533.4 ms  ✓ FillArrays
   2311.6 ms  ✓ ShowCases
   2179.4 ms  ✓ CompilerSupportLibraries_jll
   2096.6 ms  ✓ CompositionsBase
   2602.1 ms  ✓ ProgressLogging
   2698.8 ms  ✓ SuiteSparse_jll
   5874.4 ms  ✓ IrrationalConstants
   1901.9 ms  ✓ PtrArrays
   1876.4 ms  ✓ SciMLPublic
   1990.2 ms  ✓ HashArrayMappedTries
   2799.4 ms  ✓ ADTypes
   2375.7 ms  ✓ StaticArraysCore
   1723.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2201.0 ms  ✓ NaNMath
   2084.2 ms  ✓ Adapt
   1901.3 ms  ✓ Compat → CompatLinearAlgebraExt
   3696.9 ms  ✓ InitialValues
   3231.5 ms  ✓ Preferences
   1820.9 ms  ✓ TableTraits
   1921.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2015.8 ms  ✓ NameResolution
   2575.4 ms  ✓ Missings
   2093.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2218.4 ms  ✓ AliasTables
   2394.6 ms  ✓ ScopedValues
   5200.2 ms  ✓ Baselet
