nice: cannot set niceness: Permission denied
Precompiling packages...
   2127.1 ms  ✓ DefineSingletons
   1965.1 ms  ✓ DataValueInterfaces
   1964.2 ms  ✓ RealDot
   1964.2 ms  ✓ Reexport
   2161.0 ms  ✓ OpenLibm_jll
   2438.0 ms  ✓ DelimitedFiles
   2459.2 ms  ✓ Requires
   2514.8 ms  ✓ InverseFunctions
   2844.8 ms  ✓ Compat
   2933.6 ms  ✓ DocStringExtensions
   2972.8 ms  ✓ OrderedCollections
   3055.7 ms  ✓ AbstractFFTs
   3350.8 ms  ✓ EnzymeCore
   1900.5 ms  ✓ IteratorInterfaceExtensions
   2005.9 ms  ✓ PrettyPrint
   2100.6 ms  ✓ DataAPI
   1919.9 ms  ✓ ArgCheck
   2396.9 ms  ✓ ConstructionBase
   2111.3 ms  ✓ StatsAPI
   2320.3 ms  ✓ ShowCases
   4866.0 ms  ✓ FillArrays
   2228.0 ms  ✓ CompilerSupportLibraries_jll
   2401.8 ms  ✓ ProgressLogging
   2396.7 ms  ✓ SuiteSparse_jll
   2179.4 ms  ✓ CompositionsBase
   6010.2 ms  ✓ IrrationalConstants
   1905.7 ms  ✓ PtrArrays
   1800.9 ms  ✓ SciMLPublic
   2014.4 ms  ✓ StaticArraysCore
   2098.5 ms  ✓ HashArrayMappedTries
   2888.6 ms  ✓ ADTypes
   1981.1 ms  ✓ NaNMath
   2006.1 ms  ✓ Adapt
   3696.7 ms  ✓ InitialValues
   1799.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2102.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3272.5 ms  ✓ Preferences
   1924.1 ms  ✓ TableTraits
   2190.3 ms  ✓ NameResolution
   2209.7 ms  ✓ Missings
   2232.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4807.2 ms  ✓ Baselet
   2304.2 ms  ✓ DiffResults
   2608.1 ms  ✓ AliasTables
   2427.8 ms  ✓ ScopedValues
   2196.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3105.5 ms  ✓ LogExpFunctions
   9366.9 ms  ✓ UnsafeAtomics
   8406.4 ms  ✓ Distributed
   2088.3 ms  ✓ EnzymeCore → AdaptExt
   2371.8 ms  ✓ GPUArraysCore
   2095.6 ms  ✓ ContextVariablesX
   2509.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2386.5 ms  ✓ PrecompileTools
   2403.0 ms  ✓ JLLWrappers
   1997.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1959.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9601.6 ms  ✓ MacroTools
   1892.2 ms  ✓ FLoopsBase
   2212.7 ms  ✓ Atomix
   2574.8 ms  ✓ Functors
   8194.7 ms  ✓ DataStructures
   3519.5 ms  ✓ Tables
   2396.6 ms  ✓ OpenSpecFun_jll
   2202.5 ms  ✓ CommonSubexpressions
  12201.7 ms  ✓ Test
   3091.0 ms  ✓ SimpleTraits
   6465.7 ms  ✓ ChainRulesCore
   2508.4 ms  ✓ SortingAlgorithms
   3717.0 ms  ✓ MLDataDevices
   2230.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4998.0 ms  ✓ Setfield
   4077.9 ms  ✓ StructArrays
   2021.9 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2182.0 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2090.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3606.0 ms  ✓ MLCore
   6801.7 ms  ✓ IRTools
   3724.7 ms  ✓ ZygoteRules
   2004.7 ms  ✓ MLDataDevices → ChainRulesCoreExt
   2023.6 ms  ✓ MLDataDevices → FillArraysExt
   1985.0 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4501.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7576.5 ms  ✓ Accessors
  13614.3 ms  ✓ SparseArrays
   2808.8 ms  ✓ SplittablesBase
   1203.1 ms  ✓ StructArrays → StructArraysAdaptExt
   4406.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1120.5 ms  ✓ Accessors → LinearAlgebraExt
   1579.5 ms  ✓ Adapt → AdaptSparseArraysExt
   1762.9 ms  ✓ SuiteSparse
   1779.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1877.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1900.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2076.9 ms  ✓ Statistics
   1465.4 ms  ✓ Accessors → TestExt
   1490.0 ms  ✓ Accessors → StructArraysExt
   8287.8 ms  ✓ SpecialFunctions
   1276.8 ms  ✓ MLDataDevices → SparseArraysExt
   1221.7 ms  ✓ SparseInverseSubset
   1990.7 ms  ✓ BangBang
   1408.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   1401.4 ms  ✓ DiffRules
   1212.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1389.9 ms  ✓ BangBang → BangBangTablesExt
   2325.9 ms  ✓ Optimisers
   1572.4 ms  ✓ MicroCollections
    890.1 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   1106.2 ms  ✓ BangBang → BangBangStructArraysExt
   1106.2 ms  ✓ Optimisers → OptimisersAdaptExt
   2932.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3815.8 ms  ✓ StatsBase
   2733.7 ms  ✓ Transducers
  15986.4 ms  ✓ StaticArrays
   1101.3 ms  ✓ Transducers → TransducersAdaptExt
   4796.7 ms  ✓ ForwardDiff
   1113.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1211.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1208.7 ms  ✓ Adapt → AdaptStaticArraysExt
   1224.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
   1412.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    847.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    749.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
    807.5 ms  ✓ Accessors → StaticArraysExt
   6998.6 ms  ✓ ChainRules
    535.7 ms  ✓ BangBang → BangBangStaticArraysExt
    885.4 ms  ✓ MLDataDevices → ChainRulesExt
   4708.0 ms  ✓ KernelAbstractions
  35332.5 ms  ✓ MLStyle
    530.1 ms  ✓ KernelAbstractions → LinearAlgebraExt
