nice: cannot set niceness: Permission denied
Precompiling packages...
   2076.8 ms  ✓ DefineSingletons
   1970.2 ms  ✓ RealDot
   1971.9 ms  ✓ DataValueInterfaces
   1991.2 ms  ✓ Reexport
   2116.4 ms  ✓ OpenLibm_jll
   2219.9 ms  ✓ DelimitedFiles
   2335.5 ms  ✓ Requires
   2415.1 ms  ✓ InverseFunctions
   2822.3 ms  ✓ AbstractFFTs
   2835.6 ms  ✓ Compat
   2920.9 ms  ✓ OrderedCollections
   2986.0 ms  ✓ DocStringExtensions
   3248.1 ms  ✓ EnzymeCore
   1817.3 ms  ✓ IteratorInterfaceExtensions
   2010.1 ms  ✓ PrettyPrint
   2261.5 ms  ✓ ConstructionBase
   2195.5 ms  ✓ DataAPI
   2111.1 ms  ✓ ArgCheck
   2139.7 ms  ✓ StatsAPI
   4533.1 ms  ✓ FillArrays
   2394.7 ms  ✓ ShowCases
   2298.2 ms  ✓ CompilerSupportLibraries_jll
   2295.5 ms  ✓ ProgressLogging
   2408.2 ms  ✓ SuiteSparse_jll
   2245.5 ms  ✓ CompositionsBase
   5696.3 ms  ✓ IrrationalConstants
   1989.9 ms  ✓ PtrArrays
   1897.3 ms  ✓ SciMLPublic
   1986.5 ms  ✓ HashArrayMappedTries
   2236.2 ms  ✓ StaticArraysCore
   1903.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2093.3 ms  ✓ Adapt
   1804.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2484.9 ms  ✓ NaNMath
   1601.4 ms  ✓ TableTraits
   3212.1 ms  ✓ Preferences
   3814.5 ms  ✓ InitialValues
   1909.2 ms  ✓ NameResolution
   1922.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2511.8 ms  ✓ Missings
   2410.9 ms  ✓ AliasTables
   2081.6 ms  ✓ DiffResults
   2294.5 ms  ✓ ScopedValues
   2292.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5310.0 ms  ✓ Baselet
   2103.7 ms  ✓ GPUArraysCore
   1978.9 ms  ✓ EnzymeCore → AdaptExt
   3092.4 ms  ✓ LogExpFunctions
   7852.1 ms  ✓ Distributed
   8811.8 ms  ✓ UnsafeAtomics
   1601.4 ms  ✓ ContextVariablesX
   1798.8 ms  ✓ PrecompileTools
   1606.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1899.5 ms  ✓ JLLWrappers
   1888.9 ms  ✓ Atomix
   8886.4 ms  ✓ MacroTools
   2292.5 ms  ✓ Functors
   1778.5 ms  ✓ FLoopsBase
   7106.8 ms  ✓ DataStructures
   3313.8 ms  ✓ Tables
   2602.5 ms  ✓ OpenSpecFun_jll
   2187.6 ms  ✓ SortingAlgorithms
   2903.8 ms  ✓ CommonSubexpressions
   3008.1 ms  ✓ SimpleTraits
   3012.7 ms  ✓ MLDataDevices
   5796.8 ms  ✓ ChainRulesCore
  12391.4 ms  ✓ Test
   3909.6 ms  ✓ StructArrays
   4897.8 ms  ✓ Setfield
   1811.4 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   2389.0 ms  ✓ MLDataDevices → MLDataDevicesFillArraysExt
   2393.5 ms  ✓ MLDataDevices → MLDataDevicesChainRulesCoreExt
   2005.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   3307.8 ms  ✓ MLCore
   1706.6 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   6420.6 ms  ✓ IRTools
   3404.6 ms  ✓ ZygoteRules
   7148.1 ms  ✓ Accessors
   2405.3 ms  ✓ SplittablesBase
   3611.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
  12527.1 ms  ✓ SparseArrays
   4215.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1079.8 ms  ✓ StructArrays → StructArraysAdaptExt
   1045.4 ms  ✓ Accessors → LinearAlgebraExt
   1275.3 ms  ✓ Adapt → AdaptSparseArraysExt
   1475.2 ms  ✓ SuiteSparse
   1493.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   1591.1 ms  ✓ StructArrays → StructArraysSparseArraysExt
   1774.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1782.1 ms  ✓ Statistics
   1386.7 ms  ✓ Accessors → StructArraysExt
   1400.4 ms  ✓ Accessors → TestExt
   7608.3 ms  ✓ SpecialFunctions
   1098.3 ms  ✓ SparseInverseSubset
   1813.3 ms  ✓ BangBang
   1618.1 ms  ✓ MLDataDevices → MLDataDevicesSparseArraysExt
   1408.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   1210.2 ms  ✓ DiffRules
   1186.1 ms  ✓ BangBang → BangBangTablesExt
   1286.0 ms  ✓ BangBang → BangBangChainRulesCoreExt
   1498.1 ms  ✓ MicroCollections
   2611.6 ms  ✓ Optimisers
    995.4 ms  ✓ BangBang → BangBangStructArraysExt
    900.0 ms  ✓ Optimisers → OptimisersAdaptExt
    910.2 ms  ✓ Optimisers → OptimisersEnzymeCoreExt
   2982.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3747.2 ms  ✓ StatsBase
   2976.1 ms  ✓ Transducers
  15643.6 ms  ✓ StaticArrays
   1094.9 ms  ✓ Transducers → TransducersAdaptExt
   4682.1 ms  ✓ ForwardDiff
    964.7 ms  ✓ Adapt → AdaptStaticArraysExt
    975.4 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1101.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1170.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    760.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    659.5 ms  ✓ StructArrays → StructArraysStaticArraysExt
    672.4 ms  ✓ Accessors → StaticArraysExt
   7077.9 ms  ✓ ChainRules
    527.5 ms  ✓ BangBang → BangBangStaticArraysExt
    581.6 ms  ✓ MLDataDevices → MLDataDevicesChainRulesExt
   3690.7 ms  ✓ KernelAbstractions
   1414.2 ms  ✓ KernelAbstractions → LinearAlgebraExt
  34206.0 ms  ✓ MLStyle
    741.1 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    758.9 ms  ✓ KernelAbstractions → EnzymeExt
    840.2 ms  ✓ KernelAbstractions → SparseArraysExt
   1499.8 ms  ✓ JuliaVariables
   3111.3 ms  ✓ NNlib
   2070.6 ms  ✓ FLoops
    732.7 ms  ✓ NNlib → NNlibSpecialFunctionsExt
    842.7 ms  ✓ OneHotArrays
    915.0 ms  ✓ NNlib → NNlibEnzymeCoreExt
    711.0 ms  ✓ NNlib → NNlibForwardDiffExt
    649.4 ms  ✓ MLDataDevices → MLDataDevicesOneHotArraysExt
   3558.6 ms  ✓ MLUtils
    941.5 ms  ✓ MLDataDevices → MLDataDevicesMLUtilsExt
  20872.3 ms  ✓ Zygote
    786.7 ms  ✓ MLDataDevices → MLDataDevicesZygoteExt
   3746.4 ms  ✓ Flux
  140 dependencies successfully precompiled in 56 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 177.46
	System time (seconds): 24.74
	Percent of CPU this job got: 357%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:56.55
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 958840
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 319
	Minor (reclaiming a frame) page faults: 5968097
	Voluntary context switches: 172453
	Involuntary context switches: 50881
	Swaps: 0
	File system inputs: 152
	File system outputs: 449680
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
