nice: cannot set niceness: Permission denied
Precompiling packages...
    417.0 ms  ✓ CommonSolve
    428.0 ms  ✓ Reexport
    561.8 ms  ✓ ConstructionBase
    514.1 ms  ✓ StaticArraysCore
    593.7 ms  ✓ Statistics
   1346.4 ms  ✓ IrrationalConstants
    912.6 ms  ✓ SuiteSparse_jll
    461.8 ms  ✓ IfElse
    745.4 ms  ✓ EnzymeCore
    530.9 ms  ✓ ManualMemory
    439.9 ms  ✓ CommonWorldInvalidations
    461.2 ms  ✓ Future
    864.7 ms  ✓ SciMLPublic
    437.6 ms  ✓ FastPower
    449.4 ms  ✓ CompositionsBase
    528.9 ms  ✓ InverseFunctions
    461.1 ms  ✓ MuladdMacro
    499.1 ms  ✓ EnumX
    692.2 ms  ✓ OpenLibm_jll
   2180.6 ms  ✓ ExproniconLite
    496.7 ms  ✓ ExprTools
    477.0 ms  ✓ ConcreteStructs
   1119.5 ms  ✓ FillArrays
    677.1 ms  ✓ OrderedCollections
    779.5 ms  ✓ ADTypes
    782.8 ms  ✓ Serialization
    726.0 ms  ✓ DocStringExtensions
    550.4 ms  ✓ FastClosures
    529.3 ms  ✓ SIMDTypes
    514.7 ms  ✓ IteratorInterfaceExtensions
   5736.5 ms  ✓ MacroTools
    777.2 ms  ✓ Requires
    771.5 ms  ✓ CpuId
   1223.4 ms  ✓ GenericSchur
    552.7 ms  ✓ LoggingExtras
    596.7 ms  ✓ Compat
   1296.3 ms  ✓ InteractiveUtils
    560.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    547.2 ms  ✓ DiffResults
   3923.5 ms  ✓ FunctionWrappers
    990.2 ms  ✓ LazyArtifacts
    459.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    442.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    552.2 ms  ✓ NaNMath
   1239.6 ms  ✓ ThreadingUtilities
   2192.8 ms  ✓ Preferences
    504.2 ms  ✓ FillArrays → FillArraysStatisticsExt
    441.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    479.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1142.6 ms  ✓ DifferentiationInterface
   2032.0 ms  ✓ Jieko
    463.7 ms  ✓ RuntimeGeneratedFunctions
   1832.8 ms  ✓ DataStructures
    645.0 ms  ✓ CommonSubexpressions
    707.5 ms  ✓ LogExpFunctions
    527.3 ms  ✓ Compat → CompatLinearAlgebraExt
    589.6 ms  ✓ Adapt
   4015.7 ms  ✓ TimerOutputs
   2873.3 ms  ✓ Distributed
    548.6 ms  ✓ PrecompileTools
    563.0 ms  ✓ JLLWrappers
   1568.2 ms  ✓ Setfield
    637.4 ms  ✓ SciMLLogging
    608.8 ms  ✓ TruncatedStacktraces
    497.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    704.8 ms  ✓ ArrayInterface
   2725.6 ms  ✓ Accessors
    687.6 ms  ✓ GPUArraysCore
   4582.4 ms  ✓ SparseArrays
    454.8 ms  ✓ EnzymeCore → AdaptExt
    649.7 ms  ✓ OpenSpecFun_jll
   1985.2 ms  ✓ RecipesBase
   1175.2 ms  ✓ IntelOpenMP_jll
   1180.2 ms  ✓ oneTBB_jll
    555.5 ms  ✓ FastBroadcast
    416.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    729.9 ms  ✓ MaybeInplace
    655.5 ms  ✓ SciMLStructures
   4021.6 ms  ✓ FunctionWrappersWrappers
    585.3 ms  ✓ Accessors → LinearAlgebraExt
   1599.3 ms  ✓ PreallocationTools
    516.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    547.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    701.0 ms  ✓ Statistics → SparseArraysExt
    798.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
  10613.0 ms  ✓ Moshi
    640.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    675.2 ms  ✓ Adapt → AdaptSparseArraysExt
    685.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3000.3 ms  ✓ SpecialFunctions
   1399.5 ms  ✓ MKL_jll
  15206.4 ms  ✓ StaticArrays
   7992.6 ms  ✓ Krylov
    679.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    812.3 ms  ✓ FiniteDiff
   1432.3 ms  ✓ SymbolicIndexingInterface
   2093.9 ms  ✓ SciMLOperators
    907.7 ms  ✓ DiffRules
    880.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    891.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    908.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
  10084.4 ms  ✓ SparseMatrixColorings
    822.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    790.1 ms  ✓ Adapt → AdaptStaticArraysExt
    779.8 ms  ✓ Accessors → StaticArraysExt
    731.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    666.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    710.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1787.9 ms  ✓ FastGaussQuadrature
    543.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    857.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    923.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  23848.1 ms  ✓ Static
    730.9 ms  ✓ NLSolversBase
    473.9 ms  ✓ BitTwiddlingConvenienceFunctions
   1032.6 ms  ✓ CPUSummary
    616.7 ms  ✓ FastBroadcast → FastBroadcastStaticExt
   4260.3 ms  ✓ ForwardDiff
   5027.6 ms  ✓ RecursiveArrayTools
    829.8 ms  ✓ LineSearches
    696.2 ms  ✓ PolyesterWeave
    715.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    554.1 ms  ✓ FastPower → FastPowerForwardDiffExt
    664.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    762.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    580.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1278.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    557.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    577.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4982.3 ms  ✓ StaticArrayInterface
    504.1 ms  ✓ CloseOpenIntervals
    586.1 ms  ✓ LayoutPointers
    628.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    727.2 ms  ✓ StrideArraysCore
    590.4 ms  ✓ Polyester
    483.5 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
