nice: cannot set niceness: Permission denied
Precompiling packages...
   1691.2 ms  ✓ nghttp2_jll
   1700.4 ms  ✓ Zlib_jll
   1735.1 ms  ✓ OpenSSL_jll
   1712.8 ms  ✓ Logging
   1706.2 ms  ✓ MozillaCACerts_jll
   1730.9 ms  ✓ UUIDs
   1810.3 ms  ✓ Unicode
   1848.8 ms  ✓ CompilerSupportLibraries_jll
   1882.3 ms  ✓ NetworkOptions
   1902.1 ms  ✓ Base64
    534.7 ms  ✓ LibSSH2_jll
    582.9 ms  ✓ p7zip_jll
    696.0 ms  ✓ Printf
    496.5 ms  ✓ LibGit2_jll
    504.6 ms  ✓ LibCURL_jll
   3364.4 ms  ✓ ArgTools
    765.2 ms  ✓ LibCURL
    671.1 ms  ✓ Tar
   3049.9 ms  ✓ Dates
   3084.0 ms  ✓ LibGit2
    439.4 ms  ✓ TOML
   3099.6 ms  ✓ Downloads
   9492.1 ms  ✓ StyledStrings
   1727.1 ms  ✓ JuliaSyntaxHighlighting
   3882.6 ms  ✓ Markdown
  47232.6 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2484.0 ms  ✓ Reexport
   2591.5 ms  ✓ ConcreteStructs
   2604.1 ms  ✓ OpenLibm_jll
   2703.0 ms  ✓ MuladdMacro
   2786.8 ms  ✓ EnumX
   2769.8 ms  ✓ CommonSolve
   2889.3 ms  ✓ InverseFunctions
   2970.3 ms  ✓ ExprTools
   3780.7 ms  ✓ DocStringExtensions
   3888.6 ms  ✓ Statistics
   4005.5 ms  ✓ Serialization
   4095.9 ms  ✓ EnzymeCore
   2715.0 ms  ✓ IteratorInterfaceExtensions
   2899.7 ms  ✓ Adapt
   2788.7 ms  ✓ FastClosures
   2608.9 ms  ✓ CompositionsBase
   2414.7 ms  ✓ Future
   2614.7 ms  ✓ SafeTestsets
   3264.5 ms  ✓ SuiteSparse_jll
   3188.5 ms  ✓ StaticArraysCore
   3398.9 ms  ✓ SciMLPublic
   3897.4 ms  ✓ ADTypes
   2601.5 ms  ✓ FastPower
   3107.7 ms  ✓ LoggingExtras
   4391.4 ms  ✓ Preferences
   5984.1 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
  10284.9 ms  ✓ OrderedCollections
   3003.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10361.3 ms  ✓ ConstructionBase
   5475.5 ms  ✓ LazyArtifacts
