nice: cannot set niceness: Permission denied
Precompiling packages...
   1870.2 ms  ✓ ConcreteStructs
   1918.4 ms  ✓ CommonSolve
   1953.6 ms  ✓ LazyArtifacts
   1957.7 ms  ✓ IteratorInterfaceExtensions
   1960.2 ms  ✓ OpenLibm_jll
   2058.7 ms  ✓ ExprTools
   2067.9 ms  ✓ MuladdMacro
   2224.6 ms  ✓ CompilerSupportLibraries_jll
   2260.8 ms  ✓ InverseFunctions
   2301.2 ms  ✓ SuiteSparse_jll
   3056.1 ms  ✓ ADTypes
   3709.0 ms  ✓ FunctionWrappers
   1904.2 ms  ✓ ManualMemory
   1992.4 ms  ✓ EnumX
   1790.0 ms  ✓ SIMDTypes
   1891.2 ms  ✓ Reexport
   2308.3 ms  ✓ Requires
   4456.8 ms  ✓ FillArrays
   2694.6 ms  ✓ Compat
   4838.0 ms  ✓ GenericSchur
   2898.1 ms  ✓ OrderedCollections
   2594.4 ms  ✓ DocStringExtensions
   3089.3 ms  ✓ Preferences
   2198.4 ms  ✓ CompositionsBase
   1904.4 ms  ✓ FastPower
   1991.8 ms  ✓ IfElse
   1905.0 ms  ✓ CommonWorldInvalidations
   1894.4 ms  ✓ FastClosures
   1703.6 ms  ✓ SciMLPublic
   2293.8 ms  ✓ ConstructionBase
   3092.3 ms  ✓ CpuId
   2509.0 ms  ✓ StaticArraysCore
   2515.1 ms  ✓ NaNMath
   2715.5 ms  ✓ LoggingExtras
   3603.6 ms  ✓ EnzymeCore
   2295.3 ms  ✓ RuntimeGeneratedFunctions
   2106.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8259.3 ms  ✓ ExproniconLite
   8380.5 ms  ✓ Distributed
   5398.5 ms  ✓ IrrationalConstants
   2058.3 ms  ✓ FunctionWrappersWrappers
   2208.1 ms  ✓ Adapt
   2170.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2202.1 ms  ✓ PrecompileTools
   2398.0 ms  ✓ JLLWrappers
