nice: cannot set niceness: Permission denied
Precompiling packages...
   1936.0 ms  ✓ nghttp2_jll
   2053.5 ms  ✓ OpenSSL_jll
   2023.3 ms  ✓ CompilerSupportLibraries_jll
   2032.6 ms  ✓ UUIDs
   2057.2 ms  ✓ Logging
   2114.2 ms  ✓ MozillaCACerts_jll
   2110.0 ms  ✓ Unicode
   2104.0 ms  ✓ Zlib_jll
   2144.0 ms  ✓ Base64
   2165.5 ms  ✓ NetworkOptions
    644.5 ms  ✓ LibSSH2_jll
    734.6 ms  ✓ p7zip_jll
    783.4 ms  ✓ Printf
    579.7 ms  ✓ LibGit2_jll
    596.9 ms  ✓ LibCURL_jll
   3923.6 ms  ✓ ArgTools
   1056.5 ms  ✓ LibCURL
    860.1 ms  ✓ Tar
   3879.2 ms  ✓ Dates
   4086.7 ms  ✓ LibGit2
    557.3 ms  ✓ TOML
   3997.7 ms  ✓ Downloads
  11888.4 ms  ✓ StyledStrings
   1958.0 ms  ✓ JuliaSyntaxHighlighting
   4712.6 ms  ✓ Markdown
  56269.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 75 seconds
Precompiling packages...
   2132.1 ms  ✓ IteratorInterfaceExtensions
   2215.6 ms  ✓ MuladdMacro
   2214.6 ms  ✓ ConcreteStructs
   2334.0 ms  ✓ ExprTools
   2410.9 ms  ✓ Future
   2394.1 ms  ✓ CommonSolve
   2610.4 ms  ✓ InverseFunctions
   2641.9 ms  ✓ OpenLibm_jll
   2893.7 ms  ✓ Statistics
   3501.8 ms  ✓ SuiteSparse_jll
   3914.7 ms  ✓ ADTypes
   2241.5 ms  ✓ ManualMemory
   4492.0 ms  ✓ Serialization
   2215.3 ms  ✓ Reexport
   2283.5 ms  ✓ SIMDTypes
   5115.5 ms  ✓ FillArrays
   2290.5 ms  ✓ CompositionsBase
   2999.5 ms  ✓ EnumX
   2997.3 ms  ✓ DocStringExtensions
   2082.1 ms  ✓ CommonWorldInvalidations
   2113.6 ms  ✓ FastClosures
   2562.0 ms  ✓ IfElse
   3393.1 ms  ✓ FastPower
   4893.7 ms  ✓ Requires
   3281.2 ms  ✓ EnzymeCore
   3678.1 ms  ✓ SciMLPublic
   3182.1 ms  ✓ LoggingExtras
   3695.2 ms  ✓ StaticArraysCore
   3362.1 ms  ✓ Preferences
   5198.8 ms  ✓ GenericSchur
   4088.2 ms  ✓ CpuId
  11014.1 ms  ✓ FunctionWrappers
   4432.1 ms  ✓ LazyArtifacts
   2998.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10384.8 ms  ✓ OrderedCollections
   8992.7 ms  ✓ ConstructionBase
   6903.0 ms  ✓ TestEnv
   2002.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3013.4 ms  ✓ FillArrays → FillArraysStatisticsExt
  16009.0 ms  ✓ ExproniconLite
   2721.4 ms  ✓ Adapt
