Precompiling Pkg...
    953.5 ms  ✓ Unicode
    956.0 ms  ✓ MozillaCACerts_jll
   1041.9 ms  ✓ nghttp2_jll
   1051.9 ms  ✓ Zlib_jll
   1063.0 ms  ✓ UUIDs
   1062.5 ms  ✓ Logging
   1135.2 ms  ✓ p7zip_jll
   1146.9 ms  ✓ MbedTLS_jll
   1217.4 ms  ✓ NetworkOptions
   1202.0 ms  ✓ Base64
    504.3 ms  ✓ Printf
    310.6 ms  ✓ LibSSH2_jll
    376.1 ms  ✓ LibCURL_jll
    376.9 ms  ✓ LibGit2_jll
   2074.7 ms  ✓ ArgTools
    572.3 ms  ✓ LibCURL
    543.2 ms  ✓ Tar
   2202.8 ms  ✓ Dates
   2748.2 ms  ✓ Markdown
   2285.8 ms  ✓ LibGit2
    515.7 ms  ✓ TOML
   2825.4 ms  ✓ Downloads
  38078.3 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1851.2 ms  ✓ IteratorInterfaceExtensions
   1861.3 ms  ✓ SimpleUnPack
   1936.0 ms  ✓ Future
   1951.9 ms  ✓ UnPack
   2037.4 ms  ✓ ConcreteStructs
   2042.0 ms  ✓ LaTeXStrings
   2048.3 ms  ✓ MuladdMacro
   2236.2 ms  ✓ ExprTools
   2240.2 ms  ✓ OpenLibm_jll
   2648.0 ms  ✓ InverseFunctions
   2840.8 ms  ✓ Statistics
   3351.5 ms  ✓ ADTypes
   3344.7 ms  ✓ Serialization
   1988.1 ms  ✓ CommonSolve
   4051.1 ms  ✓ FunctionWrappers
   1896.5 ms  ✓ DataValueInterfaces
   2299.0 ms  ✓ ManualMemory
   2181.7 ms  ✓ EnumX
   2590.8 ms  ✓ CompilerSupportLibraries_jll
   2518.4 ms  ✓ SuiteSparse_jll
   1888.9 ms  ✓ Reexport
   4641.9 ms  ✓ FillArrays
   1791.1 ms  ✓ SIMDTypes
   2791.4 ms  ✓ Requires
   3009.9 ms  ✓ OrderedCollections
   1888.4 ms  ✓ FastPower
   1717.2 ms  ✓ IfElse
   2788.5 ms  ✓ DocStringExtensions
   2319.1 ms  ✓ CompositionsBase
   1804.9 ms  ✓ CommonWorldInvalidations
   1695.6 ms  ✓ FastClosures
   1895.9 ms  ✓ DataAPI
   2318.3 ms  ✓ ConstructionBase
   3314.7 ms  ✓ EnzymeCore
   1886.8 ms  ✓ TableTraits
   8334.2 ms  ✓ ExproniconLite
   4992.6 ms  ✓ DifferentiationInterface
   2507.6 ms  ✓ NaNMath
   2805.6 ms  ✓ Compat
   3109.3 ms  ✓ CpuId
   2892.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3795.8 ms  ✓ Preferences
   5200.8 ms  ✓ GenericSchur
   2012.0 ms  ✓ FunctionWrappersWrappers
   5904.8 ms  ✓ Crayons
   2307.9 ms  ✓ RuntimeGeneratedFunctions
   2492.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2302.2 ms  ✓ StaticArraysCore
   5886.0 ms  ✓ LazyArtifacts
   7304.6 ms  ✓ InteractiveUtils
   2588.2 ms  ✓ Adapt
   2286.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2278.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2395.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11175.6 ms  ✓ MacroTools
   3113.7 ms  ✓ Parameters
   5910.7 ms  ✓ IrrationalConstants
   4674.5 ms  ✓ ThreadingUtilities
   2804.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2614.4 ms  ✓ JLLWrappers
   2885.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2699.1 ms  ✓ DiffResults
   2794.9 ms  ✓ PrecompileTools
   2507.0 ms  ✓ EnzymeCore → AdaptExt
   2682.0 ms  ✓ CommonSubexpressions
   3515.4 ms  ✓ ArrayInterface
   4123.2 ms  ✓ GPUArraysCore
   2809.0 ms  ✓ TruncatedStacktraces
   6089.8 ms  ✓ Tables
  11705.8 ms  ✓ TimerOutputs
  10302.0 ms  ✓ Distributed
   3374.0 ms  ✓ OpenSpecFun_jll
   3908.4 ms  ✓ oneTBB_jll
   4218.8 ms  ✓ LogExpFunctions
   2013.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7616.7 ms  ✓ Setfield
   3113.7 ms  ✓ MaybeInplace
   2194.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2393.6 ms  ✓ SciMLStructures
   3790.7 ms  ✓ Static
  10289.4 ms  ✓ Jieko
   7220.8 ms  ✓ IntelOpenMP_jll
   2311.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7406.5 ms  ✓ ChainRulesCore
   2794.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2306.4 ms  ✓ BitTwiddlingConvenienceFunctions
  10592.2 ms  ✓ Accessors
   3502.8 ms  ✓ FiniteDiff
   7897.3 ms  ✓ RecipesBase
   9492.0 ms  ✓ DataStructures
   2685.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2198.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2403.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
  17788.5 ms  ✓ SparseArrays
   5588.0 ms  ✓ CPUSummary
   2979.5 ms  ✓ Accessors → LinearAlgebraExt
   2589.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   6107.5 ms  ✓ StaticArrayInterface
  10411.3 ms  ✓ StringManipulation
   2716.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2994.3 ms  ✓ Statistics → SparseArraysExt
   3381.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   6781.6 ms  ✓ MKL_jll
   3489.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2618.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2797.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2797.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2911.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   6705.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2287.8 ms  ✓ PolyesterWeave
   1904.1 ms  ✓ CloseOpenIntervals
   2286.4 ms  ✓ LayoutPointers
  11314.4 ms  ✓ SpecialFunctions
   2010.1 ms  ✓ StrideArraysCore
   1780.6 ms  ✓ DiffRules
   5102.1 ms  ✓ SciMLOperators
   1621.7 ms  ✓ Polyester
   1403.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1706.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1791.7 ms  ✓ FastBroadcast
   4987.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  23387.2 ms  ✓ StaticArrays
   3284.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3391.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3501.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3595.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3598.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3685.9 ms  ✓ Accessors → StaticArraysExt
   4111.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4488.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  10809.0 ms  ✓ ForwardDiff
