nice: cannot set niceness: Permission denied
Precompiling packages...
   1975.6 ms  ✓ OpenLibm_jll
   1989.9 ms  ✓ Reexport
   1994.3 ms  ✓ ConcreteStructs
   2084.7 ms  ✓ EnumX
   2077.6 ms  ✓ CommonSolve
   2161.2 ms  ✓ ExprTools
   2101.0 ms  ✓ CompilerSupportLibraries_jll
   2239.7 ms  ✓ IteratorInterfaceExtensions
   2364.9 ms  ✓ Adapt
   2483.5 ms  ✓ InverseFunctions
   2674.0 ms  ✓ DocStringExtensions
   2829.8 ms  ✓ Compat
   2758.9 ms  ✓ ConstructionBase
   3479.4 ms  ✓ EnzymeCore
   1800.0 ms  ✓ CompositionsBase
   1891.0 ms  ✓ LazyArtifacts
   2172.4 ms  ✓ FastClosures
   4187.4 ms  ✓ FunctionWrappers
   1999.0 ms  ✓ SciMLPublic
   2415.8 ms  ✓ SuiteSparse_jll
   1898.7 ms  ✓ BinaryHeaps
   2208.8 ms  ✓ StaticArraysCore
   2110.6 ms  ✓ FastPower
   2970.0 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   3098.2 ms  ✓ ADTypes
   5785.3 ms  ✓ IrrationalConstants
   2010.5 ms  ✓ NaNMath
   2901.2 ms  ✓ Preferences
   2217.4 ms  ✓ ArrayInterface
   2068.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2406.2 ms  ✓ LoggingExtras
   2007.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2379.9 ms  ✓ GPUArraysCore
   1907.7 ms  ✓ EnzymeCore → AdaptExt
   2178.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2220.8 ms  ✓ RuntimeGeneratedFunctions
   4091.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2190.5 ms  ✓ DiffResults
   2389.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2021.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2321.6 ms  ✓ PrecompileTools
   2769.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2807.2 ms  ✓ JLLWrappers
   7499.5 ms  ✓ Distributed
   7396.0 ms  ✓ TimerOutputs
   3031.0 ms  ✓ LogExpFunctions
   2813.1 ms  ✓ FastBroadcast
   2194.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3415.7 ms  ✓ SciMLLogging
   4693.1 ms  ✓ DifferentiationInterface
   2028.9 ms  ✓ SciMLStructures
   1624.9 ms  ✓ IntelOpenMP_jll
   9000.8 ms  ✓ MacroTools
   1576.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
