nice: cannot set niceness: Permission denied
Precompiling packages...
   1932.1 ms  ✓ CommonSolve
   1969.3 ms  ✓ LazyArtifacts
   1970.3 ms  ✓ IteratorInterfaceExtensions
   2060.4 ms  ✓ ConcreteStructs
   2074.6 ms  ✓ MuladdMacro
   2160.0 ms  ✓ ExprTools
   2247.8 ms  ✓ OpenLibm_jll
   2324.5 ms  ✓ CompilerSupportLibraries_jll
   2313.6 ms  ✓ SuiteSparse_jll
   2559.6 ms  ✓ InverseFunctions
   3157.2 ms  ✓ ADTypes
   3973.5 ms  ✓ FunctionWrappers
   1905.7 ms  ✓ ManualMemory
   1798.9 ms  ✓ Reexport
   1882.4 ms  ✓ SIMDTypes
   2004.1 ms  ✓ EnumX
   2204.1 ms  ✓ Requires
   4461.4 ms  ✓ FillArrays
   2404.4 ms  ✓ Compat
   2793.9 ms  ✓ OrderedCollections
   4916.0 ms  ✓ GenericSchur
   3197.6 ms  ✓ Preferences
   2894.9 ms  ✓ DocStringExtensions
   1712.1 ms  ✓ FastPower
   1945.1 ms  ✓ CompositionsBase
   1812.0 ms  ✓ IfElse
   1997.9 ms  ✓ CommonWorldInvalidations
   2085.9 ms  ✓ FastClosures
   1649.1 ms  ✓ SciMLPublic
   2293.8 ms  ✓ ConstructionBase
   3011.5 ms  ✓ CpuId
   2596.7 ms  ✓ LoggingExtras
   2414.7 ms  ✓ StaticArraysCore
   3504.5 ms  ✓ EnzymeCore
   2593.7 ms  ✓ RuntimeGeneratedFunctions
   8254.1 ms  ✓ ExproniconLite
   2493.1 ms  ✓ NaNMath
   1988.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8508.0 ms  ✓ Distributed
   2000.9 ms  ✓ FunctionWrappersWrappers
   5505.9 ms  ✓ IrrationalConstants
   2301.1 ms  ✓ Adapt
   2101.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2303.9 ms  ✓ JLLWrappers
   2064.5 ms  ✓ PrecompileTools
   2105.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2000.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2212.2 ms  ✓ DiffResults
   4205.1 ms  ✓ ThreadingUtilities
   2297.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2808.9 ms  ✓ SciMLLogging
  10152.4 ms  ✓ MacroTools
   5691.8 ms  ✓ DifferentiationInterface
   2236.9 ms  ✓ EnzymeCore → AdaptExt
   2997.9 ms  ✓ ArrayInterface
   2609.7 ms  ✓ GPUArraysCore
   3888.5 ms  ✓ LogExpFunctions
   2787.8 ms  ✓ oneTBB_jll
   2903.2 ms  ✓ IntelOpenMP_jll
   8080.7 ms  ✓ TimerOutputs
   3103.1 ms  ✓ OpenSpecFun_jll
   2602.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2703.7 ms  ✓ TruncatedStacktraces
   2699.5 ms  ✓ CommonSubexpressions
   1895.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1974.0 ms  ✓ SciMLStructures
   8099.9 ms  ✓ DataStructures
   6085.6 ms  ✓ ChainRulesCore
   8002.7 ms  ✓ Jieko
   3510.1 ms  ✓ MaybeInplace
   4937.5 ms  ✓ Static
   2216.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2096.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   6291.2 ms  ✓ RecipesBase
   2407.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3705.8 ms  ✓ PreallocationTools
   5009.0 ms  ✓ Setfield
   2406.2 ms  ✓ MKL_jll
   1725.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1917.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1409.3 ms  ✓ BitTwiddlingConvenienceFunctions
   2250.1 ms  ✓ CPUSummary
   1746.1 ms  ✓ FiniteDiff
   1194.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   6515.1 ms  ✓ Accessors
  13812.7 ms  ✓ SparseArrays
   3107.8 ms  ✓ StaticArrayInterface
   3898.6 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2036.8 ms  ✓ PolyesterWeave
   2004.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1949.3 ms  ✓ Accessors → LinearAlgebraExt
   2146.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2172.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1890.0 ms  ✓ CloseOpenIntervals
   2410.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2474.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2284.9 ms  ✓ LayoutPointers
   2700.5 ms  ✓ Statistics
   1200.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   8347.0 ms  ✓ SpecialFunctions
   1690.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2198.0 ms  ✓ StrideArraysCore
   1485.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1583.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3135.7 ms  ✓ SymbolicIndexingInterface
   1500.0 ms  ✓ DiffRules
   4049.6 ms  ✓ SciMLOperators
   1314.2 ms  ✓ Polyester
   1284.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1396.4 ms  ✓ FastBroadcast
   3492.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1698.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3411.8 ms  ✓ RecursiveArrayTools
  18931.3 ms  ✓ StaticArrays
   1783.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2262.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2360.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2358.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2467.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
