nice: cannot set niceness: Permission denied
Precompiling packages...
   1989.1 ms  ✓ ConcreteStructs
   2003.3 ms  ✓ LazyArtifacts
   1982.8 ms  ✓ CommonSolve
   2008.9 ms  ✓ IteratorInterfaceExtensions
   2015.9 ms  ✓ OpenLibm_jll
   2113.1 ms  ✓ MuladdMacro
   2119.0 ms  ✓ ExprTools
   2280.8 ms  ✓ CompilerSupportLibraries_jll
   2407.2 ms  ✓ InverseFunctions
   2572.0 ms  ✓ SuiteSparse_jll
   3100.2 ms  ✓ ADTypes
   3772.2 ms  ✓ FunctionWrappers
   2008.7 ms  ✓ ManualMemory
   1904.5 ms  ✓ EnumX
   1805.9 ms  ✓ Reexport
   1703.2 ms  ✓ SIMDTypes
   2173.7 ms  ✓ Requires
   4702.6 ms  ✓ FillArrays
   2708.9 ms  ✓ Compat
   2765.9 ms  ✓ OrderedCollections
   4879.4 ms  ✓ GenericSchur
   3203.5 ms  ✓ Preferences
   2721.6 ms  ✓ DocStringExtensions
   1895.2 ms  ✓ CompositionsBase
   1896.9 ms  ✓ FastPower
   1803.1 ms  ✓ IfElse
   2203.2 ms  ✓ ConstructionBase
   1781.7 ms  ✓ FastClosures
   1703.1 ms  ✓ SciMLPublic
   1911.9 ms  ✓ CommonWorldInvalidations
   2778.2 ms  ✓ CpuId
   3089.4 ms  ✓ EnzymeCore
   2095.0 ms  ✓ RuntimeGeneratedFunctions
   2401.9 ms  ✓ StaticArraysCore
   2900.9 ms  ✓ LoggingExtras
   2492.8 ms  ✓ NaNMath
   2325.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8581.2 ms  ✓ Distributed
   8682.9 ms  ✓ ExproniconLite
   5713.4 ms  ✓ IrrationalConstants
   2324.7 ms  ✓ FunctionWrappersWrappers
   2478.5 ms  ✓ Adapt
   2285.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2003.8 ms  ✓ PrecompileTools
   2268.5 ms  ✓ JLLWrappers
   2090.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2109.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2206.0 ms  ✓ DiffResults
   4287.3 ms  ✓ ThreadingUtilities
   2619.4 ms  ✓ SciMLLogging
   2497.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4999.3 ms  ✓ DifferentiationInterface
   2014.7 ms  ✓ EnzymeCore → AdaptExt
   2521.0 ms  ✓ ArrayInterface
   2521.9 ms  ✓ GPUArraysCore
   3220.5 ms  ✓ LogExpFunctions
  10981.2 ms  ✓ MacroTools
   2605.0 ms  ✓ IntelOpenMP_jll
   2408.6 ms  ✓ OpenSpecFun_jll
   2773.8 ms  ✓ oneTBB_jll
   2315.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3804.5 ms  ✓ Static
   9106.8 ms  ✓ TimerOutputs
   3292.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2425.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   8092.9 ms  ✓ DataStructures
   3577.3 ms  ✓ SciMLStructures
   1908.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2095.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6193.9 ms  ✓ ChainRulesCore
   7270.3 ms  ✓ Jieko
   2413.9 ms  ✓ TruncatedStacktraces
   2385.1 ms  ✓ CommonSubexpressions
   2183.3 ms  ✓ BitTwiddlingConvenienceFunctions
   2011.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2504.1 ms  ✓ MKL_jll
   3011.4 ms  ✓ MaybeInplace
   5906.9 ms  ✓ PreallocationTools
