nice: cannot set niceness: Permission denied
Precompiling packages...
   2131.9 ms  ✓ ConcreteStructs
   2209.8 ms  ✓ EnumX
   2210.8 ms  ✓ Reexport
   2196.7 ms  ✓ CommonSolve
   2310.9 ms  ✓ OpenLibm_jll
   2329.3 ms  ✓ DataValueInterfaces
   2328.4 ms  ✓ LaTeXStrings
   2491.5 ms  ✓ ExprTools
   2489.2 ms  ✓ ConstructionBase
   2615.1 ms  ✓ InverseFunctions
   3002.8 ms  ✓ DocStringExtensions
   3248.1 ms  ✓ Compat
   3107.9 ms  ✓ OrderedCollections
   3929.8 ms  ✓ FunctionWrappers
   4027.2 ms  ✓ EnzymeCore
   1901.4 ms  ✓ IteratorInterfaceExtensions
   2102.3 ms  ✓ DataAPI
   2094.7 ms  ✓ CompilerSupportLibraries_jll
   1897.5 ms  ✓ LazyArtifacts
   2023.8 ms  ✓ FastClosures
   2299.0 ms  ✓ Adapt
   2087.8 ms  ✓ CompositionsBase
   2005.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2707.5 ms  ✓ SuiteSparse_jll
   2416.7 ms  ✓ LoggingExtras
   5792.3 ms  ✓ IrrationalConstants
   2026.4 ms  ✓ SciMLPublic
   2115.8 ms  ✓ StaticArraysCore
   2014.9 ms  ✓ BinaryHeaps
   2196.6 ms  ✓ FastPower
   2220.2 ms  ✓ RuntimeGeneratedFunctions
   2210.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2502.3 ms  ✓ NaNMath
   3190.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2114.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1887.9 ms  ✓ TableTraits
   3309.9 ms  ✓ Preferences
   2585.3 ms  ✓ ADTypes
   1983.9 ms  ✓ EnzymeCore → AdaptExt
   6005.6 ms  ✓ Crayons
   2511.7 ms  ✓ ArrayInterface
   2600.6 ms  ✓ GPUArraysCore
   2397.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2104.3 ms  ✓ DiffResults
   2695.6 ms  ✓ LogExpFunctions
   1790.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1899.8 ms  ✓ PrecompileTools
   2212.0 ms  ✓ JLLWrappers
   7794.4 ms  ✓ Distributed
   2483.0 ms  ✓ SciMLLogging
   2191.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2500.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2198.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2973.3 ms  ✓ FastBroadcast
   3898.0 ms  ✓ Tables
   2295.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4304.2 ms  ✓ DifferentiationInterface
   9193.8 ms  ✓ MacroTools
   3190.6 ms  ✓ MuladdMacro
   2801.8 ms  ✓ SciMLStructures
   2997.0 ms  ✓ FunctionWrappersWrappers
   2292.5 ms  ✓ IntelOpenMP_jll
   2786.6 ms  ✓ oneTBB_jll
   2405.3 ms  ✓ OpenSpecFun_jll
   1791.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1728.6 ms  ✓ TruncatedStacktraces
   1922.8 ms  ✓ CommonSubexpressions
   1501.9 ms  ✓ RespecializeParams
   4503.4 ms  ✓ PreallocationTools
   5107.0 ms  ✓ RecipesBase
   1545.8 ms  ✓ MKL_jll
   2149.0 ms  ✓ MaybeInplace
   3212.3 ms  ✓ Setfield
    724.2 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   6519.0 ms  ✓ FindFirstFunctions
   4200.6 ms  ✓ Accessors
    995.0 ms  ✓ FiniteDiff
   9929.2 ms  ✓ SparseArrays
   2204.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2320.6 ms  ✓ Accessors → LinearAlgebraExt
   2585.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2652.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2985.5 ms  ✓ AMD
   9915.6 ms  ✓ StringManipulation
   3294.9 ms  ✓ Statistics
