nice: cannot set niceness: Permission denied
Precompiling packages...
    397.5 ms  ✓ CommonSolve
    417.2 ms  ✓ Reexport
    552.5 ms  ✓ ConstructionBase
    501.4 ms  ✓ StaticArraysCore
    583.6 ms  ✓ Statistics
   1341.9 ms  ✓ IrrationalConstants
    449.7 ms  ✓ IfElse
    880.5 ms  ✓ SuiteSparse_jll
    747.9 ms  ✓ EnzymeCore
    488.2 ms  ✓ ManualMemory
    429.1 ms  ✓ CommonWorldInvalidations
    412.7 ms  ✓ Future
    891.7 ms  ✓ SciMLPublic
    427.2 ms  ✓ FastPower
    444.4 ms  ✓ CompositionsBase
    527.6 ms  ✓ InverseFunctions
    430.6 ms  ✓ SimpleUnPack
    449.4 ms  ✓ MuladdMacro
    463.1 ms  ✓ EnumX
   2187.5 ms  ✓ ExproniconLite
    682.2 ms  ✓ OpenLibm_jll
    516.5 ms  ✓ ExprTools
    497.4 ms  ✓ UnPack
    506.0 ms  ✓ ConcreteStructs
   1239.1 ms  ✓ FillArrays
    786.1 ms  ✓ OrderedCollections
   4693.7 ms  ✓ MacroTools
    744.6 ms  ✓ ADTypes
    452.7 ms  ✓ FastClosures
    607.1 ms  ✓ DocStringExtensions
    779.0 ms  ✓ Serialization
    462.6 ms  ✓ SIMDTypes
    445.3 ms  ✓ IteratorInterfaceExtensions
    747.0 ms  ✓ Requires
    727.9 ms  ✓ CpuId
   1171.7 ms  ✓ GenericSchur
    540.8 ms  ✓ LoggingExtras
    640.2 ms  ✓ Compat
   1453.1 ms  ✓ InteractiveUtils
   3064.6 ms  ✓ FunctionWrappers
    516.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    961.4 ms  ✓ LazyArtifacts
    469.9 ms  ✓ DiffResults
    435.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    429.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1698.8 ms  ✓ Preferences
    547.8 ms  ✓ NaNMath
   1202.1 ms  ✓ ThreadingUtilities
    488.0 ms  ✓ FillArrays → FillArraysStatisticsExt
    551.4 ms  ✓ CommonSubexpressions
    398.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    467.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2018.2 ms  ✓ Jieko
   1828.1 ms  ✓ DataStructures
   1107.6 ms  ✓ DifferentiationInterface
    649.8 ms  ✓ LogExpFunctions
    427.6 ms  ✓ RuntimeGeneratedFunctions
    472.3 ms  ✓ Adapt
    504.6 ms  ✓ Compat → CompatLinearAlgebraExt
    492.2 ms  ✓ FunctionWrappersWrappers
   4046.3 ms  ✓ TimerOutputs
   2484.6 ms  ✓ Distributed
    453.5 ms  ✓ PrecompileTools
    544.3 ms  ✓ JLLWrappers
   1761.2 ms  ✓ Setfield
    579.6 ms  ✓ SciMLLogging
    568.8 ms  ✓ TruncatedStacktraces
    429.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    629.6 ms  ✓ ArrayInterface
   2713.0 ms  ✓ Accessors
    634.1 ms  ✓ GPUArraysCore
    402.6 ms  ✓ EnzymeCore → AdaptExt
   4154.0 ms  ✓ SparseArrays
   1369.2 ms  ✓ ChainRulesCore
    647.3 ms  ✓ OpenSpecFun_jll
   1908.5 ms  ✓ RecipesBase
   1110.5 ms  ✓ IntelOpenMP_jll
   1144.8 ms  ✓ oneTBB_jll
    393.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    438.2 ms  ✓ SciMLStructures
    712.0 ms  ✓ MaybeInplace
    473.5 ms  ✓ Accessors → LinearAlgebraExt
    905.3 ms  ✓ PreallocationTools
    433.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    443.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    557.8 ms  ✓ Statistics → SparseArraysExt
    751.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
    726.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    642.1 ms  ✓ Adapt → AdaptSparseArraysExt
  10111.8 ms  ✓ Moshi
    682.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    657.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    492.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    498.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   7499.4 ms  ✓ Krylov
   1443.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
    541.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
  14223.9 ms  ✓ StaticArrays
   1570.4 ms  ✓ MKL_jll
    803.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    968.4 ms  ✓ FiniteDiff
   3384.7 ms  ✓ SpecialFunctions
   1493.7 ms  ✓ SymbolicIndexingInterface
    831.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2479.1 ms  ✓ SciMLOperators
  10500.0 ms  ✓ SparseMatrixColorings
    817.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    762.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    692.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    665.5 ms  ✓ Adapt → AdaptStaticArraysExt
    709.8 ms  ✓ Accessors → StaticArraysExt
    684.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    592.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    683.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1745.3 ms  ✓ FastGaussQuadrature
   1841.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
    724.4 ms  ✓ DiffRules
    569.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1965.8 ms  ✓ RecursiveArrayTools
    766.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    882.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  25318.2 ms  ✓ Static
    714.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    443.3 ms  ✓ BitTwiddlingConvenienceFunctions
    967.6 ms  ✓ CPUSummary
   3848.1 ms  ✓ ForwardDiff
    612.5 ms  ✓ PolyesterWeave
    693.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    574.9 ms  ✓ FastPower → FastPowerForwardDiffExt
  11858.2 ms  ✓ ArrayLayouts
    575.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    701.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    570.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1132.2 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    865.7 ms  ✓ NLSolversBase
   1046.0 ms  ✓ LineSearches
   8079.9 ms  ✓ SciMLBase
    797.5 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2604.7 ms  ✓ LazyArrays
   1133.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    698.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1222.7 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   2465.8 ms  ✓ SciMLJacobianOperators
   4059.0 ms  ✓ LineSearch
  14941.4 ms  ✓ StaticArrayInterface
   1163.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
    785.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    633.4 ms  ✓ CloseOpenIntervals
    680.6 ms  ✓ LayoutPointers
   6496.2 ms  ✓ NonlinearSolveBase
    831.1 ms  ✓ StrideArraysCore
  28566.9 ms  ✓ ExponentialUtilities
    983.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1160.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
    843.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
    821.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
    717.3 ms  ✓ Polyester
   1307.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1733.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    877.6 ms  ✓ FastBroadcast
    613.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  12427.4 ms  ✓ LinearSolve
   4235.9 ms  ✓ BracketingNonlinearSolve
