Precompiling Pkg...
   1135.6 ms  ✓ p7zip_jll
   1140.2 ms  ✓ Logging
   1134.7 ms  ✓ MbedTLS_jll
   1146.9 ms  ✓ MozillaCACerts_jll
   1150.0 ms  ✓ Zlib_jll
   1211.9 ms  ✓ NetworkOptions
   1173.6 ms  ✓ Unicode
   1179.0 ms  ✓ UUIDs
   1179.9 ms  ✓ nghttp2_jll
   1237.9 ms  ✓ Base64
    360.9 ms  ✓ LibSSH2_jll
    458.8 ms  ✓ Printf
    383.2 ms  ✓ LibCURL_jll
    437.4 ms  ✓ LibGit2_jll
   2073.1 ms  ✓ ArgTools
    593.1 ms  ✓ LibCURL
    541.3 ms  ✓ Tar
   2356.2 ms  ✓ Dates
   2801.7 ms  ✓ Markdown
   2265.7 ms  ✓ LibGit2
    366.7 ms  ✓ TOML
   2822.2 ms  ✓ Downloads
  37418.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1991.6 ms  ✓ IteratorInterfaceExtensions
   1992.5 ms  ✓ UnPack
   2000.1 ms  ✓ SimpleUnPack
   2002.7 ms  ✓ ConcreteStructs
   1983.9 ms  ✓ CommonSolve
   2014.6 ms  ✓ MuladdMacro
   2106.1 ms  ✓ ExprTools
   2299.6 ms  ✓ Future
   2377.6 ms  ✓ OpenLibm_jll
   2588.3 ms  ✓ InverseFunctions
   3085.8 ms  ✓ Statistics
   3492.6 ms  ✓ Serialization
   3604.1 ms  ✓ ADTypes
   3912.8 ms  ✓ FunctionWrappers
   1890.7 ms  ✓ DataValueInterfaces
   1823.4 ms  ✓ Reexport
   2307.1 ms  ✓ SuiteSparse_jll
   2002.9 ms  ✓ EnumX
   2309.0 ms  ✓ ManualMemory
   1886.1 ms  ✓ SIMDTypes
   2793.3 ms  ✓ CompilerSupportLibraries_jll
   2714.2 ms  ✓ Requires
   4792.1 ms  ✓ FillArrays
   2980.5 ms  ✓ OrderedCollections
   1990.8 ms  ✓ CompositionsBase
   1904.3 ms  ✓ FastPower
   2893.2 ms  ✓ Mmap
   3398.0 ms  ✓ DocStringExtensions
   2384.9 ms  ✓ Inflate
   2289.5 ms  ✓ ConstructionBase
   1802.8 ms  ✓ PackageExtensionCompat
