nice: cannot set niceness: Permission denied
Precompiling packages...
   1668.8 ms  ✓ UUIDs
   1669.8 ms  ✓ NetworkOptions
   1697.6 ms  ✓ OpenSSL_jll
   1685.4 ms  ✓ Logging
   1697.2 ms  ✓ MozillaCACerts_jll
   1695.5 ms  ✓ Unicode
   1696.8 ms  ✓ nghttp2_jll
   1794.3 ms  ✓ CompilerSupportLibraries_jll
   1792.4 ms  ✓ Zlib_jll
   1892.3 ms  ✓ Base64
    531.4 ms  ✓ LibSSH2_jll
    610.6 ms  ✓ p7zip_jll
    767.1 ms  ✓ Printf
    493.5 ms  ✓ LibCURL_jll
    495.1 ms  ✓ LibGit2_jll
   3274.5 ms  ✓ ArgTools
    771.9 ms  ✓ LibCURL
    647.8 ms  ✓ Tar
   3000.7 ms  ✓ Dates
   3034.7 ms  ✓ LibGit2
    449.9 ms  ✓ TOML
   3085.5 ms  ✓ Downloads
   9445.6 ms  ✓ StyledStrings
   1638.2 ms  ✓ JuliaSyntaxHighlighting
   3875.3 ms  ✓ Markdown
  47610.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2485.8 ms  ✓ IteratorInterfaceExtensions
   2586.7 ms  ✓ Future
   2568.3 ms  ✓ Reexport
   2658.6 ms  ✓ DataValueInterfaces
   2674.2 ms  ✓ OpenLibm_jll
   2700.0 ms  ✓ LaTeXStrings
   2855.1 ms  ✓ EnumX
   3066.0 ms  ✓ InverseFunctions
   3079.9 ms  ✓ SuiteSparse_jll
   3453.2 ms  ✓ ExprTools
   3782.8 ms  ✓ Statistics
   3938.3 ms  ✓ DocStringExtensions
   4171.9 ms  ✓ Serialization
   2502.2 ms  ✓ CompositionsBase
   2791.3 ms  ✓ Adapt
   2425.7 ms  ✓ FastClosures
   2875.9 ms  ✓ DataAPI
   3795.2 ms  ✓ EnzymeCore
   3021.9 ms  ✓ StaticArraysCore
   3166.7 ms  ✓ LoggingExtras
   2487.5 ms  ✓ TableTraits
   4120.4 ms  ✓ Preferences
   5592.5 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2403.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5197.0 ms  ✓ LazyArtifacts
   2813.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11270.4 ms  ✓ OrderedCollections
   2587.4 ms  ✓ EnzymeCore → AdaptExt
  11977.6 ms  ✓ FunctionWrappers
   3314.9 ms  ✓ GPUArraysCore
   9510.4 ms  ✓ ConstructionBase
   2499.9 ms  ✓ DiffResults
   2306.9 ms  ✓ PrecompileTools
   2795.5 ms  ✓ JLLWrappers
   2504.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   9700.8 ms  ✓ Compat
  10109.8 ms  ✓ NaNMath
  13206.7 ms  ✓ IrrationalConstants
  13390.1 ms  ✓ Crayons
  13502.8 ms  ✓ InteractiveUtils
   4024.4 ms  ✓ CommonSolve
   4687.9 ms  ✓ MuladdMacro
  18269.8 ms  ✓ MacroTools
   9998.4 ms  ✓ ArrayInterface
   5052.7 ms  ✓ ADTypes
   3201.2 ms  ✓ SciMLPublic
   5385.7 ms  ✓ FastPower
   3211.9 ms  ✓ Compat → CompatLinearAlgebraExt
   8993.2 ms  ✓ RecipesBase
   4391.8 ms  ✓ SciMLLogging
   4523.5 ms  ✓ OpenSpecFun_jll
  16516.1 ms  ✓ Distributed
   6197.6 ms  ✓ BinaryHeaps
   4093.3 ms  ✓ LogExpFunctions
   6608.3 ms  ✓ IntelOpenMP_jll
  14013.0 ms  ✓ Tables
  12158.2 ms  ✓ ConcreteStructs
   7798.1 ms  ✓ oneTBB_jll
   3602.6 ms  ✓ CommonSubexpressions
   3400.7 ms  ✓ TruncatedStacktraces
   2681.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2395.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2485.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2886.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7421.6 ms  ✓ Setfield
  24514.2 ms  ✓ SparseArrays
   2789.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9105.2 ms  ✓ FastBroadcast
   9887.4 ms  ✓ MaybeInplace
  17820.1 ms  ✓ RuntimeGeneratedFunctions
  19600.0 ms  ✓ FindFirstFunctions
   4507.8 ms  ✓ FiniteDiff
  21360.1 ms  ✓ StringManipulation
   4806.7 ms  ✓ AMD
  11226.4 ms  ✓ SciMLStructures
   4017.1 ms  ✓ Statistics → SparseArraysExt
   7792.8 ms  ✓ MKL_jll
  10182.5 ms  ✓ PreallocationTools
   2891.1 ms  ✓ Adapt → AdaptSparseArraysExt
  12800.3 ms  ✓ DifferentiationInterface
   2839.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2715.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2102.0 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   2979.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1896.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2503.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2755.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  14125.4 ms  ✓ FunctionWrappersWrappers
  18708.0 ms  ✓ Accessors
  12426.6 ms  ✓ SpecialFunctions
   1104.1 ms  ✓ Accessors → LinearAlgebraExt
   1668.0 ms  ✓ DiffRules
   5006.0 ms  ✓ RespecializeParams
   6014.0 ms  ✓ SymbolicIndexingInterface
  24598.0 ms  ✓ Krylov
