Precompiling Pkg...
    963.0 ms  ✓ Unicode
   1042.9 ms  ✓ nghttp2_jll
   1047.3 ms  ✓ Zlib_jll
   1061.3 ms  ✓ p7zip_jll
   1108.9 ms  ✓ NetworkOptions
   1075.6 ms  ✓ Logging
   1083.6 ms  ✓ MozillaCACerts_jll
   1150.2 ms  ✓ UUIDs
   1170.9 ms  ✓ MbedTLS_jll
   1221.1 ms  ✓ Base64
    508.1 ms  ✓ Printf
    313.4 ms  ✓ LibSSH2_jll
    399.3 ms  ✓ LibCURL_jll
    402.9 ms  ✓ LibGit2_jll
   2052.3 ms  ✓ ArgTools
    581.1 ms  ✓ LibCURL
    544.1 ms  ✓ Tar
   2179.0 ms  ✓ Dates
   2733.0 ms  ✓ Markdown
   2221.3 ms  ✓ LibGit2
    513.8 ms  ✓ TOML
   2786.9 ms  ✓ Downloads
  38130.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1911.5 ms  ✓ MuladdMacro
   1922.9 ms  ✓ ConcreteStructs
   1993.8 ms  ✓ CommonSolve
   2023.8 ms  ✓ SimpleUnPack
   2025.0 ms  ✓ IteratorInterfaceExtensions
   2106.6 ms  ✓ ExprTools
   2206.8 ms  ✓ UnPack
   2221.3 ms  ✓ Future
   2414.6 ms  ✓ OpenLibm_jll
   2517.5 ms  ✓ InverseFunctions
   2713.3 ms  ✓ CompilerSupportLibraries_jll
   3000.9 ms  ✓ Statistics
   3326.3 ms  ✓ Serialization
   3420.0 ms  ✓ ADTypes
   3824.6 ms  ✓ FunctionWrappers
   1907.3 ms  ✓ DataValueInterfaces
   2215.0 ms  ✓ ManualMemory
   2322.3 ms  ✓ SuiteSparse_jll
   2085.9 ms  ✓ Reexport
   1900.7 ms  ✓ SIMDTypes
   2112.4 ms  ✓ EnumX
   2498.4 ms  ✓ Requires
   4909.6 ms  ✓ FillArrays
   2907.4 ms  ✓ OrderedCollections
   1993.9 ms  ✓ CompositionsBase
   2295.5 ms  ✓ Mmap
   1894.5 ms  ✓ FastPower
   2091.6 ms  ✓ IfElse
   2498.8 ms  ✓ Inflate
   2083.7 ms  ✓ PackageExtensionCompat
   2105.8 ms  ✓ CommonWorldInvalidations
   2109.9 ms  ✓ DataAPI
   1996.6 ms  ✓ FastClosures
   2585.7 ms  ✓ ConstructionBase
   3409.3 ms  ✓ EnzymeCore
   2608.9 ms  ✓ StaticArraysCore
   5381.0 ms  ✓ IrrationalConstants
   3198.8 ms  ✓ CpuId
   1896.2 ms  ✓ TableTraits
   3577.3 ms  ✓ Preferences
   2408.8 ms  ✓ NaNMath
   2786.7 ms  ✓ Compat
   3197.3 ms  ✓ DocStringExtensions
   2892.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2281.4 ms  ✓ RuntimeGeneratedFunctions
   4890.9 ms  ✓ GenericSchur
   2094.2 ms  ✓ FunctionWrappersWrappers
   2019.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5415.8 ms  ✓ LazyArtifacts
   2975.4 ms  ✓ Adapt
   2393.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2589.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4598.8 ms  ✓ DifferentiationInterface
   2192.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2819.5 ms  ✓ Parameters
   7522.7 ms  ✓ InteractiveUtils
   4317.9 ms  ✓ ThreadingUtilities
  11283.0 ms  ✓ MacroTools
   2292.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2377.3 ms  ✓ DiffResults
   2814.3 ms  ✓ JLLWrappers
   2299.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2411.7 ms  ✓ PrecompileTools
   2488.2 ms  ✓ EnzymeCore → AdaptExt
   2611.1 ms  ✓ CommonSubexpressions
   3513.9 ms  ✓ GPUArraysCore
   4422.6 ms  ✓ Tables
   4194.3 ms  ✓ ArrayInterface
   4503.9 ms  ✓ LogExpFunctions
  11087.8 ms  ✓ TimerOutputs
  10480.5 ms  ✓ Distributed
   3383.3 ms  ✓ TruncatedStacktraces
   2908.2 ms  ✓ OpenSpecFun_jll
   3912.3 ms  ✓ oneTBB_jll
   4322.6 ms  ✓ SimpleTraits
   5692.1 ms  ✓ Setfield
   2003.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1984.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3219.0 ms  ✓ MaybeInplace
   6410.2 ms  ✓ IntelOpenMP_jll
   2296.0 ms  ✓ SciMLStructures
   2480.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4202.0 ms  ✓ Static
   6194.0 ms  ✓ ChainRulesCore
   4094.0 ms  ✓ SharedArrays
   2493.8 ms  ✓ BitTwiddlingConvenienceFunctions
   3602.0 ms  ✓ FiniteDiff
  10300.8 ms  ✓ Accessors
   2301.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   8299.1 ms  ✓ DataStructures
   7790.3 ms  ✓ RecipesBase
   2717.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1709.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
  17025.6 ms  ✓ SparseArrays
   1913.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4695.3 ms  ✓ CPUSummary
   5292.7 ms  ✓ MKL_jll
   2114.2 ms  ✓ Accessors → LinearAlgebraExt
   2872.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2880.8 ms  ✓ Statistics → SparseArraysExt
   2888.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2894.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3006.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2583.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2788.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7301.3 ms  ✓ StaticArrayInterface
