nice: cannot set niceness: Permission denied
Precompiling packages...
    826.7 ms  ✓ CommonSolve
    854.0 ms  ✓ Reexport
   1099.7 ms  ✓ ConstructionBase
    874.7 ms  ✓ StaticArraysCore
   1097.2 ms  ✓ Statistics
   2698.0 ms  ✓ IrrationalConstants
   1764.6 ms  ✓ SuiteSparse_jll
   1119.9 ms  ✓ IfElse
   1707.9 ms  ✓ EnzymeCore
    990.6 ms  ✓ ManualMemory
    997.2 ms  ✓ CommonWorldInvalidations
   1962.8 ms  ✓ SciMLPublic
   1224.2 ms  ✓ Future
   1066.1 ms  ✓ FastPower
    871.5 ms  ✓ CompositionsBase
   1225.1 ms  ✓ InverseFunctions
    883.4 ms  ✓ MuladdMacro
    860.9 ms  ✓ EnumX
   4259.8 ms  ✓ ExproniconLite
   1338.0 ms  ✓ OpenLibm_jll
   1011.4 ms  ✓ ExprTools
    874.6 ms  ✓ ConcreteStructs
   2237.9 ms  ✓ FillArrays
   1355.1 ms  ✓ OrderedCollections
   1475.2 ms  ✓ ADTypes
   9866.1 ms  ✓ MacroTools
   1249.6 ms  ✓ Serialization
   1163.9 ms  ✓ DocStringExtensions
    793.1 ms  ✓ FastClosures
    836.4 ms  ✓ SIMDTypes
    834.9 ms  ✓ IteratorInterfaceExtensions
   1296.4 ms  ✓ Requires
   2075.7 ms  ✓ GenericSchur
   1311.6 ms  ✓ CpuId
    993.1 ms  ✓ LoggingExtras
   1000.3 ms  ✓ Compat
   2776.1 ms  ✓ InteractiveUtils
   6275.2 ms  ✓ FunctionWrappers
   1098.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    958.0 ms  ✓ DiffResults
   1858.0 ms  ✓ LazyArtifacts
    758.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    835.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3505.6 ms  ✓ Preferences
    989.8 ms  ✓ NaNMath
   2238.9 ms  ✓ ThreadingUtilities
