nice: cannot set niceness: Permission denied
Precompiling packages...
   2023.3 ms  ✓ ConcreteStructs
   2029.1 ms  ✓ Reexport
   2007.9 ms  ✓ CommonSolve
   2041.0 ms  ✓ OpenLibm_jll
   2139.1 ms  ✓ EnumX
   2209.6 ms  ✓ Adapt
   2390.3 ms  ✓ ConstructionBase
   2401.4 ms  ✓ IteratorInterfaceExtensions
   2593.9 ms  ✓ InverseFunctions
   2629.2 ms  ✓ ExprTools
   2808.5 ms  ✓ DocStringExtensions
   3091.4 ms  ✓ Compat
   3028.3 ms  ✓ OrderedCollections
   3320.9 ms  ✓ EnzymeCore
   3734.3 ms  ✓ FunctionWrappers
   1896.8 ms  ✓ FastClosures
   1891.2 ms  ✓ LazyArtifacts
   1980.4 ms  ✓ CompositionsBase
   2209.8 ms  ✓ CompilerSupportLibraries_jll
   2394.5 ms  ✓ SuiteSparse_jll
   2294.2 ms  ✓ LoggingExtras
   2004.1 ms  ✓ SciMLPublic
   2105.5 ms  ✓ BinaryHeaps
   1914.6 ms  ✓ FastPower
   2495.2 ms  ✓ StaticArraysCore
   3127.9 ms  ✓ ADTypes
   3105.6 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   6018.8 ms  ✓ IrrationalConstants
   2204.8 ms  ✓ NaNMath
   2009.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2301.4 ms  ✓ GPUArraysCore
   2002.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2677.3 ms  ✓ ArrayInterface
   3194.9 ms  ✓ Preferences
   2520.2 ms  ✓ RuntimeGeneratedFunctions
   2388.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2188.7 ms  ✓ EnzymeCore → AdaptExt
   2096.6 ms  ✓ DiffResults
   2414.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1991.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2206.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2214.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1995.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7111.0 ms  ✓ Distributed
   1621.1 ms  ✓ PrecompileTools
   2677.1 ms  ✓ LogExpFunctions
   2087.4 ms  ✓ FastBroadcast
   1901.9 ms  ✓ JLLWrappers
   1895.5 ms  ✓ SciMLLogging
   4458.1 ms  ✓ DifferentiationInterface
   2307.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2096.7 ms  ✓ IntelOpenMP_jll
   9206.0 ms  ✓ MacroTools
   6484.4 ms  ✓ DataStructures
   7096.4 ms  ✓ TimerOutputs
   2310.3 ms  ✓ OpenSpecFun_jll
   2791.8 ms  ✓ SciMLStructures
   2513.2 ms  ✓ oneTBB_jll
   3186.1 ms  ✓ MuladdMacro
   1799.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1298.0 ms  ✓ TruncatedStacktraces
   1307.6 ms  ✓ CommonSubexpressions
   4082.2 ms  ✓ PreallocationTools
   1203.4 ms  ✓ MKL_jll
   1800.0 ms  ✓ MaybeInplace
   4313.3 ms  ✓ RecipesBase
   2099.5 ms  ✓ Setfield
    910.6 ms  ✓ FunctionWrappersWrappers
    515.2 ms  ✓ FiniteDiff
