nice: cannot set niceness: Permission denied
Precompiling packages...
    411.2 ms  ✓ CommonSolve
    420.6 ms  ✓ Reexport
    538.3 ms  ✓ ConstructionBase
    501.3 ms  ✓ StaticArraysCore
    612.5 ms  ✓ Statistics
   1339.5 ms  ✓ IrrationalConstants
    894.7 ms  ✓ SuiteSparse_jll
    469.7 ms  ✓ IfElse
    750.9 ms  ✓ EnzymeCore
    520.8 ms  ✓ ManualMemory
    429.8 ms  ✓ CommonWorldInvalidations
    839.5 ms  ✓ SciMLPublic
    419.2 ms  ✓ Future
    426.1 ms  ✓ FastPower
    444.8 ms  ✓ CompositionsBase
    545.6 ms  ✓ InverseFunctions
    443.1 ms  ✓ MuladdMacro
    485.4 ms  ✓ EnumX
    661.9 ms  ✓ OpenLibm_jll
   2144.4 ms  ✓ ExproniconLite
    471.9 ms  ✓ ExprTools
    470.1 ms  ✓ ConcreteStructs
   1078.2 ms  ✓ FillArrays
    625.4 ms  ✓ OrderedCollections
    743.8 ms  ✓ ADTypes
    769.6 ms  ✓ Serialization
    728.3 ms  ✓ DocStringExtensions
    551.7 ms  ✓ FastClosures
    519.9 ms  ✓ SIMDTypes
    519.8 ms  ✓ IteratorInterfaceExtensions
   5561.5 ms  ✓ MacroTools
    771.8 ms  ✓ Requires
    752.9 ms  ✓ CpuId
   1218.9 ms  ✓ GenericSchur
    538.7 ms  ✓ LoggingExtras
    568.0 ms  ✓ Compat
   1275.8 ms  ✓ InteractiveUtils
    537.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    503.3 ms  ✓ Compat → CompatLinearAlgebraExt
   3916.1 ms  ✓ FunctionWrappers
    975.7 ms  ✓ LazyArtifacts
    450.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    433.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    539.6 ms  ✓ NaNMath
   1182.3 ms  ✓ ThreadingUtilities
   2163.8 ms  ✓ Preferences
    506.4 ms  ✓ FillArrays → FillArraysStatisticsExt
    402.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    423.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1141.6 ms  ✓ DifferentiationInterface
   2019.1 ms  ✓ Jieko
    462.2 ms  ✓ RuntimeGeneratedFunctions
   1803.1 ms  ✓ DataStructures
    586.8 ms  ✓ CommonSubexpressions
    701.4 ms  ✓ LogExpFunctions
    597.5 ms  ✓ Adapt
    591.9 ms  ✓ DiffResults
   4084.0 ms  ✓ TimerOutputs
   2868.2 ms  ✓ Distributed
    442.7 ms  ✓ FunctionWrappersWrappers
    481.6 ms  ✓ PrecompileTools
   1527.7 ms  ✓ Setfield
   1576.0 ms  ✓ ChainRulesCore
    586.1 ms  ✓ JLLWrappers
    634.2 ms  ✓ SciMLLogging
    573.3 ms  ✓ TruncatedStacktraces
    416.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4545.9 ms  ✓ SparseArrays
    610.1 ms  ✓ ArrayInterface
    639.3 ms  ✓ GPUArraysCore
    484.2 ms  ✓ EnzymeCore → AdaptExt
   2601.2 ms  ✓ Accessors
    454.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    445.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    437.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1954.9 ms  ✓ RecipesBase
    650.3 ms  ✓ OpenSpecFun_jll
   1236.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1074.4 ms  ✓ IntelOpenMP_jll
   1158.0 ms  ✓ oneTBB_jll
    592.9 ms  ✓ Statistics → SparseArraysExt
    631.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
    601.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    576.5 ms  ✓ Adapt → AdaptSparseArraysExt
  10397.5 ms  ✓ Moshi
    701.4 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    518.6 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
    512.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7497.5 ms  ✓ Krylov
    678.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    881.7 ms  ✓ MaybeInplace
    742.7 ms  ✓ SciMLStructures
    558.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1693.1 ms  ✓ PreallocationTools
    606.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    680.4 ms  ✓ Accessors → LinearAlgebraExt
  15377.1 ms  ✓ StaticArrays
   1510.6 ms  ✓ MKL_jll
    858.0 ms  ✓ FiniteDiff
    785.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  10270.8 ms  ✓ SparseMatrixColorings
   3235.6 ms  ✓ SpecialFunctions
    701.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   1292.3 ms  ✓ SymbolicIndexingInterface
    751.8 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   1983.5 ms  ✓ SciMLOperators
    717.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    784.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
    726.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    713.5 ms  ✓ Adapt → AdaptStaticArraysExt
    717.8 ms  ✓ Accessors → StaticArraysExt
    708.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    710.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    606.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    907.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    761.5 ms  ✓ DiffRules
   1952.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1697.9 ms  ✓ FastGaussQuadrature
    576.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    777.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    859.4 ms  ✓ NLSolversBase
  23766.1 ms  ✓ Static
    775.8 ms  ✓ LineSearches
    457.1 ms  ✓ BitTwiddlingConvenienceFunctions
    983.8 ms  ✓ CPUSummary
    743.6 ms  ✓ PolyesterWeave
   4749.4 ms  ✓ RecursiveArrayTools
   3759.1 ms  ✓ ForwardDiff
    589.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    778.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    686.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    505.7 ms  ✓ FastPower → FastPowerForwardDiffExt
    657.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    610.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1115.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   4726.5 ms  ✓ StaticArrayInterface
    485.3 ms  ✓ CloseOpenIntervals
    579.0 ms  ✓ LayoutPointers
    610.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    690.8 ms  ✓ StrideArraysCore
    578.2 ms  ✓ Polyester
    640.8 ms  ✓ FastBroadcast
    537.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   9181.8 ms  ✓ SciMLBase
    798.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    915.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1153.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2287.5 ms  ✓ SciMLJacobianOperators
  25927.6 ms  ✓ ExponentialUtilities
   1739.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   3719.8 ms  ✓ LineSearch
    718.8 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5096.1 ms  ✓ NonlinearSolveBase
    980.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
    980.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1448.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1458.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   9844.5 ms  ✓ LinearSolve
   4100.8 ms  ✓ BracketingNonlinearSolve
   3133.0 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   6016.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2032.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1454.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5672.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1114.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   2831.7 ms  ✓ DiffEqBase
   1761.2 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1080.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
    856.2 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   4330.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  15130.6 ms  ✓ NonlinearSolveSpectralMethods
   1120.3 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3592.4 ms  ✓ OrdinaryDiffEqCore
  13452.2 ms  ✓ SimpleNonlinearSolve
   1551.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1636.7 ms  ✓ OrdinaryDiffEqFunctionMap
   2644.5 ms  ✓ OrdinaryDiffEqStabilizedRK
   1991.4 ms  ✓ OrdinaryDiffEqQPRK
   2227.6 ms  ✓ OrdinaryDiffEqSymplecticRK
   2369.9 ms  ✓ OrdinaryDiffEqFeagin
   3479.9 ms  ✓ OrdinaryDiffEqLowOrderRK
   2550.7 ms  ✓ OrdinaryDiffEqRKN
   4037.1 ms  ✓ OrdinaryDiffEqSSPRK
   2484.1 ms  ✓ OrdinaryDiffEqHighOrderRK
   2651.6 ms  ✓ OrdinaryDiffEqExplicitRK
   3107.7 ms  ✓ OrdinaryDiffEqPRK
  33189.6 ms  ✓ NonlinearSolveQuasiNewton
   1493.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   6372.9 ms  ✓ OrdinaryDiffEqLowStorageRK
   3550.9 ms  ✓ OrdinaryDiffEqLinear
  36744.6 ms  ✓ NonlinearSolveFirstOrder
   4980.7 ms  ✓ OrdinaryDiffEqDifferentiation
   2369.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   2988.6 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  18019.3 ms  ✓ OrdinaryDiffEqTsit5
   2753.7 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   2120.2 ms  ✓ OrdinaryDiffEqNordsieck
   6002.8 ms  ✓ OrdinaryDiffEqExtrapolation
   5297.3 ms  ✓ OrdinaryDiffEqExponentialRK
  39116.1 ms  ✓ OrdinaryDiffEqVerner
  14912.1 ms  ✓ NonlinearSolve
   3511.1 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4534.1 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4595.3 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4970.7 ms  ✓ OrdinaryDiffEqPDIRK
  23923.1 ms  ✓ OrdinaryDiffEqRosenbrock
  21140.5 ms  ✓ OrdinaryDiffEqSDIRK
  18000.7 ms  ✓ OrdinaryDiffEqFIRK
   9305.0 ms  ✓ OrdinaryDiffEqBDF
  24017.1 ms  ✓ OrdinaryDiffEqDefault
   3880.8 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 186 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 749.25
	System time (seconds): 48.44
	Percent of CPU this job got: 287%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:37.10
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2698476
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1142
	Minor (reclaiming a frame) page faults: 17260605
	Voluntary context switches: 39687
	Involuntary context switches: 19918
	Swaps: 0
	File system inputs: 0
	File system outputs: 1640584
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
