nice: cannot set niceness: Permission denied
Precompiling packages...
   1888.6 ms  ✓ IteratorInterfaceExtensions
   1972.1 ms  ✓ Reexport
   2065.1 ms  ✓ ConcreteStructs
   2071.3 ms  ✓ EnumX
   2084.6 ms  ✓ OpenLibm_jll
   2049.5 ms  ✓ CommonSolve
   2204.0 ms  ✓ ConstructionBase
   2214.7 ms  ✓ Adapt
   2273.3 ms  ✓ ExprTools
   2357.9 ms  ✓ InverseFunctions
   2777.2 ms  ✓ DocStringExtensions
   3098.2 ms  ✓ Compat
   3042.6 ms  ✓ OrderedCollections
   3469.0 ms  ✓ EnzymeCore
   3672.8 ms  ✓ FunctionWrappers
   2003.1 ms  ✓ CompilerSupportLibraries_jll
   1905.2 ms  ✓ LazyArtifacts
   2012.2 ms  ✓ FastClosures
   2115.8 ms  ✓ NaNMath
   2255.6 ms  ✓ SuiteSparse_jll
   2299.5 ms  ✓ LoggingExtras
   1991.2 ms  ✓ SciMLPublic
   2789.4 ms  ✓ ArrayInterface
   2118.5 ms  ✓ BinaryHeaps
   2299.7 ms  ✓ StaticArraysCore
   1784.1 ms  ✓ FastPower
   5663.6 ms  ✓ IrrationalConstants
   3399.6 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2096.2 ms  ✓ CompositionsBase
   2090.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2497.3 ms  ✓ GPUArraysCore
   2097.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2296.4 ms  ✓ RuntimeGeneratedFunctions
   3301.1 ms  ✓ Preferences
   2704.8 ms  ✓ ADTypes
   2108.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2109.6 ms  ✓ EnzymeCore → AdaptExt
   1720.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2421.3 ms  ✓ DiffResults
   2496.3 ms  ✓ FastBroadcast
   2107.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1890.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1897.2 ms  ✓ PrecompileTools
   1704.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2106.8 ms  ✓ JLLWrappers
   2705.4 ms  ✓ LogExpFunctions
   2401.0 ms  ✓ SciMLLogging
   7507.3 ms  ✓ Distributed
   2005.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2072.1 ms  ✓ IntelOpenMP_jll
   2382.5 ms  ✓ SciMLStructures
   2183.5 ms  ✓ oneTBB_jll
   4090.8 ms  ✓ DifferentiationInterface
   9009.6 ms  ✓ MacroTools
   7217.2 ms  ✓ TimerOutputs
   2286.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2608.8 ms  ✓ OpenSpecFun_jll
   6885.4 ms  ✓ DataStructures
   3303.6 ms  ✓ MuladdMacro
   1391.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1390.7 ms  ✓ CommonSubexpressions
   1487.1 ms  ✓ TruncatedStacktraces
   1525.7 ms  ✓ MKL_jll
   4193.9 ms  ✓ PreallocationTools
   1804.5 ms  ✓ MaybeInplace
   4366.6 ms  ✓ RecipesBase
   2243.0 ms  ✓ Setfield
    840.4 ms  ✓ FunctionWrappersWrappers
    579.8 ms  ✓ FiniteDiff
   2975.3 ms  ✓ Accessors
   8277.7 ms  ✓ SparseArrays
   1470.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1512.4 ms  ✓ Accessors → LinearAlgebraExt
   2022.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2034.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   4792.4 ms  ✓ SpecialFunctions
   2215.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2417.7 ms  ✓ Statistics
   2537.0 ms  ✓ AMD
   2617.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2619.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    923.0 ms  ✓ DiffRules
   2165.6 ms  ✓ SymbolicIndexingInterface
   2735.1 ms  ✓ SciMLOperators
    909.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    957.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3883.0 ms  ✓ ForwardDiff
   2192.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   2607.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4002.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   7819.0 ms  ✓ RecursiveArrayTools
  11827.9 ms  ✓ SparseMatrixColorings
   2306.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2405.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2723.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
