nice: cannot set niceness: Permission denied
Precompiling packages...
   1969.2 ms  ✓ ConcreteStructs
   1977.2 ms  ✓ DataValueInterfaces
   1955.5 ms  ✓ CommonSolve
   2075.2 ms  ✓ OpenLibm_jll
   2081.4 ms  ✓ EnumX
   2158.5 ms  ✓ LaTeXStrings
   2167.1 ms  ✓ Reexport
   2160.4 ms  ✓ ExprTools
   2408.5 ms  ✓ ConstructionBase
   2562.9 ms  ✓ InverseFunctions
   2764.4 ms  ✓ OrderedCollections
   3103.9 ms  ✓ Compat
   3046.9 ms  ✓ DocStringExtensions
   3456.3 ms  ✓ EnzymeCore
   3672.3 ms  ✓ FunctionWrappers
   1973.6 ms  ✓ IteratorInterfaceExtensions
   1916.7 ms  ✓ DataAPI
   1804.4 ms  ✓ FastClosures
   1793.6 ms  ✓ LazyArtifacts
   2192.4 ms  ✓ Adapt
   2298.9 ms  ✓ CompilerSupportLibraries_jll
   1995.0 ms  ✓ CompositionsBase
   2246.4 ms  ✓ SuiteSparse_jll
   5558.9 ms  ✓ IrrationalConstants
   1991.2 ms  ✓ SciMLPublic
   1690.0 ms  ✓ FastPower
   2617.1 ms  ✓ ADTypes
   2818.0 ms  ✓ LoggingExtras
   2003.3 ms  ✓ BinaryHeaps
   1899.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2300.3 ms  ✓ NaNMath
   3013.7 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2104.5 ms  ✓ RuntimeGeneratedFunctions
   2620.3 ms  ✓ StaticArraysCore
   2184.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3382.3 ms  ✓ Preferences
   1919.4 ms  ✓ Compat → CompatLinearAlgebraExt
   1995.9 ms  ✓ TableTraits
   2100.5 ms  ✓ EnzymeCore → AdaptExt
   2499.6 ms  ✓ GPUArraysCore
   2201.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   6187.6 ms  ✓ Crayons
   2619.4 ms  ✓ ArrayInterface
   1919.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2077.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2107.6 ms  ✓ DiffResults
   1806.0 ms  ✓ PrecompileTools
   2791.5 ms  ✓ LogExpFunctions
   7720.1 ms  ✓ Distributed
   2223.2 ms  ✓ SciMLLogging
   2386.9 ms  ✓ JLLWrappers
   1825.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1995.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2503.2 ms  ✓ FastBroadcast
   4786.2 ms  ✓ DifferentiationInterface
